
Time Index
 ==================== 
Time Index,Unit,Category,Time,NS-labs,TrackID,ID,
1,,Spot,1,PRE,1000000001,1,
1,,Spot,1,PRE,1000000072,72,
1,,Spot,1,PRE,1000000177,177,
1,,Spot,1,PRE,1000000306,306,
1,,Spot,1,PRE,1000000378,378,
1,,Spot,1,PRE,1000000486,486,
1,,Spot,1,PRE,1000000587,587,
1,,Spot,1,PRE,1000000650,650,
1,,Spot,1,PRE,1000000724,724,
2,,Spot,2,PRE,1000000001,725,
2,,Spot,2,PRE,1000000072,726,
2,,Spot,2,PRE,1000000177,727,
2,,Spot,2,PRE,1000000306,728,
2,,Spot,2,PRE,1000000378,729,
2,,Spot,2,PRE,1000000486,730,
2,,Spot,2,PRE,1000000587,731,
2,,Spot,2,PRE,1000000650,732,
2,,Spot,2,PRE,1000000724,733,
3,,Spot,3,PRE,1000000001,734,
3,,Spot,3,PRE,1000000072,735,
3,,Spot,3,PRE,1000000177,736,
3,,Spot,3,PRE,1000000306,737,
3,,Spot,3,PRE,1000000378,738,
3,,Spot,3,PRE,1000000486,739,
3,,Spot,3,PRE,1000000587,740,
3,,Spot,3,PRE,1000000650,741,
3,,Spot,3,PRE,1000000724,742,
4,,Spot,4,PRE,1000000001,743,
4,,Spot,4,PRE,1000000072,744,
4,,Spot,4,PRE,1000000177,745,
4,,Spot,4,PRE,1000000306,746,
4,,Spot,4,PRE,1000000378,747,
4,,Spot,4,PRE,1000000486,748,
4,,Spot,4,PRE,1000000587,749,
4,,Spot,4,PRE,1000000650,750,
4,,Spot,4,PRE,1000000724,751,
5,,Spot,5,PRE,1000000001,752,
5,,Spot,5,PRE,1000000072,753,
5,,Spot,5,PRE,1000000177,754,
5,,Spot,5,PRE,1000000306,755,
5,,Spot,5,PRE,1000000378,756,
5,,Spot,5,PRE,1000000486,757,
5,,Spot,5,PRE,1000000587,758,
5,,Spot,5,PRE,1000000650,759,
5,,Spot,5,PRE,1000000724,760,
6,,Spot,6,PRE,1000000001,761,
6,,Spot,6,PRE,1000000072,762,
6,,Spot,6,PRE,1000000177,763,
6,,Spot,6,PRE,1000000306,764,
6,,Spot,6,PRE,1000000378,765,
6,,Spot,6,PRE,1000000486,766,
6,,Spot,6,PRE,1000000587,767,
6,,Spot,6,PRE,1000000650,768,
6,,Spot,6,PRE,1000000724,769,
7,,Spot,7,PRE,1000000001,770,
7,,Spot,7,PRE,1000000072,771,
7,,Spot,7,PRE,1000000177,772,
7,,Spot,7,PRE,1000000306,773,
7,,Spot,7,PRE,1000000378,774,
7,,Spot,7,PRE,1000000486,775,
7,,Spot,7,PRE,1000000587,776,
7,,Spot,7,PRE,1000000650,777,
7,,Spot,7,PRE,1000000724,778,
8,,Spot,8,PRE,1000000001,779,
8,,Spot,8,PRE,1000000072,780,
8,,Spot,8,PRE,1000000177,781,
8,,Spot,8,PRE,1000000306,782,
8,,Spot,8,PRE,1000000378,783,
8,,Spot,8,PRE,1000000486,784,
8,,Spot,8,PRE,1000000587,785,
8,,Spot,8,PRE,1000000650,786,
8,,Spot,8,PRE,1000000724,787,
9,,Spot,9,PRE,1000000001,788,
9,,Spot,9,PRE,1000000072,789,
9,,Spot,9,PRE,1000000177,790,
9,,Spot,9,PRE,1000000306,791,
9,,Spot,9,PRE,1000000378,792,
9,,Spot,9,PRE,1000000486,793,
9,,Spot,9,PRE,1000000587,794,
9,,Spot,9,PRE,1000000650,795,
9,,Spot,9,PRE,1000000724,796,
10,,Spot,10,PRE,1000000001,797,
