Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
020916Xim_F4KO_P1,56,1,TE,18248,277.97,203.58,6.6788,1878.7,3.43E+07,49.779,9.08E+05,134.53,2.45E+06,1093.9,2.00E+07,1410.8,2.57E+07,
020916Xim_F4KO_P1,56,2,TE,6799,277.08,276.5,3.6735,2522.7,1.72E+07,54.22,3.69E+05,166.84,1.13E+06,1186.2,8.07E+06,1598.3,1.09E+07,
020916Xim_F4KO_P1,56,5,TE,17225,290.42,327.72,12.633,1908.5,3.29E+07,40.057,6.90E+05,152.31,2.62E+06,1007.4,1.74E+07,1959.1,3.37E+07,
020916Xim_F4KO_P1,56,6,TE,9435,219.28,241.57,12.573,1836.6,1.73E+07,42.403,4.00E+05,134.68,1.27E+06,1125,1.06E+07,1971.7,1.86E+07,
020916Xim_F4KO_P1,56,8,TE,8690,240.65,328.07,17.452,1744.9,1.52E+07,43.255,3.76E+05,128.06,1.11E+06,1115.8,9.70E+06,1535.6,1.33E+07,
020916Xim_F4KO_P1,56,9,TE,7020,240.9,162.72,17.486,2380.4,1.67E+07,32.33,2.27E+05,115.76,8.13E+05,1089.5,7.65E+06,1980.3,1.39E+07,
020916Xim_F4KO_P1,56,11,TE,12399,295.6,164.59,21.919,2203.8,2.73E+07,40.366,5.01E+05,183.18,2.27E+06,1048.6,1.30E+07,2031.6,2.52E+07,
020916Xim_F4KO_P1,56,12,TE,14210,337.07,175.13,22.807,2009.2,2.86E+07,35.141,4.99E+05,285.16,4.05E+06,1067.8,1.52E+07,2483,3.53E+07,
020916Xim_F4KO_P1,56,15,ESC,15873,248.61,227.39,20.796,1041.7,1.65E+07,608.88,9.66E+06,431.6,6.85E+06,1100.1,1.75E+07,203.51,3.23E+06,
020916Xim_F4KO_P1,56,17,TE,8897,168.97,226.11,24.024,1405.5,1.25E+07,33.232,2.96E+05,114.78,1.02E+06,1142.9,1.02E+07,1839.9,1.64E+07,
