Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, ,
041218Xim_WT_BH11,22,ICM,I,6868,135.45,289.8,16.118,2556.4,1.76E+07,269.71,1.85E+06,329.47,2.26E+06,622.05,4.27E+06,215.78,1.48E+06,,
041218Xim_WT_BH11,23,TE,I,6896,363.64,328.94,15.074,2434.4,1.68E+07,70.285,4.85E+05,293.8,2.03E+06,582.4,4.02E+06,43.576,3.01E+05,,
041218Xim_WT_BH11,24,TE,I,6367,269.23,267.96,15.786,3029.8,1.93E+07,85.47,5.44E+05,276.56,1.76E+06,636.87,4.06E+06,75.784,4.83E+05,,
041218Xim_WT_BH11,27,TE,I,4632,368.56,233.83,17.061,2854.1,1.32E+07,82.861,3.84E+05,219.62,1.02E+06,600.75,2.78E+06,43.55,2.02E+05,,
041218Xim_WT_BH11,28,TE,I,5601,304.58,277.12,18.379,2788.1,1.56E+07,98.54,5.52E+05,203.37,1.14E+06,595.61,3.34E+06,41.266,2.31E+05,,
041218Xim_WT_BH11,29,ICM,I,4263,157.61,197.99,17.221,2802.4,1.19E+07,181.19,7.72E+05,165.91,7.07E+05,570.38,2.43E+06,90.581,3.86E+05,,
041218Xim_WT_BH11,30,ICM,I,9838,168.2,258.01,17.102,2486.9,2.45E+07,67.163,6.61E+05,450.64,4.43E+06,553.92,5.45E+06,258.59,2.54E+06,,
041218Xim_WT_BH11,31,TE,I,5514,162.09,341.73,18.811,2861.4,1.58E+07,55.686,3.07E+05,326.97,1.80E+06,635.43,3.50E+06,41.254,2.27E+05,,
041218Xim_WT_BH11,32,ICM,I,4462,124.13,241.26,17.069,2746.1,1.23E+07,206.96,9.23E+05,319.05,1.42E+06,580.39,2.59E+06,128.3,5.72E+05,,
041218Xim_WT_BH11,33,TE,I,9789,99.375,278.63,23.017,2002,1.96E+07,59.715,5.85E+05,389.56,3.81E+06,610.82,5.98E+06,47.105,4.61E+05,,
041218Xim_WT_BH11,34,ESC,I,5034,137.47,218.1,19.665,3422.8,1.72E+07,324.7,1.63E+06,72.501,3.65E+05,600.63,3.02E+06,1250.6,6.30E+06,,
041218Xim_WT_BH11,35,TE,I,7461,256.32,368.74,21.55,2005.6,1.50E+07,55.865,4.17E+05,214.13,1.60E+06,613.4,4.58E+06,36.094,2.69E+05,,
