Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
071816Xim_T11,101,18177,ESC,25.267,234.88,124.16,344.69,6.27E+06,46.12,8.38E+05,51.269,9.32E+05,973.89,1.77E+07,157.8,2.87E+06,
071816Xim_T11,101.2,,TE,17,237,121,403.993,,17.671,,42.372,,997.6,,210.177,,
071816Xim_T11,102,13819,TE,51.66,318.22,122.52,256.32,3.54E+06,15.71,2.17E+05,28.606,3.95E+05,904.74,1.25E+07,239.8,3.31E+06,
071816Xim_T11,103,11862,TE,231.41,73.265,121.66,305.17,3.62E+06,11.143,1.32E+05,21.238,2.52E+05,1135,1.35E+07,164.29,1.95E+06,
071816Xim_T11,104,6108,ESC,33.625,291.92,117.54,307.91,1.88E+06,92.736,5.66E+05,72.359,4.42E+05,859.85,5.25E+06,114.84,7.01E+05,
071816Xim_T11,105,15804,TE,392.02,91.186,122.92,223.2,3.53E+06,11.273,1.78E+05,22.892,3.62E+05,1176.7,1.86E+07,164.17,2.59E+06,
071816Xim_T11,106,13611,TE,312.16,81.002,123.47,248.92,3.39E+06,11.387,1.55E+05,31.734,4.32E+05,1133.5,1.54E+07,155.77,2.12E+06,
071816Xim_T11,108,9860,TE,450.15,210.18,125.67,290.71,2.87E+06,11.428,1.13E+05,32.439,3.20E+05,1125.8,1.11E+07,151.74,1.50E+06,
071816Xim_T11,109,11558,TE,416.36,369.48,125.69,208.66,2.41E+06,10.977,1.27E+05,20.775,2.40E+05,1133,1.31E+07,131.07,1.52E+06,
071816Xim_T11,110,3621,ESC,73.467,236.45,124.64,319.81,1.16E+06,71.971,2.61E+05,67.657,2.45E+05,902.98,3.27E+06,242.64,8.79E+05,
071816Xim_T11,111,15539,TE,92.881,353.41,127.82,190.57,2.96E+06,10.485,1.63E+05,17.459,2.71E+05,974.21,1.51E+07,124.49,1.93E+06,
071816Xim_T11,112,10008,TE,421.53,157.21,129.33,279.92,2.80E+06,11.359,1.14E+05,28.284,2.83E+05,1089.1,1.09E+07,141.92,1.42E+06,
071816Xim_T11,113,1061,ICM,92.65,239.64,125.19,283.69,3.01E+05,16.132,17116,36.408,38629,1098,1.17E+06,471.61,5.00E+05,
071816Xim_T11,114,10748,TE,441.34,270.98,129.44,265,2.85E+06,10.965,1.18E+05,18.299,1.97E+05,1128.5,1.21E+07,65.808,7.07E+05,
071816Xim_T11,115,10277,TE,282.84,437.55,128.44,263.66,2.71E+06,10.692,1.10E+05,20.081,2.06E+05,1216,1.25E+07,169.93,1.75E+06,
071816Xim_T11,116,11718,TE,109.56,158.15,128.22,234.47,2.75E+06,11.184,1.31E+05,23.677,2.77E+05,1133.5,1.33E+07,221.28,2.59E+06,
071816Xim_T11,117,5940,TE,52.891,210.81,128.66,250.59,1.49E+06,16.399,97411,96.328,5.72E+05,912.51,5.42E+06,113.5,6.74E+05,
071816Xim_T11,118,10684,TE,222.51,432.47,130.54,261.94,2.80E+06,10.774,1.15E+05,25.154,2.69E+05,1132.6,1.21E+07,222.82,2.38E+06,
071816Xim_T11,119,22652,ESC,61.045,281.72,131.33,259.52,5.88E+06,79.33,1.80E+06,93.532,2.12E+06,909.65,2.06E+07,125.82,2.85E+06,
071816Xim_T11,119.2,,ESC,66,291,128,318.545,,87.6,,127.541,,924.435,,151.655,,
071816Xim_T11,120,9965,TE,145.23,392.04,134.85,206.01,2.05E+06,10.133,1.01E+05,18.693,1.86E+05,1119.1,1.12E+07,185.04,1.84E+06,
071816Xim_T11,121,17107,TE,385.86,204.01,139.14,197.39,3.38E+06,10.231,1.75E+05,17.381,2.97E+05,1130.4,1.93E+07,145.73,2.49E+06,
071816Xim_T11,122,11853,TE,388.32,331.15,139.92,246.41,2.92E+06,10.593,1.26E+05,16.103,1.91E+05,1138,1.35E+07,69.8,8.27E+05,
071816Xim_T11,123,18980,TE,105.05,204.77,141.7,130.1,2.47E+06,10.554,2.00E+05,17.651,3.35E+05,1060.9,2.01E+07,112.87,2.14E+06,
071816Xim_T11,124,18211,TE,98.501,281.76,145.11,97.262,1.77E+06,13.469,2.45E+05,21.489,3.91E+05,1082.9,1.97E+07,99.628,1.81E+06,
071816Xim_T11,125,15481,TE,331.04,387.64,141.45,186.75,2.89E+06,10.157,1.57E+05,15.829,2.45E+05,1144.7,1.77E+07,97.944,1.52E+06,
071816Xim_T11,126,20376,TE,313.68,137.17,145.75,201.01,4.10E+06,10.114,2.06E+05,16.152,3.29E+05,1129.3,2.30E+07,102.76,2.09E+06,
071816Xim_T11,127,22078,TE,209.36,141.32,147.31,223.04,4.92E+06,10.232,2.26E+05,19.482,4.30E+05,1123.5,2.48E+07,207.98,4.59E+06,
071816Xim_T11,128,15665,TE,161.45,331.69,150.02,165.76,2.60E+06,9.9046,1.55E+05,15.343,2.40E+05,1149.3,1.80E+07,120.62,1.89E+06,
071816Xim_T11,129,17578,TE,314.79,223.95,151.69,227.04,3.99E+06,10.096,1.77E+05,17.418,3.06E+05,1158.1,2.04E+07,164.76,2.90E+06,
071816Xim_T11,130,25831,TE,323.77,307.43,151.4,200.07,5.17E+06,9.9957,2.58E+05,16.122,4.16E+05,1147.4,2.96E+07,109.17,2.82E+06,
071816Xim_T11,131,17117,TE,238.29,365.41,152.63,174.67,2.99E+06,9.9637,1.71E+05,16.647,2.85E+05,1173.8,2.01E+07,163.49,2.80E+06,
071816Xim_T11,132,20444,TE,172.74,228.06,154.7,156.99,3.21E+06,9.9295,2.03E+05,15.676,3.20E+05,1121.8,2.29E+07,113.31,2.32E+06,
071816Xim_T11,133,12620,TE,257.56,205.31,155.48,220.74,2.79E+06,10.121,1.28E+05,17.189,2.17E+05,1140.4,1.44E+07,185.26,2.34E+06,
071816Xim_T11,134,10000,TE,227.54,296.61,157.41,211.26,2.11E+06,10.046,1.00E+05,18.409,1.84E+05,1177.3,1.18E+07,236.72,2.37E+06,
