Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
021016Xim_F4KO_Q4,87,20,TE,7274,248.89,95.368,32.352,1438.7,1.05E+07,1230.9,8.95E+06,120.07,8.73E+05,786.34,5.72E+06,923.17,6.72E+06
021016Xim_F4KO_Q4,87,67,TE,8322,439.46,183.73,75.01,787.57,6.55E+06,683.43,5.69E+06,118.54,9.87E+05,701.86,5.84E+06,651.05,5.42E+06
021016Xim_F4KO_Q4,87,33,TE,8207,413.98,172.25,46.111,1160.6,9.52E+06,1243.2,1.02E+07,113.87,9.35E+05,779.23,6.40E+06,1146.9,9.41E+06
021016Xim_F4KO_Q4,87,28,TE,10569,424.29,236.46,39.327,2092.7,2.21E+07,206.49,2.18E+06,111.12,1.17E+06,776.17,8.20E+06,541.99,5.73E+06
021016Xim_F4KO_Q4,87,26,TE,7981,316.49,86.216,37.392,1224,9.77E+06,1317.8,1.05E+07,108.18,8.63E+05,824.28,6.58E+06,943.08,7.53E+06
021016Xim_F4KO_Q4,87,31,TE,15215,159.16,382.88,43.661,1191.1,1.81E+07,1532.1,2.33E+07,104.4,1.59E+06,844.87,1.29E+07,1061.4,1.61E+07
021016Xim_F4KO_Q4,87,22,TE,13529,240.58,408.5,35.364,1562.3,2.11E+07,1254.8,1.70E+07,104.37,1.41E+06,790.67,1.07E+07,1016,1.37E+07
021016Xim_F4KO_Q4,87,57,TE,7581,98.037,350.99,66.401,852.29,6.46E+06,690.87,5.24E+06,100.7,7.63E+05,709.36,5.38E+06,883.68,6.70E+06
021016Xim_F4KO_Q4,87,55,TE,10192,51.74,270.14,65.721,821.57,8.37E+06,341.76,3.48E+06,99.485,1.01E+06,694.69,7.08E+06,532.47,5.43E+06
021016Xim_F4KO_Q4,87,39,TE,7794,130.57,153.14,50.101,852.72,6.65E+06,815.11,6.35E+06,99.176,7.73E+05,796.42,6.21E+06,1090.4,8.50E+06
021016Xim_F4KO_Q4,87,58,TE,15186,451.06,266.38,69.621,1012,1.54E+07,866.46,1.32E+07,97.022,1.47E+06,745.74,1.13E+07,578.18,8.78E+06
021016Xim_F4KO_Q4,87,60,PRE,16240,138.91,245.83,70.703,314.08,5.10E+06,30.126,4.89E+05,95.957,1.56E+06,728.97,1.18E+07,893.44,1.45E+07
021016Xim_F4KO_Q4,87,62,TE,11040,365.19,412.17,71.369,1045.3,1.15E+07,744.21,8.22E+06,91.636,1.01E+06,680.91,7.52E+06,505.9,5.59E+06
021016Xim_F4KO_Q4,87,50,TE,15671,236.97,428.25,56.142,1180,1.85E+07,974.19,1.53E+07,91.277,1.43E+06,731.46,1.15E+07,989.1,1.55E+07
021016Xim_F4KO_Q4,87,59,TE,11134,107.44,179.96,70.745,364.91,4.06E+06,294.96,3.28E+06,90.963,1.01E+06,631.55,7.03E+06,459,5.11E+06
021016Xim_F4KO_Q4,87,68,PRE,18862,139.69,296.36,75.642,286.88,5.41E+06,27.886,5.26E+05,88.118,1.66E+06,678,1.28E+07,621.96,1.17E+07
021016Xim_F4KO_Q4,87,40,TE,15559,242.29,80.749,52.131,1091.1,1.70E+07,1106,1.72E+07,87.51,1.36E+06,785.22,1.22E+07,612.66,9.53E+06
021016Xim_F4KO_Q4,87,35,TE,8142,377.16,107.49,46.875,1027.2,8.36E+06,860.13,7.00E+06,85.266,6.94E+05,811.14,6.60E+06,1025.8,8.35E+06
021016Xim_F4KO_Q4,87,81,TE,25643,127.43,211.12,94.756,199.88,5.13E+06,216.45,5.55E+06,84.967,2.18E+06,666.6,1.71E+07,239.79,6.15E+06
021016Xim_F4KO_Q4,87,38,TE,15451,181.05,105.77,51.557,740.35,1.14E+07,1005.9,1.55E+07,74.446,1.15E+06,734.39,1.13E+07,552.68,8.54E+06
021016Xim_F4KO_Q4,87,61,TE,8583,158.04,404.4,69.538,887.2,7.61E+06,840.94,7.22E+06,73.764,6.33E+05,677.09,5.81E+06,913.52,7.84E+06
021016Xim_F4KO_Q4,87,63,TE,12958,286.86,428.7,72.514,935.85,1.21E+07,690.24,8.94E+06,73.01,9.46E+05,663.92,8.60E+06,638.21,8.27E+06
021016Xim_F4KO_Q4,87,83,TE,11073,337.57,106.25,93.761,450.98,4.99E+06,363.61,4.03E+06,72.232,8.00E+05,843.93,9.34E+06,210.88,2.34E+06
021016Xim_F4KO_Q4,87,3,TE,11923,294.21,270.25,10.342,2474.4,2.95E+07,774.88,9.24E+06,72.2,8.61E+05,816.97,9.74E+06,380.61,4.54E+06
021016Xim_F4KO_Q4,87,5,TE,11868,320.38,174.96,10.884,1738.5,2.06E+07,1263.2,1.50E+07,70.685,8.39E+05,780.1,9.26E+06,397.07,4.71E+06
021016Xim_F4KO_Q4,87,78,TE,12639,401.55,373,89.021,702.76,8.88E+06,523.47,6.62E+06,70.339,8.89E+05,704,8.90E+06,485.51,6.14E+06
021016Xim_F4KO_Q4,87,56,TE,8020,353.2,78.318,62.994,790.1,6.34E+06,674.67,5.41E+06,63.833,5.12E+05,747.13,5.99E+06,580.55,4.66E+06
021016Xim_F4KO_Q4,87,90,TE,34722,139.91,292.96,99.785,159.83,5.55E+06,148.92,5.17E+06,63.422,2.20E+06,670.14,2.33E+07,224.55,7.80E+06
021016Xim_F4KO_Q4,87,9,TE,5386,377.67,202.66,19.525,2461.1,1.33E+07,1092.4,5.88E+06,61.134,3.29E+05,802.53,4.32E+06,251.19,1.35E+06
021016Xim_F4KO_Q4,87,93,TE,10384,265.93,373.49,105.55,354.11,3.68E+06,266.28,2.77E+06,58.256,6.05E+05,817.29,8.49E+06,325.87,3.38E+06
021016Xim_F4KO_Q4,87,15,TE,5213,351.39,277.57,22.017,2561.9,1.34E+07,842.03,4.39E+06,57.527,3.00E+05,801.24,4.18E+06,180.73,9.42E+05
021016Xim_F4KO_Q4,87,80,TE,8196,399.26,135.46,90.544,590.4,4.84E+06,409.42,3.36E+06,57.111,4.68E+05,834.78,6.84E+06,260.23,2.13E+06
021016Xim_F4KO_Q4,87,74,TE,17383,234.61,96.143,82.92,529.83,9.21E+06,391.5,6.81E+06,53.755,9.34E+05,794.26,1.38E+07,386.71,6.72E+06
021016Xim_F4KO_Q4,87,77,TE,18258,167.66,383.62,86.058,528.41,9.65E+06,474.16,8.66E+06,52.129,9.52E+05,812.23,1.48E+07,573.54,1.05E+07
021016Xim_F4KO_Q4,87,79,TE,19439,175.42,134.54,90.507,332.79,6.47E+06,342.93,6.67E+06,52.075,1.01E+06,726.38,1.41E+07,480.64,9.34E+06
021016Xim_F4KO_Q4,87,85,TE,13979,268.96,408.92,91.171,381.16,5.33E+06,290.24,4.06E+06,51.164,7.15E+05,828.42,1.16E+07,409.8,5.73E+06
021016Xim_F4KO_Q4,87,84,TE,16223,334.61,394.76,94.925,563.86,9.15E+06,333.54,5.41E+06,50.772,8.24E+05,817.48,1.33E+07,182.15,2.96E+06
021016Xim_F4KO_Q4,87,95,TE,9618,317.98,161.83,106.91,528.03,5.08E+06,247.47,2.38E+06,48.747,4.69E+05,848.89,8.16E+06,495.37,4.76E+06
021016Xim_F4KO_Q4,87,88,TE,17171,415.89,303.09,99.761,474.23,8.14E+06,283.39,4.87E+06,42.128,7.23E+05,845,1.45E+07,211.71,3.64E+06
021016Xim_F4KO_Q4,87,92,TE,14768,394.97,247.72,105.14,544.59,8.04E+06,425.57,6.28E+06,40.626,6.00E+05,818.31,1.21E+07,235.1,3.47E+06
021016Xim_F4KO_Q4,87,97,TE,10443,364.09,326.31,106.81,517.72,5.41E+06,365.84,3.82E+06,39.371,4.11E+05,841.22,8.78E+06,292.75,3.06E+06
021016Xim_F4KO_Q4,87,94,TE,13019,222.75,171.41,106.01,371.91,4.84E+06,219.16,2.85E+06,37.257,4.85E+05,874.77,1.14E+07,276.13,3.59E+06
021016Xim_F4KO_Q4,87,89,TE,20275,201.95,355.48,102.09,362.22,7.34E+06,268.03,5.43E+06,36.542,7.41E+05,788.07,1.60E+07,322.34,6.54E+06
021016Xim_F4KO_Q4,87,87,TE,7476,414.91,190.04,94.659,654.44,4.89E+06,97.338,7.28E+05,36.114,2.70E+05,830.67,6.21E+06,318.17,2.38E+06
021016Xim_F4KO_Q4,87,96,TE,12101,192.26,257.89,106.74,233.4,2.82E+06,202.83,2.45E+06,31.375,3.80E+05,901.15,1.09E+07,207.32,2.51E+06
021016Xim_F4KO_Q4,87,98,TE,854,240.61,223.93,108.46,97.882,83591,59.951,51198,19.73,16849,872.32,7.45E+05,73.165,62483
021016Xim_F4KO_Q4,87,101,TE,1101,250.37,312.64,108.89,101.86,1.12E+05,51.53,56734,15.477,17040,793.54,8.74E+05,71.837,79092
021016Xim_F4KO_Q4,87,99,TE,5268,330.54,251.53,107.5,88.644,4.67E+05,67.252,3.54E+05,14.846,78208,866.51,4.56E+06,52.715,2.78E+05
