Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
071618Xim_WT_CA2,50,ICM,I,7074,68.525,257.32,37.664,1674,1.18E+07,358.84,2.54E+06,105.19,7.44E+05,520.01,3.68E+06,157.17,1.11E+06,
071618Xim_WT_CA2,51,TE,I,11257,380.57,144.06,42.22,1731.8,1.95E+07,31.047,3.49E+05,74.355,8.37E+05,577.83,6.50E+06,75.165,8.46E+05,
071618Xim_WT_CA2,52,ICM,I,4068,103.18,255.3,37.015,1402.6,5.71E+06,86.749,3.53E+05,304.53,1.24E+06,485.39,1.97E+06,388.76,1.58E+06,
071618Xim_WT_CA2,53,ICM,I,6480,118.43,279.14,39.056,1499.1,9.71E+06,213.52,1.38E+06,84.733,5.49E+05,539.74,3.50E+06,165.35,1.07E+06,
071618Xim_WT_CA2,54,ICM,I,8963,78.043,224.4,40.851,1494,1.34E+07,507.12,4.55E+06,75.223,6.74E+05,558.53,5.01E+06,108.92,9.76E+05,
071618Xim_WT_CA2,55,TE,I,8221,64.971,291.09,43.149,1426.9,1.17E+07,48.09,3.95E+05,92.334,7.59E+05,536.76,4.41E+06,98.996,8.14E+05,
071618Xim_WT_CA2,57,ICM,I,10506,144.04,175.11,42.808,1020.2,1.07E+07,47.401,4.98E+05,269.94,2.84E+06,483.44,5.08E+06,358.49,3.77E+06,
071618Xim_WT_CA2,58,ICM,I,10518,140.31,298.06,43.925,972.49,1.02E+07,47.667,5.01E+05,230.63,2.43E+06,480.98,5.06E+06,244.66,2.57E+06,
071618Xim_WT_CA2,59,TE,I,10370,454.22,244.1,45.634,1953.9,2.03E+07,38.917,4.04E+05,83.91,8.70E+05,474.77,4.92E+06,66.867,6.93E+05,
071618Xim_WT_CA2,60,ICM,I,8626,395.57,372.44,48.167,1254.8,1.08E+07,86.019,7.42E+05,63.371,5.47E+05,567.08,4.89E+06,107.12,9.24E+05,
071618Xim_WT_CA2,61,TE,I,11707,164.94,377.76,49.933,1728.9,2.02E+07,32.884,3.85E+05,82.114,9.61E+05,526.12,6.16E+06,129.65,1.52E+06,
071618Xim_WT_CA2,62,TE,I,8097,125.82,148.39,49.637,1130,9.15E+06,29.767,2.41E+05,90.817,7.35E+05,511.63,4.14E+06,134.5,1.09E+06,
071618Xim_WT_CA2,63,ICM,M,7828,112.15,208.88,48.695,1397.6,1.09E+07,73.789,5.78E+05,74.296,5.82E+05,513,4.02E+06,66.101,5.17E+05,
071618Xim_WT_CA2,64,TE,I,12437,87.634,180.51,51.288,970.36,1.21E+07,36.519,4.54E+05,71.234,8.86E+05,489.05,6.08E+06,81.656,1.02E+06,
071618Xim_WT_CA2,65,ICM,I,12097,98.559,299.02,49.74,1158.1,1.40E+07,304.97,3.69E+06,81.668,9.88E+05,527.73,6.38E+06,74.507,9.01E+05,
071618Xim_WT_CA2,66,TE,I,10205,110.86,341.94,50.781,1232.2,1.26E+07,45.558,4.65E+05,88.713,9.05E+05,525.69,5.36E+06,92.486,9.44E+05,
071618Xim_WT_CA2,67,TE,I,11876,54.977,251.21,54.689,975.3,1.16E+07,43.167,5.13E+05,72.241,8.58E+05,509.13,6.05E+06,72.996,8.67E+05,
071618Xim_WT_CA2,68,ICM,I,10111,121.02,255.71,51.897,733,7.41E+06,60.517,6.12E+05,74.077,7.49E+05,487.35,4.93E+06,318.78,3.22E+06,
071618Xim_WT_CA2,69,TE,I,16893,289.77,413.87,55.443,1295.7,2.19E+07,26.311,4.44E+05,55.128,9.31E+05,553.91,9.36E+06,95.73,1.62E+06,
071618Xim_WT_CA2,70,ICM,I,4703,85.785,260.77,50.372,953.57,4.48E+06,56.587,2.66E+05,244.72,1.15E+06,481.92,2.27E+06,332.02,1.56E+06,
071618Xim_WT_CA2,71,ICM,I,6496,84.409,227.42,52.845,1024.8,6.66E+06,311.65,2.02E+06,70.12,4.56E+05,517.29,3.36E+06,67.41,4.38E+05,
071618Xim_WT_CA2,73,TE,I,8137,356.82,402.9,58.365,1217.9,9.91E+06,130.86,1.06E+06,83.222,6.77E+05,581.09,4.73E+06,96.793,7.88E+05,
071618Xim_WT_CA2,74,TE,I,20484,428.86,184.04,59.296,837.17,1.71E+07,35.619,7.30E+05,59.956,1.23E+06,444.5,9.11E+06,67.594,1.38E+06,
071618Xim_WT_CA2,75,ICM,I,7502,73.894,287.62,59.029,651.99,4.89E+06,156.26,1.17E+06,81.228,6.09E+05,472.37,3.54E+06,78.913,5.92E+05,
071618Xim_WT_CA2,76,TE,I,13292,384.52,151.29,61.865,713.2,9.48E+06,26.239,3.49E+05,57.927,7.70E+05,410.36,5.45E+06,52.524,6.98E+05,
071618Xim_WT_CA2,77,ICM,I,10762,137.42,237.82,64.291,523.2,5.63E+06,53.686,5.78E+05,42.458,4.57E+05,471.91,5.08E+06,147.23,1.58E+06,
071618Xim_WT_CA2,78,TE,I,14988,275.07,122.71,63.416,775.14,1.16E+07,21.572,3.23E+05,56.33,8.44E+05,457.85,6.86E+06,50.988,7.64E+05,
071618Xim_WT_CA2,79,ICM,I,5698,118.56,324.11,60.941,663.99,3.78E+06,186.85,1.06E+06,58.084,3.31E+05,469.45,2.67E+06,52.5,2.99E+05,
071618Xim_WT_CA2,80,TE,I,8809,457.86,280.71,67.241,1123.8,9.90E+06,31.741,2.80E+05,52.524,4.63E+05,439.91,3.88E+06,56.22,4.95E+05,
071618Xim_WT_CA2,81,TE,I,9727,127.48,348.62,67.608,623.11,6.06E+06,29.365,2.86E+05,50.599,4.92E+05,493.6,4.80E+06,73.607,7.16E+05,
071618Xim_WT_CA2,82,TE,I,11212,401.11,376.99,66.341,738.87,8.28E+06,28.004,3.14E+05,62.3,6.99E+05,426.86,4.79E+06,63.85,7.16E+05,
071618Xim_WT_CA2,83,ICM,M,6917,95.712,276.52,67.663,513.17,3.55E+06,102.73,7.11E+05,67.348,4.66E+05,498.28,3.45E+06,89.802,6.21E+05,
071618Xim_WT_CA2,84,TE,I,14131,441.17,329.38,70.697,1078.7,1.52E+07,33.389,4.72E+05,65.442,9.25E+05,432.5,6.11E+06,60.831,8.60E+05,
071618Xim_WT_CA2,85,TE,I,20098,93.649,236.55,67.064,480.96,9.67E+06,81.696,1.64E+06,55.203,1.11E+06,488.19,9.81E+06,73.58,1.48E+06,
071618Xim_WT_CA2,85.2,ICM,I,20098,113,243,64,564.14,,133.39,,56.248,,485.029,,69.866,,
071618Xim_WT_CA2,86,ICM,I,10909,126.53,287.55,69.819,515.16,5.62E+06,107.47,1.17E+06,53.181,5.80E+05,468.88,5.12E+06,133.98,1.46E+06,
071618Xim_WT_CA2,87,TE,I,13638,231.53,407.98,71.57,865.27,1.18E+07,31.979,4.36E+05,46.915,6.40E+05,475.05,6.48E+06,72.304,9.86E+05,
071618Xim_WT_CA2,88,TE,I,8395,343.8,407.5,70.795,908.79,7.63E+06,39.595,3.32E+05,66.9,5.62E+05,426.51,3.58E+06,65.837,5.53E+05,
071618Xim_WT_CA2,89,TE,I,11200,327.22,138.31,74.257,575.92,6.45E+06,20.6,2.31E+05,52.471,5.88E+05,491.54,5.51E+06,58.186,6.52E+05,
071618Xim_WT_CA2,90,TE,I,10043,127.86,203.54,74.173,322.2,3.24E+06,19.823,1.99E+05,39.072,3.92E+05,498.03,5.00E+06,62.089,6.24E+05,
071618Xim_WT_CA2,91,TE,I,15832,195.16,148.87,77.903,490.52,7.77E+06,18.491,2.93E+05,24.907,3.94E+05,575.49,9.11E+06,54.36,8.61E+05,
071618Xim_WT_CA2,92,TE,I,12223,438.89,224.9,76.294,420.71,5.14E+06,23.793,2.91E+05,46.532,5.69E+05,417.37,5.10E+06,62.348,7.62E+05,
071618Xim_WT_CA2,93,TE,I,12420,119.11,301.83,80.597,330.94,4.11E+06,35.752,4.44E+05,41.995,5.22E+05,431.08,5.35E+06,54.137,6.72E+05,
071618Xim_WT_CA2,94,TE,I,11514,372.25,167.07,83.357,437.25,5.03E+06,33.79,3.89E+05,48.961,5.64E+05,528.33,6.08E+06,53.192,6.12E+05,
071618Xim_WT_CA2,95,TE,I,12006,176.21,361.45,86.059,406.74,4.88E+06,16.206,1.95E+05,32.504,3.90E+05,591.74,7.10E+06,47.879,5.75E+05,
