Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, ,
041218Xim_WT_BH7,1,TE,I,9808,157.91,230.84,7.2206,2373,2.33E+07,64.617,6.34E+05,287.19,2.82E+06,616.05,6.04E+06,46.033,4.51E+05,,
041218Xim_WT_BH7,2,TE,I,13136,268.49,315.55,6.1599,2725.8,3.58E+07,60.545,7.95E+05,507.7,6.67E+06,629.28,8.27E+06,45.246,5.94E+05,,
041218Xim_WT_BH7,3,TE,I,9330,215.97,190.1,7.7522,2917.4,2.72E+07,78.99,7.37E+05,196.5,1.83E+06,605.4,5.65E+06,58.501,5.46E+05,,
041218Xim_WT_BH7,4,TE,I,12184,222,245.17,7.9288,2770,3.37E+07,68.283,8.32E+05,100.96,1.23E+06,595.4,7.25E+06,56.809,6.92E+05,,
041218Xim_WT_BH7,5,TE,I,4925,247.67,210.53,9.7628,3442,1.70E+07,242.65,1.20E+06,282.28,1.39E+06,602.96,2.97E+06,61.16,3.01E+05,,
041218Xim_WT_BH7,6,TE,I,12979,332.64,317.65,8.9475,2420.8,3.14E+07,115.13,1.49E+06,265.62,3.45E+06,575.43,7.47E+06,49.285,6.40E+05,,
041218Xim_WT_BH7,7,TE,I,6266,172.23,177.1,11.827,3268.8,2.05E+07,67.025,4.20E+05,434.5,2.72E+06,567.3,3.55E+06,57.677,3.61E+05,,
041218Xim_WT_BH7,8,TE,I,11637,269.91,252.24,10.058,2612.6,3.04E+07,62.635,7.29E+05,298.44,3.47E+06,611.13,7.11E+06,44.541,5.18E+05,,
041218Xim_WT_BH7,9,TE,I,8253,237.43,154.21,12.914,3403.5,2.81E+07,83.955,6.93E+05,303.62,2.51E+06,566.31,4.67E+06,57.069,4.71E+05,,
041218Xim_WT_BH7,10,TE,I,8074,278.15,197.16,11.094,2467.1,1.99E+07,78.908,6.37E+05,240.3,1.94E+06,585.33,4.73E+06,51.998,4.20E+05,,
041218Xim_WT_BH7,11,TE,I,7731,335.88,263.95,10.185,2266.6,1.75E+07,67.314,5.20E+05,222.17,1.72E+06,585.83,4.53E+06,53.294,4.12E+05,,
041218Xim_WT_BH7,12,TE,M,8030,209.89,328.45,13.298,3377.6,2.71E+07,53.523,4.30E+05,103.53,8.31E+05,646.72,5.19E+06,35.945,2.89E+05,,
041218Xim_WT_BH7,13,TE,I,6623,106.93,268.03,13.785,2866.9,1.90E+07,62.236,4.12E+05,465.23,3.08E+06,709.56,4.70E+06,48.175,3.19E+05,,
041218Xim_WT_BH7,14,TE,I,7213,161.58,313.16,10.99,2570.2,1.85E+07,55.212,3.98E+05,426.32,3.08E+06,568.24,4.10E+06,38.597,2.78E+05,,
041218Xim_WT_BH7,15,TE,I,5814,307.34,360.66,12.822,2881.7,1.68E+07,72.858,4.24E+05,306.75,1.78E+06,605.52,3.52E+06,46.985,2.73E+05,,
041218Xim_WT_BH7,16,TE,I,7153,131.22,226.8,18.073,3381.2,2.42E+07,49.603,3.55E+05,53.333,3.81E+05,658.22,4.71E+06,36.226,2.59E+05,,
041218Xim_WT_BH7,17,TE,I,10248,343.49,220.67,16.509,2421.8,2.48E+07,56.653,5.81E+05,141.89,1.45E+06,605.89,6.21E+06,38.807,3.98E+05,,
041218Xim_WT_BH7,18,TE,I,4085,195.14,203.21,18.246,3421.7,1.40E+07,67.475,2.76E+05,422.88,1.73E+06,629.31,2.57E+06,45.995,1.88E+05,,
041218Xim_WT_BH7,19,TE,I,3771,211.42,178.16,17.327,3546.5,1.34E+07,60.611,2.29E+05,410.54,1.55E+06,501.84,1.89E+06,45.547,1.72E+05,,
041218Xim_WT_BH7,20,TE,I,9848,248.92,171.97,19.794,2921.3,2.88E+07,63.97,6.30E+05,106.51,1.05E+06,537.42,5.29E+06,47.765,4.70E+05,,
041218Xim_WT_BH7,21,TE,I,5702,368.3,315,20.017,2422.4,1.38E+07,72.072,4.11E+05,253.72,1.45E+06,643.81,3.67E+06,49.244,2.81E+05,,
041218Xim_WT_BH7,22,TE,I,9986,304.69,136.08,22.839,2745.5,2.74E+07,61.534,6.14E+05,197.91,1.98E+06,624.15,6.23E+06,44.638,4.46E+05,,
041218Xim_WT_BH7,23,TE,I,12171,282.46,389.91,22.51,2568,3.13E+07,59.196,7.20E+05,346.74,4.22E+06,615.03,7.49E+06,43.263,5.27E+05,,
041218Xim_WT_BH7,24,TE,I,7953,362.55,175.19,22.901,2186.3,1.74E+07,57.034,4.54E+05,211.81,1.68E+06,620.68,4.94E+06,48.92,3.89E+05,,
041218Xim_WT_BH7,25,TE,I,5970,295.44,181.47,24.695,2193.3,1.31E+07,86.872,5.19E+05,276.56,1.65E+06,565.69,3.38E+06,49.362,2.95E+05,,
041218Xim_WT_BH7,26,TE,I,7455,296.91,213.81,24.572,2629.9,1.96E+07,58.686,4.38E+05,285.83,2.13E+06,606.51,4.52E+06,42.769,3.19E+05,,
041218Xim_WT_BH7,27,TE,I,6208,384.2,234.65,23.995,2199.7,1.37E+07,65.248,4.05E+05,268.19,1.66E+06,611.93,3.80E+06,52.653,3.27E+05,,
041218Xim_WT_BH7,28,TE,I,5187,91.29,310.95,26.619,2967.6,1.54E+07,55.402,2.87E+05,274.46,1.42E+06,546.42,2.83E+06,36.019,1.87E+05,,
041218Xim_WT_BH7,29,TE,I,9929,225.68,196.3,29.045,2252.5,2.24E+07,48.219,4.79E+05,271.45,2.70E+06,541.87,5.38E+06,38.24,3.80E+05,,
041218Xim_WT_BH7,30,TE,I,4994,135.24,376.19,29.014,3028.9,1.51E+07,50.514,2.52E+05,303.77,1.52E+06,564.55,2.82E+06,38.333,1.91E+05,,
041218Xim_WT_BH7,31,TE,I,5189,388.1,197.07,29.878,2029.8,1.05E+07,68.289,3.54E+05,239.39,1.24E+06,596.6,3.10E+06,54.586,2.83E+05,,
041218Xim_WT_BH7,32,TE,I,8604,371.44,145.81,31.672,2866.9,2.47E+07,52.669,4.53E+05,292.17,2.51E+06,610.05,5.25E+06,46.336,3.99E+05,,
041218Xim_WT_BH7,33,TE,I,6891,373.41,279.53,32.23,1586.6,1.09E+07,41.545,2.86E+05,188.02,1.30E+06,674.66,4.65E+06,38.748,2.67E+05,,
041218Xim_WT_BH7,34,TE,I,8880,354.98,181.68,31.991,2238.2,1.99E+07,51.613,4.58E+05,183.87,1.63E+06,600.48,5.33E+06,45.723,4.06E+05,,
041218Xim_WT_BH7,35,TE,I,8197,310.6,143.35,31.793,2658.6,2.18E+07,91.746,7.52E+05,120.99,9.92E+05,578.28,4.74E+06,45.203,3.71E+05,,
041218Xim_WT_BH7,36,TE,I,6994,350.75,220.65,32.562,1528.6,1.07E+07,51.411,3.60E+05,155.26,1.09E+06,576.22,4.03E+06,42.776,2.99E+05,,
041218Xim_WT_BH7,37,TE,I,11886,351.96,362.83,37.629,1457.1,1.73E+07,40.4,4.80E+05,139.97,1.66E+06,760.61,9.04E+06,33.868,4.03E+05,,
041218Xim_WT_BH7,38,TE,I,7694,206.13,412.49,37.015,2323.3,1.79E+07,52.667,4.05E+05,488.52,3.76E+06,726.98,5.59E+06,45.051,3.47E+05,,
041218Xim_WT_BH7,39,TE,I,9887,91.635,260.57,37.575,1860.8,1.84E+07,70.405,6.96E+05,228.09,2.26E+06,570.86,5.64E+06,39.456,3.90E+05,,
041218Xim_WT_BH7,40,TE,I,7707,265.8,202.8,40.54,958.72,7.39E+06,33.91,2.61E+05,203.15,1.57E+06,579.96,4.47E+06,30.131,2.32E+05,,
041218Xim_WT_BH7,42,TE,I,6306,323.13,220.37,39.096,1311.9,8.27E+06,39.116,2.47E+05,268.97,1.70E+06,546.75,3.45E+06,37.859,2.39E+05,,
041218Xim_WT_BH7,43,TE,I,14424,406.46,237.08,42.363,1348.7,1.95E+07,42.467,6.13E+05,166.05,2.40E+06,604.44,8.72E+06,36.156,5.22E+05,,
041218Xim_WT_BH7,45,TE,I,8408,289.86,408.81,44.221,1218.2,1.02E+07,32.612,2.74E+05,181.66,1.53E+06,540.43,4.54E+06,32.129,2.70E+05,,
041218Xim_WT_BH7,46,ICM,I,7368,134.08,274.04,42.967,1964.6,1.45E+07,37.336,2.75E+05,296.46,2.18E+06,615.1,4.53E+06,162.73,1.20E+06,,
041218Xim_WT_BH7,47,ICM,I,5273,101,305,42,1756.256,,185.361,,32.135,,618.191,,37.183,,,
041218Xim_WT_BH7,48,TE,I,8826,100.67,350.38,46.144,1961.7,1.73E+07,36.151,3.19E+05,256.13,2.26E+06,615.11,5.43E+06,34.041,3.00E+05,,
041218Xim_WT_BH7,49,TE,I,13706,369.16,305.13,48.355,1044.3,1.43E+07,36.056,4.94E+05,148.24,2.03E+06,511.1,7.01E+06,32.924,4.51E+05,,
041218Xim_WT_BH7,50,TE,I,6197,377.4,233.99,48.501,965.24,5.98E+06,35.954,2.23E+05,147.63,9.15E+05,518.58,3.21E+06,34.098,2.11E+05,,
041218Xim_WT_BH7,51,TE,I,10130,311.01,201.37,51.506,659.67,6.68E+06,28.351,2.87E+05,178.3,1.81E+06,707.7,7.17E+06,29,2.94E+05,,
041218Xim_WT_BH7,52,ICM,I,5273,143,335,48,1752.553,,33.306,,230.59,,593.559,,221.365,,,
041218Xim_WT_BH7,52.2,ICM,I,7368,118,331,51,1233.17,,190.207,,37.43,,641.809,,37.562,,,
041218Xim_WT_BH7,53,ICM,I,3779,116.12,235.93,47.574,1273.1,4.81E+06,209.8,7.93E+05,48.151,1.82E+05,589.63,2.23E+06,35.874,1.36E+05,,
041218Xim_WT_BH7,53.2,ICM,I,3779,100,267,49,1133.136,,185.637,,38.944,,532.879,,37.495,,,
041218Xim_WT_BH7,54,TE,I,9694,156.38,398.34,55.081,1173.4,1.14E+07,33.259,3.22E+05,240.46,2.33E+06,544.87,5.28E+06,33.427,3.24E+05,,
041218Xim_WT_BH7,55,TE,I,9339,205.36,181.91,56.155,537.13,5.02E+06,26.279,2.45E+05,133.76,1.25E+06,534.04,4.99E+06,24.815,2.32E+05,,
041218Xim_WT_BH7,56,ICM,I,4054,152.45,358.62,56.161,1225.3,4.97E+06,35.772,1.45E+05,245.13,9.94E+05,540.21,2.19E+06,177.29,7.19E+05,,
041218Xim_WT_BH7,57,ICM,I,20106,347.93,368.8,57.783,984,1.98E+07,26.667,5.36E+05,127.75,2.57E+06,504.13,1.01E+07,27.515,5.53E+05,,
041218Xim_WT_BH7,58,ICM,I,9251,167.97,205.12,58.899,743.16,6.88E+06,32.625,3.02E+05,108.6,1.00E+06,560.72,5.19E+06,109.82,1.02E+06,,
041218Xim_WT_BH7,58.2,ICM,I,9251,155,200,66,680.15,,97.449,,43.249,,530.945,,42.441,,,
041218Xim_WT_BH7,59,ICM,I,17232,126.81,242.88,59.613,1033.2,1.78E+07,51.896,8.94E+05,164.89,2.84E+06,565.66,9.75E+06,54.544,9.40E+05,,
041218Xim_WT_BH7,59.2,ICM,I,17232,139,217,58,812.695,,110.439,,33.279,,493.716,,30.483,,,
041218Xim_WT_BH7,60,TE,I,11034,263.47,186.21,59.251,502.96,5.55E+06,24.309,2.68E+05,97.362,1.07E+06,544.78,6.01E+06,25.08,2.77E+05,,
041218Xim_WT_BH7,61,TE,I,12673,402.74,294.05,60.278,1008.5,1.28E+07,30.447,3.86E+05,71.796,9.10E+05,647.4,8.20E+06,29.116,3.69E+05,,
041218Xim_WT_BH7,63,ICM,I,2297,106,285,57,819.351,,134.188,,28.135,,577.413,,32.588,,,
041218Xim_WT_BH7,64,ICM,I,7860,147.97,289.32,59.81,783.08,6.16E+06,28.393,2.23E+05,72.268,5.68E+05,655.85,5.16E+06,150.84,1.19E+06,,
041218Xim_WT_BH7,65,ICM,I,5965,102.14,327.86,60.231,821.96,4.90E+06,143.63,8.57E+05,29.586,1.76E+05,487.81,2.91E+06,29.992,1.79E+05,,
041218Xim_WT_BH7,66,TE,I,7625,355.17,255.44,62.422,414.52,3.16E+06,20.614,1.57E+05,22.422,1.71E+05,540.18,4.12E+06,22.583,1.72E+05,,
041218Xim_WT_BH7,67,TE,I,8434,200.53,409.71,64.586,572.09,4.83E+06,27.632,2.33E+05,128.1,1.08E+06,446.28,3.76E+06,28.172,2.38E+05,,
041218Xim_WT_BH7,68,TE,I,9050,87.706,255.81,67.175,893.12,8.08E+06,27.876,2.52E+05,30.977,2.80E+05,510.29,4.62E+06,22.85,2.07E+05,,
041218Xim_WT_BH7,69,ICM,I,6395,170.8,243.42,68.242,524.52,3.35E+06,23.712,1.52E+05,145.84,9.33E+05,665.93,4.26E+06,100.42,6.42E+05,,
041218Xim_WT_BH7,70,TE,I,11590,254.99,403.35,66.461,419.54,4.86E+06,22.534,2.61E+05,99.448,1.15E+06,553.47,6.41E+06,23.194,2.69E+05,,
041218Xim_WT_BH7,71,TE,I,17174,383.87,283.78,71.337,435.52,7.48E+06,23.47,4.03E+05,83.761,1.44E+06,581.83,9.99E+06,24.253,4.17E+05,,
041218Xim_WT_BH7,73,TE,I,9346,339.44,250.78,70.809,307.24,2.87E+06,18.534,1.73E+05,21.071,1.97E+05,608.21,5.68E+06,20.724,1.94E+05,,
041218Xim_WT_BH7,74,TE,I,18202,160.64,194.41,75.377,543.78,9.90E+06,48.757,8.87E+05,55.193,1.00E+06,499.06,9.08E+06,29.141,5.30E+05,,
