Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
010919Xim_F4_DI3,1,TE,I,13266,235.45,217.02,4.7845,1993.2,2.64E+07,39.28,5.21E+05,189.77,2.52E+06,1806,2.40E+07,725.99,9.63E+06
010919Xim_F4_DI3,2,TE,I,8375,291.05,274.96,4.1736,1479.9,1.24E+07,38.451,3.22E+05,53.268,4.46E+05,1827.2,1.53E+07,680.27,5.70E+06
010919Xim_F4_DI3,3,TE,I,7815,218.93,288.66,4.4392,1635.7,1.28E+07,40.041,3.13E+05,52.979,4.14E+05,1842.8,1.44E+07,813.98,6.36E+06
010919Xim_F4_DI3,4,TE,I,10142,282.26,157.89,9.1958,1288.4,1.31E+07,32.717,3.32E+05,260.41,2.64E+06,1774.9,1.80E+07,518.35,5.26E+06
010919Xim_F4_DI3,5,TE,I,9641,341.6,203.62,8.4206,1356.7,1.31E+07,33.087,3.19E+05,213.65,2.06E+06,1763.7,1.70E+07,378.16,3.65E+06
010919Xim_F4_DI3,6,TE,I,20106,355.47,281.57,9.5566,1194.5,2.40E+07,28.898,5.81E+05,194.88,3.92E+06,1827.2,3.67E+07,387.12,7.78E+06
010919Xim_F4_DI3,7,TE,I,8359,176.42,298.9,9.0171,1482.9,1.24E+07,33.891,2.83E+05,43.744,3.66E+05,1842.4,1.54E+07,668.07,5.58E+06
010919Xim_F4_DI3,8,TE,I,7837,328.09,164.73,11.56,1434.2,1.12E+07,31.345,2.46E+05,108.5,8.50E+05,1747.6,1.37E+07,253.35,1.99E+06
010919Xim_F4_DI3,9,TE,I,8825,309.13,345.64,9.761,1282.6,1.13E+07,31.244,2.76E+05,155.47,1.37E+06,1834.2,1.62E+07,564.82,4.98E+06
010919Xim_F4_DI3,10,TE,I,13984,223.41,357.98,12.055,1036.1,1.45E+07,31.624,4.42E+05,38.489,5.38E+05,1816.6,2.54E+07,317.23,4.44E+06
010919Xim_F4_DI3,11,TE,I,16651,220.13,134.34,16.489,1536.5,2.56E+07,29.665,4.94E+05,150.39,2.50E+06,1751.4,2.92E+07,481.56,8.02E+06
010919Xim_F4_DI3,12,TE,I,8218,144.2,211.03,14.313,1555.7,1.28E+07,30.338,2.49E+05,43.022,3.54E+05,1665,1.37E+07,686.92,5.65E+06
010919Xim_F4_DI3,13,TE,I,12474,121.34,269.48,17.945,1412,1.76E+07,30.748,3.84E+05,38.94,4.86E+05,1907.4,2.38E+07,230.7,2.88E+06
010919Xim_F4_DI3,14,TE,I,10786,142.48,331.09,20.025,1208.4,1.30E+07,30.68,3.31E+05,34.734,3.75E+05,1825.4,1.97E+07,349.29,3.77E+06
010919Xim_F4_DI3,15,TE,I,7255,153.85,150.81,20.506,1685.9,1.22E+07,29.184,2.12E+05,36.715,2.66E+05,1784.6,1.29E+07,408.46,2.96E+06
010919Xim_F4_DI3,16,TE,I,16813,406.01,242.59,21.563,1220.4,2.05E+07,27.272,4.59E+05,245.16,4.12E+06,1819.9,3.06E+07,324.7,5.46E+06
010919Xim_F4_DI3,17,TE,I,8377,273.52,398.43,21.154,1257.6,1.05E+07,35.471,2.97E+05,37.129,3.11E+05,1829.9,1.53E+07,367.21,3.08E+06
010919Xim_F4_DI3,18,TE,I,8024,315.18,111.73,22.958,1427.4,1.15E+07,28.665,2.30E+05,179.54,1.44E+06,1734.7,1.39E+07,407.27,3.27E+06
010919Xim_F4_DI3,20,TE,I,8718,382.69,157.16,23.86,1256.1,1.10E+07,28.946,2.52E+05,226.79,1.98E+06,1768.6,1.54E+07,170.71,1.49E+06
