Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
020216Xim_JK4,1,14129,ICM,113.13,250.33,7.3026,2427.9,3.43E+07,601.35,8.50E+06,518.72,7.33E+06,985.16,1.39E+07,1415.8,2.00E+07
020216Xim_JK4,2,12620,TE,398.41,300.74,5.2967,2307.1,2.91E+07,39.336,4.96E+05,177.07,2.23E+06,1010.4,1.28E+07,1726.6,2.18E+07
020216Xim_JK4,3,14522,TE,388.94,197.45,7.164,1884.7,2.74E+07,38.17,5.54E+05,158.99,2.31E+06,1027.3,1.49E+07,1752.4,2.54E+07
020216Xim_JK4,4,9481,TE,184.84,387.42,6.3412,2401.7,2.28E+07,41.074,3.89E+05,126.62,1.20E+06,965.79,9.16E+06,828.72,7.86E+06
020216Xim_JK4,5,7968,TE,331.66,416.47,6.2924,1873.7,1.49E+07,40.388,3.22E+05,408.62,3.26E+06,947.96,7.55E+06,674.44,5.37E+06
020216Xim_JK4,6,10035,TE,128.52,140.88,7.9205,1681,1.69E+07,34.437,3.46E+05,126.66,1.27E+06,1002,1.01E+07,1605.6,1.61E+07
020216Xim_JK4,7,9737,ICM,137.48,203.98,8.1234,2145.7,2.09E+07,42.93,4.18E+05,156.28,1.52E+06,1011.6,9.85E+06,2043.4,1.99E+07
020216Xim_JK4,9,16009,TE,261.46,389.57,8.1358,1876.8,3.00E+07,35.012,5.61E+05,119.28,1.91E+06,970.21,1.55E+07,900.62,1.44E+07
020216Xim_JK4,10,9547,TE,226.25,426.22,8.873,1616.5,1.54E+07,39.616,3.78E+05,862.31,8.23E+06,1090.8,1.04E+07,815.45,7.79E+06
020216Xim_JK4,11,10266,TE,291.97,439.35,10.072,1616.1,1.66E+07,39.11,4.02E+05,407.06,4.18E+06,1067.3,1.10E+07,581.93,5.97E+06
020216Xim_JK4,12,13132,TE,417.35,359.21,10.602,2187.4,2.87E+07,39.708,5.21E+05,123.54,1.62E+06,951.5,1.25E+07,836.91,1.10E+07
020216Xim_JK4,13,10293,TE,122.73,382.32,9.5404,2320,2.39E+07,39.614,4.08E+05,129.02,1.33E+06,1040.1,1.07E+07,844.11,8.69E+06
020216Xim_JK4,14,10891,TE,430.75,280.78,12.417,2107.2,2.29E+07,42.178,4.59E+05,135.48,1.48E+06,979.8,1.07E+07,514.23,5.60E+06
020216Xim_JK4,15,13858,TE,368.66,410.83,15.315,1977.8,2.74E+07,37.733,5.23E+05,161.63,2.24E+06,943.62,1.31E+07,1451.2,2.01E+07
020216Xim_JK4,15.2,,TE,372,404,20,1673.987,,33.301,,148.478,,926.38,,1512.238,
020216Xim_JK4,16,8198,ESC,149.08,272.74,11.699,2090,1.71E+07,1002.9,8.22E+06,673.91,5.52E+06,924.24,7.58E+06,257.59,2.11E+06
020216Xim_JK4,16.2,,ESC,117,252,11,3078.57,,1600.664,,1107.208,,965.296,,423.887,
020216Xim_JK4,17,19570,TE,362.71,358.28,16.795,2230.9,4.37E+07,34.195,6.69E+05,132.59,2.59E+06,975.68,1.91E+07,1279.6,2.50E+07
020216Xim_JK4,17.2,,TE,353,369,21,2181.042,,33.259,,129.408,,1005.791,,1254.964,
020216Xim_JK4,18,12944,TE,351.83,145.86,14.988,1925.4,2.49E+07,37.689,4.88E+05,121.95,1.58E+06,1056.9,1.37E+07,365.76,4.73E+06
020216Xim_JK4,19,6656,TE,92.921,162.46,13.281,2057.8,1.37E+07,35.337,2.35E+05,140.96,9.38E+05,1095.4,7.29E+06,2003.6,1.33E+07
020216Xim_JK4,20,6230,TE,102.38,346.32,13.547,2240.2,1.40E+07,41.674,2.60E+05,168.74,1.05E+06,982.67,6.12E+06,2381.2,1.48E+07
020216Xim_JK4,21,14430,TE,370.9,111.91,16.57,1386.1,2.00E+07,36.334,5.24E+05,125.97,1.82E+06,1013.6,1.46E+07,501.38,7.23E+06
020216Xim_JK4,22,21545,TE,360.27,234.19,20.401,2279.7,4.91E+07,36.483,7.86E+05,130.07,2.80E+06,948.3,2.04E+07,956.05,2.06E+07
020216Xim_JK4,22.2,,TE,360,228,26,2046.068,,34.775,,125.957,,897.154,,988.527,
020216Xim_JK4,23,9513,TE,88.146,302.56,14.955,2351.8,2.24E+07,33.984,3.23E+05,117.94,1.12E+06,1006.6,9.58E+06,1380.6,1.31E+07
020216Xim_JK4,24,7771,TE,221.18,361.43,15.957,1819,1.41E+07,35.317,2.74E+05,154.14,1.20E+06,961.66,7.47E+06,1880.8,1.46E+07
020216Xim_JK4,25,7714,TE,329.21,98.668,16.095,1456.1,1.12E+07,33.131,2.56E+05,117.76,9.08E+05,973.76,7.51E+06,1226.2,9.46E+06
020216Xim_JK4,26,11582,TE,177.85,113,16.503,2183.8,2.53E+07,35.873,4.15E+05,141.54,1.64E+06,967.52,1.12E+07,1846.9,2.14E+07
020216Xim_JK4,27,4061,ICM,138.04,214.75,15.522,2070.2,8.41E+06,43.823,1.78E+05,179,7.27E+05,949.43,3.86E+06,2583.6,1.05E+07
020216Xim_JK4,28,16210,TE,173.92,58.079,20.197,1512.6,2.45E+07,32.066,5.20E+05,100,1.62E+06,971.84,1.58E+07,996.45,1.62E+07
020216Xim_JK4,29,9200,TE,143.88,410.96,18.528,1482.3,1.36E+07,33.781,3.11E+05,158.1,1.45E+06,1144.2,1.05E+07,569.15,5.24E+06
020216Xim_JK4,30,8281,ICM,182.76,181.31,18.738,1795.8,1.49E+07,33.084,2.74E+05,123.12,1.02E+06,1013.7,8.39E+06,1355.3,1.12E+07
020216Xim_JK4,31,4827,ESC,165.86,247.46,18.695,2661.2,1.28E+07,1268.1,6.12E+06,791.78,3.82E+06,982.93,4.74E+06,255.86,1.24E+06
020216Xim_JK4,32,10638,TE,67.49,208.44,21.604,2407.9,2.56E+07,31.642,3.37E+05,119.61,1.27E+06,997.77,1.06E+07,1634.7,1.74E+07
020216Xim_JK4,33,9746,TE,60.871,239.55,20.95,2265.8,2.21E+07,31.57,3.08E+05,118.09,1.15E+06,958.25,9.34E+06,1607.1,1.57E+07
020216Xim_JK4,34,9483,ICM,194.65,237.13,21.315,1958.3,1.86E+07,42.323,4.01E+05,125.61,1.19E+06,1005.2,9.53E+06,1266.2,1.20E+07
020216Xim_JK4,35,9343,TE,64.744,331.1,20.959,1983.2,1.85E+07,32.6,3.05E+05,105.59,9.87E+05,936.31,8.75E+06,1122,1.05E+07
020216Xim_JK4,36,11166,TE,166.33,354.95,19.924,2021.8,2.26E+07,26.728,2.98E+05,63.048,7.04E+05,1002.8,1.12E+07,563.91,6.30E+06
020216Xim_JK4,38,7400,ICM,160.97,200.43,19.785,1906,1.41E+07,36.748,2.72E+05,146.86,1.09E+06,947.17,7.01E+06,2087.5,1.54E+07
020216Xim_JK4,39,6483,TE,313.85,383.9,20.904,1783.6,1.16E+07,31.31,2.03E+05,93.339,6.05E+05,1117.1,7.24E+06,877.77,5.69E+06
020216Xim_JK4,40,9069,TE,322.03,63.644,22.173,1655,1.50E+07,36.026,3.27E+05,111.45,1.01E+06,956.1,8.67E+06,444.65,4.03E+06
020216Xim_JK4,41,13294,TE,428.15,224.64,22.354,1582.3,2.10E+07,33.448,4.45E+05,104.68,1.39E+06,982.63,1.31E+07,729.19,9.69E+06
020216Xim_JK4,42,7550,ESC,130.97,258.1,21.055,1939.5,1.46E+07,850.61,6.42E+06,1490.5,1.13E+07,991.93,7.49E+06,260.09,1.96E+06
020216Xim_JK4,43,15416,ICM,95.064,264.97,26.189,1451.1,2.24E+07,39.673,6.12E+05,155.49,2.40E+06,898.78,1.39E+07,2419.6,3.73E+07
020216Xim_JK4,44,7239,TE,185.17,434.43,23.134,1723.6,1.25E+07,30.109,2.18E+05,99.289,7.19E+05,1061.7,7.69E+06,852.65,6.17E+06
020216Xim_JK4,45,15207,TE,310.7,439.05,25.039,1677.3,2.55E+07,32.594,4.96E+05,277.81,4.22E+06,959.78,1.46E+07,1113.7,1.69E+07
020216Xim_JK4,46,7599,TE,106.35,107.95,24.702,1739.9,1.32E+07,32.03,2.43E+05,103.17,7.84E+05,1000.2,7.60E+06,1136.6,8.64E+06
020216Xim_JK4,47,4727,ICM,109.65,213.95,25.647,1298.2,6.14E+06,34.278,1.62E+05,117.28,5.54E+05,1051.5,4.97E+06,1625.7,7.68E+06
020216Xim_JK4,48,13836,TE,241.82,88.887,27.583,1694.9,2.35E+07,31.097,4.30E+05,73.903,1.02E+06,986.35,1.36E+07,378.43,5.24E+06
020216Xim_JK4,49,6911,TE,362.18,297.18,26.475,1596.3,1.10E+07,29.979,2.07E+05,97.076,6.71E+05,895.92,6.19E+06,1025.2,7.09E+06
020216Xim_JK4,50,4297,ICM,154.45,297.69,27.75,1670,7.18E+06,40.86,1.76E+05,113.55,4.88E+05,1083,4.65E+06,919.57,3.95E+06
020216Xim_JK4,51,7105,ICM,137.16,336.75,26.856,1400.9,9.95E+06,29.678,2.11E+05,106.63,7.58E+05,1019.6,7.24E+06,1461.6,1.04E+07
020216Xim_JK4,52,13482,ESC,245.2,445.55,28.413,1695,2.29E+07,28.158,3.80E+05,79.75,1.08E+06,1031.9,1.39E+07,265.35,3.58E+06
020216Xim_JK4,53,111,ICM,96,238,23,1392.2,1.55E+05,42.09,4672,150.58,16714,1104.5,1.23E+05,2406.7,2.67E+05
020216Xim_JK4,54,5109,ICM,152.84,240.2,27.516,1460.5,7.46E+06,782.7,4.00E+06,570.2,2.91E+06,1000.6,5.11E+06,287.18,1.47E+06
020216Xim_JK4,55,6558,ICM,101.99,291.06,27.163,1394.4,9.14E+06,32.554,2.13E+05,133.74,8.77E+05,974.53,6.39E+06,2158.1,1.42E+07
020216Xim_JK4,56,9723,ICM,273.64,356.89,30.04,1158.4,1.13E+07,29.536,2.87E+05,90.792,8.83E+05,1014.5,9.86E+06,627.85,6.10E+06
020216Xim_JK4,57,11139,TE,392.41,367.63,30.767,1373.5,1.53E+07,32.35,3.60E+05,84.378,9.40E+05,1096.6,1.22E+07,291.37,3.25E+06
020216Xim_JK4,58,10113,TE,111.43,390.58,28.476,1158.9,1.17E+07,26.148,2.64E+05,62.341,6.30E+05,937.45,9.48E+06,405.8,4.10E+06
020216Xim_JK4,59,10315,TE,298.8,100.65,31.769,1054,1.09E+07,23.777,2.45E+05,77.146,7.96E+05,1065.7,1.10E+07,882.15,9.10E+06
020216Xim_JK4,60,13593,TE,413.64,314.41,32.981,1237.1,1.68E+07,27.397,3.72E+05,76.854,1.04E+06,997.95,1.36E+07,440.96,5.99E+06
020216Xim_JK4,61,10785,ESC,134.19,262.92,31.038,1256,1.35E+07,578,6.23E+06,949.42,1.02E+07,969.02,1.05E+07,359.08,3.87E+06
020216Xim_JK4,62,11845,TE,405.34,173.23,33.369,1598.3,1.89E+07,28.72,3.40E+05,91.018,1.08E+06,997.78,1.18E+07,391.77,4.64E+06
020216Xim_JK4,63,6577,TE,352.05,410.71,32.534,1360.1,8.95E+06,27.073,1.78E+05,123.82,8.14E+05,990.67,6.52E+06,1155.7,7.60E+06
