Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, ,
041218Xim_WT_BH10,1,TE,I,5784,214.81,229.91,3.6418,3039.9,1.76E+07,104.56,6.05E+05,341.45,1.97E+06,632,3.66E+06,71.039,4.11E+05,,
041218Xim_WT_BH10,2,TE,I,6330,243.42,279.72,3.4079,2943.9,1.86E+07,83.814,5.31E+05,397.29,2.51E+06,623.72,3.95E+06,59.187,3.75E+05,,
041218Xim_WT_BH10,3,TE,I,5868,327.89,288.87,4.0646,3235.9,1.90E+07,135.07,7.93E+05,379.73,2.23E+06,628.01,3.69E+06,66.198,3.88E+05,,
041218Xim_WT_BH10,4,TE,I,9005,298.43,226.57,5.5257,2819.3,2.54E+07,102.48,9.23E+05,340.95,3.07E+06,604.48,5.44E+06,276.96,2.49E+06,,
041218Xim_WT_BH10,5,TE,I,11510,302.04,333.14,6.0587,2865.3,3.30E+07,72.198,8.31E+05,332.65,3.83E+06,624.65,7.19E+06,47.61,5.48E+05,,
041218Xim_WT_BH10,6,TE,I,11896,248,342.62,11.526,3046.9,3.62E+07,76.157,9.06E+05,503.93,5.99E+06,621.94,7.40E+06,45.271,5.39E+05,,
041218Xim_WT_BH10,7,TE,I,9347,316.58,179.88,9.518,2141.8,2.00E+07,63.974,5.98E+05,270.39,2.53E+06,645.65,6.03E+06,51.143,4.78E+05,,
041218Xim_WT_BH10,8,TE,I,8945,371.04,266.68,10.595,2424.3,2.17E+07,76.224,6.82E+05,346.95,3.10E+06,614.99,5.50E+06,51.091,4.57E+05,,
041218Xim_WT_BH10,9,TE,I,7922,259.07,142.18,15.938,2197.5,1.74E+07,69.014,5.47E+05,284.74,2.26E+06,624.91,4.95E+06,48.551,3.85E+05,,
041218Xim_WT_BH10,10,TE,I,5271,362.17,341.35,15.368,3330,1.76E+07,76.072,4.01E+05,372,1.96E+06,644.67,3.40E+06,48.52,2.56E+05,,
041218Xim_WT_BH10,11,TE,I,8823,372.36,196.09,17.049,2370.9,2.09E+07,67.941,5.99E+05,312.03,2.75E+06,624.6,5.51E+06,55.435,4.89E+05,,
041218Xim_WT_BH10,12,TE,I,11466,156.6,225.77,14.527,1816.8,2.08E+07,49.105,5.63E+05,126.2,1.45E+06,487.42,5.59E+06,40.165,4.61E+05,,
