Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
033117Xim_F4KO_AC1,1,TE,I,10683,292.23,247.57,4.3468,3386,3.62E+07,49.332,5.27E+05,48.911,5.23E+05,817.46,8.73E+06,186.28,1.99E+06
033117Xim_F4KO_AC1,2,TE,I,7349,232.73,269.01,4.8815,2919,2.15E+07,49.071,3.61E+05,61.32,4.51E+05,792.32,5.82E+06,625.98,4.60E+06
033117Xim_F4KO_AC1,5,TE,I,9058,252.58,209.29,7.6902,2467.3,2.23E+07,102.61,9.29E+05,49.82,4.51E+05,843.62,7.64E+06,473.14,4.29E+06
033117Xim_F4KO_AC1,6,TE,I,7445,322.41,212.25,7.3116,3121.4,2.32E+07,49.867,3.71E+05,54.149,4.03E+05,770.92,5.74E+06,400.67,2.98E+06
033117Xim_F4KO_AC1,7,TE,I,11723,368.8,255.67,7.7335,2349.7,2.75E+07,51.804,6.07E+05,47.617,5.58E+05,807.62,9.47E+06,191.6,2.25E+06
033117Xim_F4KO_AC1,8,TE,I,14452,253.46,331.89,7.7445,2978.8,4.31E+07,51.264,7.41E+05,45.67,6.60E+05,775.4,1.12E+07,301.09,4.35E+06
033117Xim_F4KO_AC1,10,TE,I,11610,155.25,239.45,8.8045,1803.9,2.09E+07,108.43,1.26E+06,55.508,6.44E+05,781.85,9.08E+06,268.79,3.12E+06
033117Xim_F4KO_AC1,12,TE,I,17675,291.76,373.12,12.609,2649.7,4.68E+07,41.367,7.31E+05,40.112,7.09E+05,771.19,1.36E+07,252.55,4.46E+06
033117Xim_F4KO_AC1,13,TE,I,7348,184.15,316.37,13.735,2398.7,1.76E+07,43.145,3.17E+05,41.658,3.06E+05,651.99,4.79E+06,354.76,2.61E+06
033117Xim_F4KO_AC1,14,TE,I,10387,393.6,314.23,15.713,2738.9,2.84E+07,49.456,5.14E+05,48.106,5.00E+05,808.73,8.40E+06,248.57,2.58E+06
033117Xim_F4KO_AC1,15,TE,I,9830,168.12,191.01,15.509,2110.8,2.07E+07,150.03,1.47E+06,87.239,8.58E+05,654.61,6.43E+06,526.23,5.17E+06
033117Xim_F4KO_AC1,16,TE,I,31089,131.5,319.18,19.736,2318.4,7.21E+07,56.801,1.77E+06,52.456,1.63E+06,752.97,2.34E+07,310.69,9.66E+06
033117Xim_F4KO_AC1,17,TE,I,15420,220.1,173.35,19.437,1989,3.07E+07,63.821,9.84E+05,40.977,6.32E+05,842.13,1.30E+07,303.84,4.69E+06
033117Xim_F4KO_AC1,18,TE,I,6064,348.33,188.16,18.26,3260.6,1.98E+07,43.861,2.66E+05,43.077,2.61E+05,796.48,4.83E+06,299.48,1.82E+06
