Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
021016Xim_F4KO_Q1,96,40,ESC,2322,159.67,309.69,33.013,1092.4,2.54E+06,484.39,1.12E+06,637.07,1.48E+06,1057.6,2.46E+06,430.73,1.00E+06,
021016Xim_F4KO_Q1,96,41,TE,12749,391.83,330.61,39.88,1882.8,2.40E+07,44.701,5.70E+05,326.38,4.16E+06,1230.4,1.57E+07,906.05,1.16E+07,
021016Xim_F4KO_Q1,96,42,EPI,5704,131.15,330.7,38.193,807.67,4.61E+06,75.726,4.32E+05,1103.3,6.29E+06,1059.1,6.04E+06,359.14,2.05E+06,
021016Xim_F4KO_Q1,96,43,ESC,10162,126,267,33,1380.67,,606.099,,717.446,,1012.442,,259.406,,
021016Xim_F4KO_Q1,96,43.2,ESC,10162,121,272,40,1228.73,,561.675,,767.524,,986.265,,231.648,,
021016Xim_F4KO_Q1,96,44,ESC,15718,177,281,41,1025.054,,545.75,,865.009,,1080.86,,275.438,,
021016Xim_F4KO_Q1,96,44.2,ESC,15718,188,296,41,1113.963,,752.889,,681.136,,995.437,,359.421,,
021016Xim_F4KO_Q1,96,45,TE,11469,321.47,396.55,42.438,1718.7,1.97E+07,40.115,4.60E+05,127.67,1.46E+06,1169.7,1.34E+07,1109.1,1.27E+07,
021016Xim_F4KO_Q1,96,46,TE,7899,378.87,137.21,43.166,2657.7,2.10E+07,29.529,2.33E+05,71.16,5.62E+05,1095.4,8.65E+06,297.41,2.35E+06,
021016Xim_F4KO_Q1,96,47,ESC,3286,164.62,245.33,39.053,826.06,2.71E+06,419.5,1.38E+06,638.07,2.10E+06,949.64,3.12E+06,233.98,7.69E+05,
021016Xim_F4KO_Q1,96,48,TE,20558,129.69,367.53,46.964,1178.4,2.42E+07,36.465,7.50E+05,104.51,2.15E+06,1198.6,2.46E+07,1046.1,2.15E+07,
021016Xim_F4KO_Q1,96,49,TE,6871,411.29,207.44,44.367,1703.4,1.17E+07,42.254,2.90E+05,241.54,1.66E+06,1180.3,8.11E+06,1023.4,7.03E+06,
021016Xim_F4KO_Q1,96,50,ESC,11542,120.2,298.75,42.951,838.95,9.68E+06,450.84,5.20E+06,496.79,5.73E+06,1083.5,1.25E+07,235.49,2.72E+06,
021016Xim_F4KO_Q1,96,51,PRE,7995,188.52,224.69,44.818,954.97,7.64E+06,40.886,3.27E+05,109.25,8.73E+05,875.21,7.00E+06,1089.9,8.71E+06,
