Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
011319Xim_WT_DP1,75,TE,I,11635,360.61,210.62,58.743,1227.8,1.43E+07,23.294,2.71E+05,22.649,2.64E+05,1567.9,1.82E+07,120.52,1.40E+06
011319Xim_WT_DP1,76,TE,I,7749,426.03,353.79,60.418,2063.5,1.60E+07,32.441,2.51E+05,26.039,2.02E+05,1466.1,1.14E+07,122.08,9.46E+05
011319Xim_WT_DP1,77,TE,I,8724,390.46,388.21,60.446,1809.7,1.58E+07,29.802,2.60E+05,29.586,2.58E+05,1571.9,1.37E+07,266.67,2.33E+06
011319Xim_WT_DP1,78,TE,I,11517,298.03,191.47,59.835,1127,1.30E+07,22.657,2.61E+05,21.839,2.52E+05,1531.5,1.76E+07,125.49,1.45E+06
011319Xim_WT_DP1,79,TE,I,8272,470.26,259.7,66.046,1761.9,1.46E+07,28.968,2.40E+05,26.04,2.15E+05,1356.6,1.12E+07,197.23,1.63E+06
011319Xim_WT_DP1,80,TE,I,7576,227.81,52.266,65.083,1366.1,1.03E+07,31.476,2.38E+05,30.555,2.31E+05,1351.2,1.02E+07,256.76,1.95E+06
011319Xim_WT_DP1,81,TE,I,11044,34.68,267.07,67.491,469.57,5.19E+06,24.069,2.66E+05,28.248,3.12E+05,1233.1,1.36E+07,140.59,1.55E+06
011319Xim_WT_DP1,82,TE,I,17950,294.89,78.883,69.426,1025.8,1.84E+07,23.66,4.25E+05,22.209,3.99E+05,1547.2,2.78E+07,114.96,2.06E+06
011319Xim_WT_DP1,83,TE,I,12435,420.52,216.26,69.346,1550.3,1.93E+07,27.572,3.43E+05,25.352,3.15E+05,1338.8,1.66E+07,166.91,2.08E+06
011319Xim_WT_DP1,84,TE,I,11399,344.37,421.59,69.418,1151.2,1.31E+07,24.877,2.84E+05,24.768,2.82E+05,1492.1,1.70E+07,158.42,1.81E+06
011319Xim_WT_DP1,85,TE,I,16811,127.19,106.67,74.018,753.69,1.27E+07,20.155,3.39E+05,21.022,3.53E+05,1464.3,2.46E+07,141.27,2.38E+06
011319Xim_WT_DP1,86,TE,I,3970,315.74,247.95,72.483,1303.1,5.17E+06,25.092,99617,21.064,83623,1463,5.81E+06,175.98,6.99E+05
011319Xim_WT_DP1,87,TE,I,21173,52.753,331.95,75.274,556.12,1.18E+07,19.877,4.21E+05,19.579,4.15E+05,1202,2.55E+07,96.042,2.03E+06
011319Xim_WT_DP1,88,TE,I,16392,261.72,140.81,75.13,1032.5,1.69E+07,22.771,3.73E+05,22.331,3.66E+05,1581.4,2.59E+07,137.58,2.26E+06
011319Xim_WT_DP1,91,TE,I,8735,443.84,327.62,76.682,1265.3,1.11E+07,24.805,2.17E+05,22.187,1.94E+05,1301.5,1.14E+07,86.626,7.57E+05
011319Xim_WT_DP1,92,TE,I,9712,374.86,230.96,77.127,1090.2,1.06E+07,25.63,2.49E+05,24.195,2.35E+05,1299.4,1.26E+07,156.85,1.52E+06
011319Xim_WT_DP1,93,TE,I,18857,243.57,248.92,79.688,604.67,1.14E+07,20.095,3.79E+05,19.748,3.72E+05,1564.2,2.95E+07,128.59,2.42E+06
011319Xim_WT_DP1,94,TE,I,13173,76.529,159.37,77.689,371.75,4.90E+06,18.292,2.41E+05,17.228,2.27E+05,1327.8,1.75E+07,109.13,1.44E+06
011319Xim_WT_DP1,95,TE,I,14511,160.71,433.17,82.589,753.18,1.09E+07,22.121,3.21E+05,19.718,2.86E+05,1348.2,1.96E+07,123.33,1.79E+06
011319Xim_WT_DP1,96,TE,I,14901,255.12,450.79,82.571,647.87,9.65E+06,21.044,3.14E+05,19.268,2.87E+05,1185.3,1.77E+07,100.4,1.50E+06
011319Xim_WT_DP1,97,TE,I,7326,209.31,75.621,86.13,939.99,6.89E+06,20.645,1.51E+05,19.903,1.46E+05,1642.1,1.20E+07,169.27,1.24E+06
011319Xim_WT_DP1,101,TE,I,18834,400.11,376.56,87.597,818.44,1.54E+07,20.767,3.91E+05,26.847,5.06E+05,1123.2,2.12E+07,112.12,2.11E+06
011319Xim_WT_DP1,102,TE,I,15019,334.02,428.16,87.874,706.72,1.06E+07,21.474,3.23E+05,56.384,8.47E+05,1089.4,1.64E+07,101.75,1.53E+06
011319Xim_WT_DP1,103,TE,I,16310,205.55,166.88,91.558,548.21,8.94E+06,16.829,2.74E+05,18.361,2.99E+05,1594.9,2.60E+07,94.306,1.54E+06
011319Xim_WT_DP1,104,TE,I,12412,435.75,274.94,91.084,680.49,8.45E+06,21.083,2.62E+05,17.691,2.20E+05,1509.4,1.87E+07,55.421,6.88E+05
011319Xim_WT_DP1,105,TE,I,19100,271.64,275.75,96.91,375.16,7.17E+06,33.453,6.39E+05,16.918,3.23E+05,1343.1,2.57E+07,76.582,1.46E+06
011319Xim_WT_DP1,106,TE,I,14603,133.68,110.35,97.065,500.83,7.31E+06,17.667,2.58E+05,17.731,2.59E+05,1333.9,1.95E+07,138.3,2.02E+06
011319Xim_WT_DP1,107,TE,I,14035,57.482,215.46,99.279,258.48,3.63E+06,16.25,2.28E+05,16.794,2.36E+05,1243.2,1.74E+07,73.146,1.03E+06
011319Xim_WT_DP1,108,TE,I,9096,343.1,255.32,98.357,669.61,6.09E+06,19.662,1.79E+05,17.266,1.57E+05,1559.5,1.42E+07,83.353,7.58E+05
011319Xim_WT_DP1,109,TE,I,25387,85.739,369.56,97.301,390.78,9.92E+06,16.591,4.21E+05,14.883,3.78E+05,1235.5,3.14E+07,62.851,1.60E+06
011319Xim_WT_DP1,110,TE,I,22215,178.76,131.56,103.15,357.99,7.95E+06,15.197,3.38E+05,15.219,3.38E+05,1652.1,3.67E+07,66.293,1.47E+06
011319Xim_WT_DP1,111,TE,I,13755,390.16,267.84,104.28,505.59,6.95E+06,16.837,2.32E+05,14.756,2.03E+05,1618.4,2.23E+07,44.919,6.18E+05
011319Xim_WT_DP1,112,TE,I,18593,240.4,438.22,103.77,467.03,8.68E+06,17.94,3.34E+05,22.53,4.19E+05,1259,2.34E+07,80.524,1.50E+06
011319Xim_WT_DP1,113,TE,I,14690,57.62,286.61,106.66,225.03,3.31E+06,18.644,2.74E+05,14.715,2.16E+05,1318.7,1.94E+07,52.091,7.65E+05
011319Xim_WT_DP1,114,TE,I,21167,191.98,259.63,108.91,317.54,6.72E+06,19.253,4.08E+05,15.855,3.36E+05,1331.2,2.82E+07,67.755,1.43E+06
011319Xim_WT_DP1,115,TE,I,19277,163.77,417.93,108.54,322.92,6.22E+06,16.142,3.11E+05,20.402,3.93E+05,1410.1,2.72E+07,68.403,1.32E+06
011319Xim_WT_DP1,116,TE,I,22777,372.5,337.62,114.18,547.19,1.25E+07,16.133,3.67E+05,16.486,3.76E+05,1535.9,3.50E+07,108.45,2.47E+06
011319Xim_WT_DP1,117,TE,I,11832,214.19,413.14,116.24,426.73,5.05E+06,19.192,2.27E+05,21.409,2.53E+05,1530.6,1.81E+07,81.598,9.65E+05
011319Xim_WT_DP1,118,TE,I,17766,292.91,414.69,115.29,382.96,6.80E+06,15.506,2.75E+05,29.04,5.16E+05,1434.9,2.55E+07,64.879,1.15E+06
011319Xim_WT_DP1,119,TE,I,11052,97.486,169.36,113.85,269.37,2.98E+06,15.77,1.74E+05,15.188,1.68E+05,1282.8,1.42E+07,56.677,6.26E+05
011319Xim_WT_DP1,120,TE,I,31253,290.17,284.21,120.33,521.66,1.63E+07,80.439,2.51E+06,16.255,5.08E+05,1449,4.53E+07,43.086,1.35E+06
011319Xim_WT_DP1,121,TE,I,12306,133.38,187.24,121.07,217.04,2.67E+06,13.946,1.72E+05,13.367,1.64E+05,1317.4,1.62E+07,49.317,6.07E+05
011319Xim_WT_DP1,123,TE,I,20397,313.47,369.79,124.35,424,8.65E+06,15.814,3.23E+05,14.364,2.93E+05,1570.5,3.20E+07,45.017,9.18E+05
011319Xim_WT_DP1,124,TE,I,21140,127.61,352.4,129.53,281.11,5.94E+06,15.128,3.20E+05,14.025,2.96E+05,1498.4,3.17E+07,43.123,9.12E+05
011319Xim_WT_DP1,125,TE,I,28062,96.453,261.22,130.03,192.6,5.40E+06,13.885,3.90E+05,14.206,3.99E+05,1317.5,3.70E+07,69.527,1.95E+06
011319Xim_WT_DP1,127,TE,I,10257,194.93,369.4,131.95,332.72,3.41E+06,15.705,1.61E+05,18.732,1.92E+05,1552.6,1.59E+07,73.438,7.53E+05
011319Xim_WT_DP1,128,TE,I,28696,187.38,299.18,134.31,202.42,5.81E+06,15.309,4.39E+05,14.354,4.12E+05,1521.7,4.37E+07,52.92,1.52E+06
011319Xim_WT_DP1,131,TE,I,13761,247.16,350.47,134.27,295.18,4.06E+06,14.177,1.95E+05,13.305,1.83E+05,1569.5,2.16E+07,39.591,5.45E+05
