Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
020916Xim_F4KO_P5,115,41,TE,13756,163,97.621,39.096,1157.4,1.59E+07,25.655,3.53E+05,108.54,1.49E+06,1083.7,1.49E+07,1934.3,2.66E+07,
020916Xim_F4KO_P5,115,42,TE,8104,64.174,335.14,37.367,947.34,7.68E+06,28.831,2.34E+05,78.9,6.39E+05,907.33,7.35E+06,748.97,6.07E+06,
020916Xim_F4KO_P5,115,43,TE,9026,60.369,179.26,36.554,1245,1.12E+07,37.149,3.35E+05,611.26,5.52E+06,1037.8,9.37E+06,1993.7,1.80E+07,
020916Xim_F4KO_P5,115,44,TE,11118,362.08,415.39,38.092,1242.4,1.38E+07,26.991,3.00E+05,213.23,2.37E+06,1061.6,1.18E+07,621.63,6.91E+06,
020916Xim_F4KO_P5,115,45,TE,8403,450.36,222.87,39.664,845.99,7.11E+06,28.908,2.43E+05,98.168,8.25E+05,1029.2,8.65E+06,876.94,7.37E+06,
020916Xim_F4KO_P5,115,46,PRE,3629,101.44,244.58,37.012,780.69,2.83E+06,44.042,1.60E+05,356.34,1.29E+06,924.48,3.35E+06,1704.9,6.19E+06,
020916Xim_F4KO_P5,115,47,PRE,6531,93.195,171.5,41.923,1104.9,7.22E+06,32.265,2.11E+05,183.08,1.20E+06,980.49,6.40E+06,1984.2,1.30E+07,
020916Xim_F4KO_P5,115,50,TE,11495,26.902,294.73,48.663,821.05,9.44E+06,31.55,3.63E+05,126.34,1.45E+06,1084.7,1.25E+07,754.09,8.67E+06,
020916Xim_F4KO_P5,115,51,TE,15892,243.89,455.21,50.622,1005.2,1.60E+07,25.248,4.01E+05,88.501,1.41E+06,1161.4,1.85E+07,1453.7,2.31E+07,
020916Xim_F4KO_P5,115,52,PRE,7494,88.608,223.02,47.334,708.21,5.31E+06,28.515,2.14E+05,306.4,2.30E+06,989.59,7.42E+06,1714.1,1.28E+07,
020916Xim_F4KO_P5,115,53,ESC,7414,71.835,298.08,46.757,987.52,7.32E+06,429.74,3.19E+06,549.19,4.07E+06,1049.7,7.78E+06,475.03,3.52E+06,
020916Xim_F4KO_P5,115,54,EPI,8387,65.846,172.13,48.199,964.457,,29.106,,1166.132,,1034.119,,410.023,,
020916Xim_F4KO_P5,115,55,TE,8200,456.29,333.5,50.61,761.43,6.24E+06,24.236,1.99E+05,103.35,8.47E+05,1090.7,8.94E+06,631.53,5.18E+06,
020916Xim_F4KO_P5,115,56,ESC,1629,46.387,281.67,48.53,862.88,1.41E+06,440.66,7.18E+05,627.43,1.02E+06,990.29,1.61E+06,259.38,4.23E+05,
020916Xim_F4KO_P5,115,59,PRE,3331,48.385,193.65,46.656,928.19,3.09E+06,31.119,1.04E+05,661.45,2.20E+06,923.36,3.08E+06,1826.6,6.08E+06,
020916Xim_F4KO_P5,115,60,TE,8514,237.77,68.885,54.975,744.53,6.34E+06,26.005,2.21E+05,79.876,6.80E+05,1039.4,8.85E+06,1163.2,9.90E+06,
020916Xim_F4KO_P5,115,61,ESC,5139,55.42,313.63,53.564,764.76,3.93E+06,393,2.02E+06,518.78,2.67E+06,1007.9,5.18E+06,245.42,1.26E+06,
020916Xim_F4KO_P5,115,62,TE,8571,91.324,377.21,56.396,720.23,6.17E+06,22.885,1.96E+05,62.739,5.38E+05,1050.2,9.00E+06,842.82,7.22E+06,
020916Xim_F4KO_P5,115,63,TE,11676,424.13,394.75,59.349,585.27,6.83E+06,22.724,2.65E+05,48.473,5.66E+05,1138.4,1.33E+07,344.92,4.03E+06,
020916Xim_F4KO_P5,115,64,TE,11782,342.73,81.958,58.946,685.95,8.08E+06,23.912,2.82E+05,62.07,7.31E+05,1088.1,1.28E+07,606.28,7.14E+06,
020916Xim_F4KO_P5,115,65,TE,16643,467.37,201.65,58.86,587.64,9.78E+06,23.298,3.88E+05,49.505,8.24E+05,1181.8,1.97E+07,409.69,6.82E+06,
020916Xim_F4KO_P5,115,67,TE,10455,102.88,118.65,59.519,762.91,7.98E+06,22.953,2.40E+05,69.191,7.23E+05,1032.5,1.08E+07,792.79,8.29E+06,
020916Xim_F4KO_P5,115,68,TE,12905,44.497,169.61,60.485,687.97,8.88E+06,24.598,3.17E+05,123.79,1.60E+06,1040.3,1.34E+07,923.8,1.19E+07,
020916Xim_F4KO_P5,115,69,EPI,4166,70.759,250.18,51.684,743.66,3.10E+06,26.204,1.09E+05,942.97,3.93E+06,1039.2,4.33E+06,219.19,9.13E+05,
020916Xim_F4KO_P5,115,69.2,EPI,4166,58,276,61,596.796,,99.172,,689.398,,1010.894,,181.261,,
020916Xim_F4KO_P5,115,70,EPI,15879,60,257,43,879.33,,36.976,,863.124,,1071.932,,302.052,,
020916Xim_F4KO_P5,115,71,TE,15879,363.95,431.81,59.666,735.57,1.17E+07,21.59,3.43E+05,64.573,1.03E+06,1089.9,1.73E+07,429.8,6.82E+06,
020916Xim_F4KO_P5,115,72,TE,10358,412.2,115.65,63.07,771.46,7.99E+06,25.444,2.64E+05,91.595,9.49E+05,1096.8,1.14E+07,610.91,6.33E+06,
020916Xim_F4KO_P5,115,73,PRE,7357,78.453,296.48,58.752,527.38,3.88E+06,81.75,6.01E+05,152.58,1.12E+06,950.02,6.99E+06,1096.9,8.07E+06,
020916Xim_F4KO_P5,115,74,EPI,1476,58.822,191.32,56.65,699.53,1.03E+06,25.783,38055,643.55,9.50E+05,987.34,1.46E+06,363.25,5.36E+05,
020916Xim_F4KO_P5,115,75,EPI,4407,37.74,298.99,59.633,687.59,3.03E+06,66.059,2.91E+05,558.37,2.46E+06,1053,4.64E+06,210.95,9.30E+05,
020916Xim_F4KO_P5,115,76,TE,5979,25.927,252.72,59.6,489.26,2.93E+06,27.452,1.64E+05,127.27,7.61E+05,1029.9,6.16E+06,1247.3,7.46E+06,
020916Xim_F4KO_P5,115,78,PRE,10165,77.461,174.78,62.41,484.72,4.93E+06,23.705,2.41E+05,212.22,2.16E+06,960.09,9.76E+06,958.48,9.74E+06,
020916Xim_F4KO_P5,115,80,EPI,4731,48.301,224.59,58.748,597.37,2.83E+06,53.713,2.54E+05,471.98,2.23E+06,1054.6,4.99E+06,173.7,8.22E+05,
020916Xim_F4KO_P5,115,81,PRE,14078,89.972,250.37,67.663,357.62,5.03E+06,22.182,3.12E+05,100.08,1.41E+06,942.96,1.33E+07,944.75,1.33E+07,
020916Xim_F4KO_P5,115,82,TE,14037,158.25,427.48,66.929,608.69,8.54E+06,25.334,3.56E+05,82.201,1.15E+06,967.83,1.36E+07,1179.5,1.66E+07,
020916Xim_F4KO_P5,115,83,PRE,1957,69.67,213.95,64.975,418.65,8.19E+05,22.448,43931,173.71,3.40E+05,974.01,1.91E+06,985.42,1.93E+06,
020916Xim_F4KO_P5,115,84,TE,16874,478.26,313.62,71.879,610.84,1.03E+07,24.232,4.09E+05,225.74,3.81E+06,1036.1,1.75E+07,345.82,5.84E+06,
020916Xim_F4KO_P5,115,85,TE,16895,313.62,452.97,70.822,391.11,6.61E+06,20.919,3.53E+05,61.833,1.04E+06,1085.2,1.83E+07,397.47,6.72E+06,
020916Xim_F4KO_P5,115,86,TE,14449,290.59,60.571,72.557,633.11,9.15E+06,20.889,3.02E+05,60.948,8.81E+05,1066.3,1.54E+07,837.75,1.21E+07,
020916Xim_F4KO_P5,115,87,TE,7096,50.339,319.28,68.659,527.82,3.75E+06,49.557,3.52E+05,142.36,1.01E+06,941.67,6.68E+06,1066.7,7.57E+06,
020916Xim_F4KO_P5,115,88,EPI,10380,34.664,217.6,70.878,353.75,3.67E+06,25.857,2.68E+05,388.55,4.03E+06,986.18,1.02E+07,173.71,1.80E+06,
020916Xim_F4KO_P5,115,89,PRE,10661,37.617,263.19,70.633,435.15,4.64E+06,36.438,3.88E+05,151.26,1.61E+06,953.37,1.02E+07,893.38,9.52E+06,
020916Xim_F4KO_P5,115,90,TE,10427,178.09,80.938,74.103,502.68,5.24E+06,20.84,2.17E+05,51.877,5.41E+05,975.81,1.02E+07,598.57,6.24E+06,
020916Xim_F4KO_P5,115,91,PRE,7954,64.754,295.41,73.764,409.39,3.26E+06,32.152,2.56E+05,116.63,9.28E+05,921.73,7.33E+06,611.23,4.86E+06,
020916Xim_F4KO_P5,115,92,TE,9065,39.052,308.79,79.291,373.69,3.39E+06,22.3,2.02E+05,71.81,6.51E+05,907.45,8.23E+06,612.54,5.55E+06,
020916Xim_F4KO_P5,115,93,TE,13703,435.02,391.41,80.733,529.7,7.26E+06,19.87,2.72E+05,42.938,5.88E+05,987.01,1.35E+07,236.95,3.25E+06,
020916Xim_F4KO_P5,115,94,TE,12195,91.86,146.87,83.756,279.06,3.40E+06,15.312,1.87E+05,37.446,4.57E+05,1047.9,1.28E+07,433.74,5.29E+06,
020916Xim_F4KO_P5,115,95,PRE,12666,63.4,253.1,84.9,283.96,3.60E+06,19.455,2.46E+05,72.262,9.15E+05,972.67,1.23E+07,704.85,8.93E+06,
020916Xim_F4KO_P5,115,96,TE,6666,35.472,228.33,83.396,302.16,2.01E+06,23.018,1.53E+05,140.65,9.38E+05,933.91,6.23E+06,400.05,2.67E+06,
020916Xim_F4KO_P5,115,98,TE,8834,88.234,361.13,85.141,365.8,3.23E+06,18.492,1.63E+05,45.551,4.02E+05,947.2,8.37E+06,610.95,5.40E+06,
020916Xim_F4KO_P5,115,99,TE,14373,239.92,449.6,86.638,522.88,7.52E+06,18.725,2.69E+05,43.162,6.20E+05,914.82,1.31E+07,435.69,6.26E+06,
020916Xim_F4KO_P5,115,100,TE,18282,466.2,193.1,88.922,345.97,6.33E+06,18.15,3.32E+05,37.05,6.77E+05,929.11,1.70E+07,257.77,4.71E+06,
020916Xim_F4KO_P5,115,102,TE,8011,321.34,447.22,90.371,766.79,6.14E+06,21.039,1.69E+05,59.938,4.80E+05,835.72,6.70E+06,164.26,1.32E+06,
020916Xim_F4KO_P5,115,103,TE,41108,390.65,404.4,100.29,369.66,1.52E+07,17.801,7.32E+05,185.89,7.64E+06,1010.4,4.15E+07,122.35,5.03E+06,
020916Xim_F4KO_P5,115,104,TE,14010,395.03,102.89,93.263,352.9,4.94E+06,18.778,2.63E+05,42.411,5.94E+05,977.25,1.37E+07,232.84,3.26E+06,
020916Xim_F4KO_P5,115,105,TE,10604,471.24,269.77,95.482,476.86,5.06E+06,18.938,2.01E+05,38.864,4.12E+05,1049.1,1.11E+07,279.69,2.97E+06,
020916Xim_F4KO_P5,115,106,TE,11187,182.3,419.57,96.197,385.7,4.31E+06,18.136,2.03E+05,61.264,6.85E+05,1071.4,1.20E+07,449.8,5.03E+06,
020916Xim_F4KO_P5,115,107,TE,3311,48.013,217.45,93.583,204.84,6.78E+05,17.201,56953,51.96,1.72E+05,910.49,3.01E+06,480.37,1.59E+06,
020916Xim_F4KO_P5,115,108,TE,19362,187.72,91.676,98.06,304.46,5.90E+06,16.031,3.10E+05,38.77,7.51E+05,1102.1,2.13E+07,478.36,9.26E+06,
020916Xim_F4KO_P5,115,109,TE,18740,119.28,160.91,103.9,268,5.02E+06,15.948,2.99E+05,48.743,9.13E+05,1160.7,2.18E+07,364.3,6.83E+06,
020916Xim_F4KO_P5,115,110,TE,11176,147.48,385.87,102.92,267.77,2.99E+06,15.421,1.72E+05,50.96,5.70E+05,1130,1.26E+07,358.8,4.01E+06,
020916Xim_F4KO_P5,115,111,TE,14707,83.882,308.98,105.14,149.86,2.20E+06,13.698,2.01E+05,26.475,3.89E+05,1013,1.49E+07,289.52,4.26E+06,
020916Xim_F4KO_P5,115,112,TE,9439,442.37,184.57,107.43,340.3,3.21E+06,16.836,1.59E+05,32.475,3.07E+05,1082.9,1.02E+07,252.7,2.39E+06,
020916Xim_F4KO_P5,115,113,TE,15141,336.28,414.62,110.1,337.84,5.12E+06,17.032,2.58E+05,115.81,1.75E+06,1105.7,1.67E+07,235.94,3.57E+06,
020916Xim_F4KO_P5,115,114,TE,30725,298.22,95.772,115.76,231.19,7.10E+06,16.592,5.10E+05,25.903,7.96E+05,1140.8,3.51E+07,84.78,2.60E+06,
020916Xim_F4KO_P5,115,115,TE,13783,443.36,307.04,113.37,351.78,4.85E+06,16.298,2.25E+05,129.55,1.79E+06,1129.7,1.56E+07,187.46,2.58E+06,
020916Xim_F4KO_P5,115,116,TE,21401,276.46,403.02,117.59,314.62,6.73E+06,14.972,3.20E+05,34.135,7.31E+05,1158.1,2.48E+07,288.07,6.17E+06,
020916Xim_F4KO_P5,115,117,TE,21061,217.65,123.94,121.67,281.88,5.94E+06,14.922,3.14E+05,28.909,6.09E+05,1165.5,2.45E+07,184.15,3.88E+06,
020916Xim_F4KO_P5,115,118,TE,4945,108.12,225.31,119.12,286.47,1.42E+06,12.79,63247,21.589,1.07E+05,1005.1,4.97E+06,211.71,1.05E+06,
020916Xim_F4KO_P5,115,119,TE,11618,375.28,136.01,121.84,263.6,3.06E+06,16.44,1.91E+05,28.733,3.34E+05,1156.4,1.34E+07,199.58,2.32E+06,
020916Xim_F4KO_P5,115,120,TE,13919,163.07,349.93,122.1,210.45,2.93E+06,13.773,1.92E+05,27.577,3.84E+05,1188.4,1.65E+07,328.08,4.57E+06,
020916Xim_F4KO_P5,115,121,TE,10896,418.73,202.29,121.95,374.4,4.08E+06,14.315,1.56E+05,20.216,2.20E+05,1140.1,1.24E+07,134.05,1.46E+06,
020916Xim_F4KO_P5,115,122,TE,3878,136.32,274.32,126.18,471.72,1.83E+06,13.042,50578,22.214,86146,1149.5,4.46E+06,269.34,1.04E+06,
020916Xim_F4KO_P5,115,123,TE,21864,190.89,185.49,132.32,268.51,5.87E+06,14.027,3.07E+05,25.45,5.56E+05,1159.8,2.54E+07,272.28,5.95E+06,
020916Xim_F4KO_P5,115,124,TE,12110,400.49,272.05,132.48,310.81,3.76E+06,13.547,1.64E+05,23.289,2.82E+05,1158.1,1.40E+07,166.94,2.02E+06,
020916Xim_F4KO_P5,115,125,TE,12379,306.13,352.3,134.31,414.86,5.14E+06,14.148,1.75E+05,20.764,2.57E+05,1150.1,1.42E+07,116.43,1.44E+06,
020916Xim_F4KO_P5,115,126,TE,23372,215.04,287,140.41,283.01,6.61E+06,13.764,3.22E+05,42.714,9.98E+05,1143.8,2.67E+07,265.28,6.20E+06,
020916Xim_F4KO_P5,115,127,TE,9750,359.83,321.3,137.03,348.62,3.40E+06,13.668,1.33E+05,19.323,1.88E+05,1143.3,1.11E+07,122.47,1.19E+06,
020916Xim_F4KO_P5,115,128,TE,7064,285.92,207.38,147.69,419.2,2.96E+06,14.14,99885,25.677,1.81E+05,1186.5,8.38E+06,123.36,8.71E+05,
020916Xim_F4KO_P5,115,130,TE,7516,300.56,248.92,148.19,382.09,2.87E+06,14.002,1.05E+05,25.986,1.95E+05,1179.4,8.86E+06,120.11,9.03E+05,
