Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
111418Xim_WT_CX1,38,TE,I,24282,420.5,211.2,40.044,2639.3,6.41E+07,22.61,5.49E+05,48.331,1.17E+06,1190.9,2.89E+07,18.715,4.54E+05,
111418Xim_WT_CX1,39,TE,I,6633,274.94,409.57,38.791,1497.2,9.93E+06,24.423,1.62E+05,85.796,5.69E+05,1259.6,8.35E+06,17.872,1.19E+05,
111418Xim_WT_CX1,40,TE,I,4599,121.48,374.25,38.729,2453.9,1.13E+07,23.697,1.09E+05,126.16,5.80E+05,1448.7,6.66E+06,18.104,83258,
111418Xim_WT_CX1,41,TE,I,7898,291.77,110.65,41.632,1690.5,1.34E+07,25.173,1.99E+05,96.041,7.59E+05,1310.5,1.04E+07,18.768,1.48E+05,
111418Xim_WT_CX1,42,ICM,I,13707,105.61,236.22,41.518,1189.3,1.63E+07,30.453,4.17E+05,230.53,3.16E+06,1075.4,1.47E+07,17.485,2.40E+05,
111418Xim_WT_CX1,42.2,ICM,I,13707,90,258,44,833.179,,83.023,,48.507,,1204.396,,17.352,,
111418Xim_WT_CX1,43,TE,I,7968,412.97,345.67,42.051,1338,1.07E+07,24.793,1.98E+05,28.865,2.30E+05,1181.6,9.41E+06,18.055,1.44E+05,
111418Xim_WT_CX1,44,TE,I,8409,360.66,397.87,43.42,1095.5,9.21E+06,22.29,1.87E+05,32.168,2.71E+05,1259.2,1.06E+07,17.646,1.48E+05,
111418Xim_WT_CX1,45,TE,I,14796,77.341,321.88,44.966,1475.9,2.18E+07,35.378,5.23E+05,36.199,5.36E+05,1242.7,1.84E+07,17.101,2.53E+05,
111418Xim_WT_CX1,45.2,ICM,I,14796,91,313,45,983.389,,136.777,,28.041,,1155.393,,16.757,,
111418Xim_WT_CX1,46,TE,I,20711,437.66,238.95,49.033,2014.8,4.17E+07,20.776,4.30E+05,43.945,9.10E+05,1120.9,2.32E+07,17.934,3.71E+05,
111418Xim_WT_CX1,47,TE,I,6085,61.168,264.48,46.105,1610.5,9.80E+06,23.693,1.44E+05,73.814,4.49E+05,1345.1,8.18E+06,17.719,1.08E+05,
111418Xim_WT_CX1,48,TE,I,8652,237.2,100.72,47.014,1381.4,1.20E+07,19.942,1.73E+05,114.97,9.95E+05,1215.8,1.05E+07,17.801,1.54E+05,
111418Xim_WT_CX1,49,ICM,I,8959,110.21,306.19,44.736,956.45,8.57E+06,24.333,2.18E+05,154.74,1.39E+06,1117.3,1.00E+07,16.741,1.50E+05,
111418Xim_WT_CX1,50,ICM,I,7096,124.71,190.94,47.367,1018.2,7.23E+06,17.723,1.26E+05,142.92,1.01E+06,1086.9,7.71E+06,16.739,1.19E+05,
111418Xim_WT_CX1,51,TE,I,6477,68.419,211.41,46.181,1492.4,9.67E+06,21.931,1.42E+05,71.505,4.63E+05,1336.1,8.65E+06,17.58,1.14E+05,
111418Xim_WT_CX1,51.2,ICM,I,6477,76,244,48,843.781,,120.123,,24.592,,1064.608,,17.072,,
111418Xim_WT_CX1,52,TE,I,7184,322.09,405.85,47.072,1164.3,8.36E+06,41.092,2.95E+05,107.33,7.71E+05,1108.1,7.96E+06,17.658,1.27E+05,
111418Xim_WT_CX1,53,TE,I,7074,385.16,376.2,49.406,1022.4,7.23E+06,32.593,2.31E+05,54.601,3.86E+05,1171,8.28E+06,17.34,1.23E+05,
111418Xim_WT_CX1,54,TE,I,8580,170.03,110.13,51.67,1082.7,9.29E+06,19.233,1.65E+05,67.561,5.80E+05,1291,1.11E+07,17.25,1.48E+05,
111418Xim_WT_CX1,55,TE,I,14729,351.01,129.1,52.37,1362,2.01E+07,21.081,3.11E+05,25.463,3.75E+05,1295.9,1.91E+07,17.469,2.57E+05,
111418Xim_WT_CX1,56,ICM,I,6530,163.4,139.36,49.939,921.06,6.01E+06,17.009,1.11E+05,132.26,8.64E+05,1077.3,7.03E+06,16.864,1.10E+05,
111418Xim_WT_CX1,57,TE,I,9220,239.92,415.22,51.865,843.49,7.78E+06,19.69,1.82E+05,56.869,5.24E+05,1201.4,1.11E+07,16.902,1.56E+05,
111418Xim_WT_CX1,58,TE,M,10753,114.21,138.49,53.471,1283.6,1.38E+07,17.657,1.90E+05,19.081,2.05E+05,1219.8,1.31E+07,16.816,1.81E+05,
111418Xim_WT_CX1,59,TE,I,7049,423.16,335.78,52.692,1243.9,8.77E+06,28.097,1.98E+05,59.309,4.18E+05,1189.3,8.38E+06,17.855,1.26E+05,
111418Xim_WT_CX1,60,TE,I,6763,106.24,368.9,53.347,902.27,6.10E+06,17.79,1.20E+05,70.546,4.77E+05,1156.3,7.82E+06,16.718,1.13E+05,
111418Xim_WT_CX1,61,TE,I,14844,166.98,404.13,56.428,639.53,9.49E+06,18.146,2.69E+05,62.632,9.30E+05,1082.1,1.61E+07,16.641,2.47E+05,
111418Xim_WT_CX1,62,ICM,I,13014,77.946,229.44,57.393,883.54,1.15E+07,94.614,1.23E+06,22.577,2.94E+05,1038.7,1.35E+07,16.61,2.16E+05,
111418Xim_WT_CX1,63,ICM,I,4115,108.58,187.85,57.783,648.77,2.67E+06,17.408,71632,157.95,6.50E+05,1259.4,5.18E+06,16.091,66214,
111418Xim_WT_CX1,64,TE,I,16573,351.21,386.99,61.258,694.58,1.15E+07,29.753,4.93E+05,59.977,9.94E+05,1146.9,1.90E+07,16.611,2.75E+05,
