Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
020216Xim_JK2,69,6996,TE,354.65,152.41,48.49,1710.9,1.20E+07,32.043,2.24E+05,162.1,1.13E+06,980.55,6.86E+06,247.81,1.73E+06
020216Xim_JK2,70,14309,TE,225.79,130.72,49.721,1118.4,1.60E+07,25.004,3.58E+05,88.23,1.26E+06,913.78,1.31E+07,680.75,9.74E+06
020216Xim_JK2,72,6099,ICM,167.89,183.39,50.609,852.46,5.20E+06,23.463,1.43E+05,171.58,1.05E+06,1020.5,6.22E+06,550.68,3.36E+06
020216Xim_JK2,73,8886,ICM,195.1,180.35,51.592,756.72,6.72E+06,20.793,1.85E+05,61.739,5.49E+05,976.93,8.68E+06,544.5,4.84E+06
020216Xim_JK2,74,741,ICM,135.88,191.01,45.924,807.91,5.99E+05,22.981,17029,348.84,2.58E+05,1101.9,8.17E+05,1316.9,9.76E+05
020216Xim_JK2,75,20709,TE,121.43,192.61,54.61,715.35,1.48E+07,21.951,4.55E+05,169.47,3.51E+06,861.9,1.78E+07,804.78,1.67E+07
020216Xim_JK2,76,365,ICM,171.03,285.13,48.682,590.79,2.16E+05,34.742,12681,127.93,46694,1085.3,3.96E+05,754.95,2.76E+05
020216Xim_JK2,77,1459,ICM,143.43,228.84,50.232,711.98,1.04E+06,25.49,37190,176.84,2.58E+05,1049.8,1.53E+06,642.8,9.38E+05
020216Xim_JK2,78,2383,ICM,133.7,239.12,51.108,747.18,1.78E+06,26.18,62388,218.68,5.21E+05,1077.3,2.57E+06,865.7,2.06E+06
020216Xim_JK2,79,9904,ICM,181.25,300.93,51.795,578.59,5.73E+06,24.357,2.41E+05,80.475,7.97E+05,912.82,9.04E+06,885.99,8.77E+06
020216Xim_JK2,80,12346,TE,381.59,177.99,57.225,1031.2,1.27E+07,25.171,3.11E+05,548.93,6.78E+06,935.85,1.16E+07,485.52,5.99E+06
020216Xim_JK2,81,11615,TE,395.2,229.74,57.151,989.21,1.15E+07,23.625,2.74E+05,82.751,9.61E+05,913,1.06E+07,520.54,6.05E+06
020216Xim_JK2,82,16246,TE,276.26,131.8,56.997,1026.4,1.67E+07,24.461,3.97E+05,72.616,1.18E+06,877.2,1.43E+07,415.06,6.74E+06
020216Xim_JK2,83,8303,TE,298.98,373.12,57.497,864.66,7.18E+06,24.484,2.03E+05,80.035,6.65E+05,734.43,6.10E+06,735.44,6.11E+06
020216Xim_JK2,84,8585,TE,372.67,297.59,60.49,706.6,6.07E+06,22.189,1.90E+05,62.906,5.40E+05,856.42,7.35E+06,243.38,2.09E+06
020216Xim_JK2,85,4133,ICM,136.61,255.14,59.564,577.85,2.39E+06,19.386,80121,96.77,4.00E+05,1027.7,4.25E+06,531.68,2.20E+06
020216Xim_JK2,86,10819,TE,331.13,144,63.059,708.5,7.67E+06,24.498,2.65E+05,108.63,1.18E+06,822.42,8.90E+06,285.1,3.08E+06
020216Xim_JK2,87,12478,TE,210.87,362.32,64.536,633.93,7.91E+06,19.967,2.49E+05,65.961,8.23E+05,894.77,1.12E+07,649.47,8.10E+06
020216Xim_JK2,88,12151,TE,257.09,376.81,63.127,673.22,8.18E+06,20.755,2.52E+05,62.167,7.55E+05,833.12,1.01E+07,491.13,5.97E+06
020216Xim_JK2,89,10475,ICM,169.18,178.02,61.12,653.41,6.84E+06,20.754,2.17E+05,77.132,8.08E+05,899.63,9.42E+06,245.99,2.58E+06
020216Xim_JK2,90,33531,TE,322.53,335.74,68.996,721.54,2.42E+07,20.133,6.75E+05,57.994,1.94E+06,985.64,3.31E+07,324.07,1.09E+07
020216Xim_JK2,90.2,,TE,336,300,69,822.07,,20.964,,62.689,,928.196,,344.35,
020216Xim_JK2,91,18735,TE,112.9,245.37,65.819,469.74,8.80E+06,20.004,3.75E+05,69.719,1.31E+06,850.3,1.59E+07,431.88,8.09E+06
020216Xim_JK2,92,12696,TE,155.83,325.29,65.866,346.18,4.40E+06,18.211,2.31E+05,53.356,6.77E+05,737.88,9.37E+06,394,5.00E+06
020216Xim_JK2,93,7342,TE,383.71,255.22,70.042,593.09,4.35E+06,19.475,1.43E+05,48.98,3.60E+05,704.25,5.17E+06,188.6,1.38E+06
020216Xim_JK2,94,24053,ICM,202.48,182.49,72.102,550.14,1.32E+07,15.605,3.75E+05,31.415,7.56E+05,1001.5,2.41E+07,161.38,3.88E+06
020216Xim_JK2,95,13885,TE,373.27,192.43,71.702,481.44,6.68E+06,20.28,2.82E+05,130.43,1.81E+06,819.06,1.14E+07,228.05,3.17E+06
020216Xim_JK2,96,14243,TE,154.17,214.12,72.101,288.49,4.11E+06,17.607,2.51E+05,51.207,7.29E+05,950.52,1.35E+07,149.1,2.12E+06
020216Xim_JK2,97,11999,TE,141.77,286.39,72.871,268.07,3.22E+06,16.825,2.02E+05,47.976,5.76E+05,885.26,1.06E+07,327.13,3.93E+06
020216Xim_JK2,98,16537,TE,280.3,147.15,73.243,669.2,1.11E+07,18.821,3.11E+05,52.705,8.72E+05,938.39,1.55E+07,242.21,4.01E+06
020216Xim_JK2,99,18133,TE,209.25,326.29,77.482,296.18,5.37E+06,15.514,2.81E+05,42.094,7.63E+05,1114.5,2.02E+07,383.94,6.96E+06
020216Xim_JK2,100,11972,TE,360.87,288.55,76.717,433.38,5.19E+06,18.676,2.24E+05,48.123,5.76E+05,874.2,1.05E+07,212.24,2.54E+06
020216Xim_JK2,101,17562,TE,249.48,336.66,78.488,386.26,6.78E+06,16.253,2.85E+05,41.405,7.27E+05,1087.4,1.91E+07,277.1,4.87E+06
020216Xim_JK2,102,11411,TE,339.41,165.12,77.721,486.15,5.55E+06,19.041,2.17E+05,61.177,6.98E+05,844.94,9.64E+06,165.21,1.89E+06
020216Xim_JK2,103,4625,TE,210.87,166,78.856,423.04,1.96E+06,15.571,72016,29.247,1.35E+05,1184.7,5.48E+06,149.3,6.91E+05
020216Xim_JK2,104,23205,TE,175.07,250.64,82.971,212.79,4.94E+06,14.613,3.39E+05,31.77,7.37E+05,729.5,1.69E+07,198.54,4.61E+06
020216Xim_JK2,105,13018,TE,370.14,225.31,83.777,385.38,5.02E+06,17.828,2.32E+05,45.184,5.88E+05,895.24,1.17E+07,149.93,1.95E+06
020216Xim_JK2,106,18568,TE,279.67,184.88,85.852,435.28,8.08E+06,15.882,2.95E+05,34.925,6.48E+05,1035.4,1.92E+07,96.618,1.79E+06
020216Xim_JK2,107,11071,TE,342.03,263.31,85.879,363.14,4.02E+06,16.45,1.82E+05,38.476,4.26E+05,1103.9,1.22E+07,160.35,1.78E+06
020216Xim_JK2,108,14409,TE,307.8,294.02,86.515,332.33,4.79E+06,15.81,2.28E+05,35.417,5.10E+05,1054.4,1.52E+07,133.71,1.93E+06
020216Xim_JK2,109,10208,TE,280.6,300.76,86.726,308.49,3.15E+06,15.61,1.59E+05,34.902,3.56E+05,1010.8,1.03E+07,137.12,1.40E+06
020216Xim_JK2,110,19687,TE,319.94,220.89,87.292,408.41,8.04E+06,16.253,3.20E+05,40.954,8.06E+05,1046.1,2.06E+07,211.73,4.17E+06
020216Xim_JK2,111,18321,TE,217.87,275.28,86.759,247.91,4.54E+06,14.345,2.63E+05,28.351,5.19E+05,1095.4,2.01E+07,136.94,2.51E+06
020216Xim_JK2,112,19132,TE,254.06,233.87,88.64,408.69,7.82E+06,15.144,2.90E+05,32.807,6.28E+05,1101.1,2.11E+07,102.77,1.97E+06
