Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
020216Xim_JK1,1,8764,TE,269.82,239.74,3.9942,1647.9,1.44E+07,41.525,3.64E+05,344.29,3.02E+06,946.92,8.30E+06,2375.7,2.08E+07
020216Xim_JK1,3,11492,TE,277.64,297.01,4.2192,1966.3,2.26E+07,39.288,4.51E+05,188.97,2.17E+06,1030.7,1.18E+07,1745.6,2.01E+07
020216Xim_JK1,4,19432,TE,182.01,252.83,7.4068,2115.4,4.11E+07,48.346,9.39E+05,750.6,1.46E+07,967.35,1.88E+07,1633.4,3.17E+07
020216Xim_JK1,4.2,,ICM,192,261,11,2515.167,,47.461,,2355.654,,968.299,,479.467,
020216Xim_JK1,5,7988,TE,218.49,275.75,6.7084,2285.6,1.83E+07,62.735,5.01E+05,360.41,2.88E+06,1016.8,8.12E+06,1737.8,1.39E+07
020216Xim_JK1,6,12297,TE,341.95,224.62,8.6341,2202.6,2.71E+07,36.422,4.48E+05,158.46,1.95E+06,1011.8,1.24E+07,1960.3,2.41E+07
020216Xim_JK1,7,17858,TE,356,276.85,7.8104,1840.9,3.29E+07,37.55,6.71E+05,158.04,2.82E+06,984.72,1.76E+07,1665.2,2.97E+07
020216Xim_JK1,8,6280,TE,262.3,191.42,11.744,2367.7,1.49E+07,40.733,2.56E+05,162.5,1.02E+06,1078.8,6.77E+06,1737.9,1.09E+07
020216Xim_JK1,9,13675,ICM,199.97,337.79,14.478,1907.5,2.61E+07,36.817,5.03E+05,195.34,2.67E+06,966.45,1.32E+07,1740.8,2.38E+07
020216Xim_JK1,10,13325,ICM,212.61,202.21,14.384,2105.1,2.81E+07,38.994,5.20E+05,280.9,3.74E+06,992.29,1.32E+07,2571.4,3.43E+07
020216Xim_JK1,12,12391,TE,268.77,357.77,14.322,1210.5,1.50E+07,36.333,4.50E+05,202.01,2.50E+06,1010.2,1.25E+07,1930.7,2.39E+07
020216Xim_JK1,13,16639,TE,149.19,265.18,15.47,1851.4,3.08E+07,175.96,2.93E+06,519.95,8.65E+06,978.57,1.63E+07,1672.1,2.78E+07
020216Xim_JK1,14,9361,ICM,218.44,299.51,14.162,1931.3,1.81E+07,39.132,3.66E+05,225.77,2.11E+06,1013.5,9.49E+06,2833.2,2.65E+07
020216Xim_JK1,15,20216,TE,348.03,362.79,15.811,1664.8,3.37E+07,36.24,7.33E+05,224.18,4.53E+06,988.95,2.00E+07,1302.5,2.63E+07
020216Xim_JK1,15.2,,TE,364,355,15,1904.206,,38.33,,274.017,,990.271,,1613.341,
020216Xim_JK1,16,12040,TE,293.95,166.09,17.975,1969,2.37E+07,32.032,3.86E+05,157.49,1.90E+06,965.07,1.16E+07,2145.3,2.58E+07
020216Xim_JK1,17,11203,ICM,180.74,214.49,17.489,1885.4,2.11E+07,37.2,4.17E+05,1435.1,1.61E+07,974.3,1.09E+07,841.57,9.43E+06
020216Xim_JK1,17.2,,ICM,192,212,19,2080.886,,36.919,,1399.166,,1002.399,,919.756,
020216Xim_JK1,19,11390,TE,388.78,221.72,17.933,2241.5,2.55E+07,35.421,4.03E+05,148.37,1.69E+06,1011.3,1.15E+07,1345.1,1.53E+07
020216Xim_JK1,20,15273,TE,406.3,279.55,18.621,1743.9,2.66E+07,34.442,5.26E+05,111.78,1.71E+06,984.61,1.50E+07,388.94,5.94E+06
020216Xim_JK1,22,6029,ICM,193.09,320.91,19.41,1739.4,1.05E+07,35.496,2.14E+05,418.08,2.52E+06,887.59,5.35E+06,2536.8,1.53E+07
