Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
071816Xim_T10,68,10693,ICM,158.68,228.87,50.707,870.44,9.31E+06,21.827,2.33E+05,74.29,7.94E+05,951.86,1.02E+07,947.58,1.01E+07,
071816Xim_T10,69,6292,ICM,143.28,351.49,49.958,1258,7.92E+06,20.541,1.29E+05,106.42,6.70E+05,1015.2,6.39E+06,2110.9,1.33E+07,
071816Xim_T10,70,10989,TE,320.52,408.88,52.481,747.22,8.21E+06,17.361,1.91E+05,97.048,1.07E+06,1019.5,1.12E+07,429.81,4.72E+06,
071816Xim_T10,71,4076,ESC,117.63,252.66,50.737,690.83,2.82E+06,486.78,1.98E+06,392.74,1.60E+06,986.08,4.02E+06,142.14,5.79E+05,
071816Xim_T10,72,12615,ESC,103.42,293.43,53.226,867.97,1.09E+07,537.45,6.78E+06,387.35,4.89E+06,1017.5,1.28E+07,226.54,2.86E+06,
071816Xim_T10,73,11573,ICM,161.22,303.37,53.73,899.84,1.04E+07,19.935,2.31E+05,61.553,7.12E+05,972.19,1.13E+07,933.84,1.08E+07,
071816Xim_T10,74,11701,TE,345.9,99.22,55.551,821.1,9.61E+06,18.155,2.12E+05,51.816,6.06E+05,915.65,1.07E+07,433.24,5.07E+06,
071816Xim_T10,75,9263,TE,250.3,91.122,56.086,759.65,7.04E+06,18.051,1.67E+05,46.531,4.31E+05,977.67,9.06E+06,398.54,3.69E+06,
071816Xim_T10,76,27213,TE,424.68,291.8,62.553,863.73,2.35E+07,17.931,4.88E+05,67.742,1.84E+06,960.06,2.61E+07,643.78,1.75E+07,
071816Xim_T10,76.2,,TE,422,285,69,817.951,,17.318,,68.251,,892.183,,657.175,,
071816Xim_T10,77,5960,TE,381.8,380.78,56.463,910.33,5.43E+06,15.37,91608,39.931,2.38E+05,1000.5,5.96E+06,420.95,2.51E+06,
071816Xim_T10,78,9673,TE,116.38,167.52,58.987,807.65,7.81E+06,19.12,1.85E+05,56.824,5.50E+05,951.97,9.21E+06,592.35,5.73E+06,
071816Xim_T10,79,9665,TE,425.93,170.96,56.296,652.77,6.31E+06,19.032,1.84E+05,60.842,5.88E+05,939.82,9.08E+06,710.98,6.87E+06,
071816Xim_T10,80,337,ICM,144.8,254.91,54.852,580.29,1.96E+05,32.199,10851,55.718,18777,974.88,3.29E+05,473.58,1.60E+05,
071816Xim_T10,81,5651,ESC,60.855,263.45,58.22,1532.4,8.66E+06,607.79,3.43E+06,158.37,8.95E+05,960.81,5.43E+06,95.349,5.39E+05,
071816Xim_T10,82,5776,TE,360.28,396.01,59.216,1008.4,5.82E+06,15.83,91432,44.485,2.57E+05,999.58,5.77E+06,460.11,2.66E+06,
071816Xim_T10,83,4904,ICM,163.03,265.93,56.637,583.86,2.86E+06,19.219,94248,47.717,2.34E+05,1096.6,5.38E+06,560.55,2.75E+06,
071816Xim_T10,84,12976,TE,400.99,137.42,60.791,804.53,1.04E+07,17.817,2.31E+05,50.465,6.55E+05,965.25,1.25E+07,290.25,3.77E+06,
071816Xim_T10,85,10375,TE,238.58,408.55,60.159,577.62,5.99E+06,16.943,1.76E+05,57.002,5.91E+05,958,9.94E+06,417.76,4.33E+06,
071816Xim_T10,86,8051,TE,138.96,204.05,61.381,702.99,5.66E+06,17.351,1.40E+05,46.877,3.77E+05,986.81,7.94E+06,465.36,3.75E+06,
071816Xim_T10,87,2250,ICM,125.47,338.54,59.051,876.37,1.97E+06,20.474,46067,66.893,1.51E+05,1083.2,2.44E+06,1035,2.33E+06,
071816Xim_T10,88,11741,TE,285.19,414.05,64.081,649.04,7.62E+06,15.447,1.81E+05,49.333,5.79E+05,820.38,9.63E+06,464.2,5.45E+06,
071816Xim_T10,89,4052,ICM,99.744,223.43,60.036,632.06,2.56E+06,160.23,6.49E+05,133.98,5.43E+05,992.13,4.02E+06,721.94,2.93E+06,
071816Xim_T10,90,11872,TE,188.75,391.1,63.254,536.42,6.37E+06,18.817,2.23E+05,80.922,9.61E+05,882.31,1.05E+07,426.4,5.06E+06,
071816Xim_T10,91,4465,ICM,110.32,250.93,62.229,430.3,1.92E+06,79.808,3.56E+05,99.981,4.46E+05,928.38,4.15E+06,562.93,2.51E+06,
071816Xim_T10,92,11069,ICM,145.4,311.84,66.356,575.03,6.37E+06,21.711,2.40E+05,57.775,6.40E+05,947.58,1.05E+07,835.35,9.25E+06,
071816Xim_T10,93,8365,TE,91.986,204.45,66.575,451.7,3.78E+06,35.973,3.01E+05,56.841,4.75E+05,861.21,7.20E+06,422.79,3.54E+06,
071816Xim_T10,94,7062,TE,75.103,269.97,65.809,922.44,6.51E+06,120.41,8.50E+05,75.385,5.32E+05,960.17,6.78E+06,268.64,1.90E+06,
071816Xim_T10,95,11282,TE,119.04,346.18,67.429,563.04,6.35E+06,18.859,2.13E+05,48.814,5.51E+05,1041.5,1.18E+07,415.92,4.69E+06,
071816Xim_T10,96,12683,TE,183.43,113.36,68.322,525.66,6.67E+06,12.856,1.63E+05,23.148,2.94E+05,994.75,1.26E+07,146.3,1.86E+06,
071816Xim_T10,97,9665,TE,429.58,205.69,68.252,525.55,5.08E+06,15.807,1.53E+05,47.946,4.63E+05,971,9.38E+06,459.52,4.44E+06,
071816Xim_T10,98,13744,TE,304.44,94.075,69.088,656.21,9.02E+06,15.277,2.10E+05,45.497,6.25E+05,971.72,1.34E+07,483.91,6.65E+06,
071816Xim_T10,99,6575,TE,107.17,293.4,67.753,623.84,4.10E+06,74.482,4.90E+05,78.21,5.14E+05,937.2,6.16E+06,594.02,3.91E+06,
071816Xim_T10,100,16783,TE,161.41,267,69.805,389.82,6.54E+06,17.895,3.00E+05,47.912,8.04E+05,977.34,1.64E+07,656.48,1.10E+07,
071816Xim_T10,101,16757,TE,397.58,350.54,74.147,509.08,8.53E+06,13.378,2.24E+05,38.906,6.52E+05,982.68,1.65E+07,351,5.88E+06,
071816Xim_T10,102,9512,TE,112.34,229.25,73.23,372.23,3.54E+06,22.29,2.12E+05,47.248,4.49E+05,948.88,9.03E+06,444.17,4.22E+06,
071816Xim_T10,103,14310,TE,348.89,387.57,76.198,564.56,8.08E+06,14.441,2.07E+05,48.813,6.99E+05,981.69,1.40E+07,538.49,7.71E+06,
071816Xim_T10,104,11150,TE,137.63,187.94,76.931,357.07,3.98E+06,15.635,1.74E+05,40.656,4.53E+05,892.71,9.95E+06,425.6,4.75E+06,
071816Xim_T10,105,7360,TE,126.25,262.14,77.788,307.68,2.26E+06,20.015,1.47E+05,42.836,3.15E+05,907.77,6.68E+06,413.68,3.04E+06,
071816Xim_T10,106,11411,TE,406.52,179.33,80.495,329.79,3.76E+06,13.333,1.52E+05,36.471,4.16E+05,1070.8,1.22E+07,366.98,4.19E+06,
071816Xim_T10,107,12154,TE,228.73,387.97,79.498,351.81,4.28E+06,14.242,1.73E+05,34.708,4.22E+05,1089.5,1.32E+07,240.75,2.93E+06,
071816Xim_T10,108,13359,TE,372.69,134.04,81.068,404.24,5.40E+06,12.853,1.72E+05,32.057,4.28E+05,1032.8,1.38E+07,224.3,3.00E+06,
071816Xim_T10,109,8609,TE,96.655,289.03,80.03,278.79,2.40E+06,21.542,1.85E+05,36.974,3.18E+05,931.12,8.02E+06,339.38,2.92E+06,
071816Xim_T10,110,10768,TE,280.23,394.6,79.868,384.33,4.14E+06,13.812,1.49E+05,42.997,4.63E+05,986.35,1.06E+07,301.3,3.24E+06,
071816Xim_T10,111,14265,TE,253.76,117.75,83.185,549.48,7.84E+06,15.366,2.19E+05,40.883,5.83E+05,1044,1.49E+07,307.62,4.39E+06,
071816Xim_T10,112,14666,TE,171.07,352.86,83.51,254.79,3.74E+06,13.291,1.95E+05,27.51,4.03E+05,1103.9,1.62E+07,234.89,3.44E+06,
071816Xim_T10,113,26317,TE,392.82,253.46,89.175,291.59,7.67E+06,12.623,3.32E+05,49.837,1.31E+06,1110.9,2.92E+07,266.81,7.02E+06,
071816Xim_T10,113.2,,TE,385,248,91,338.597,,12.95,,59.911,,1107.535,,328.344,,
071816Xim_T10,114,9439,TE,129.34,222.66,86.193,241.38,2.28E+06,13.953,1.32E+05,50.497,4.77E+05,881.02,8.32E+06,313.27,2.96E+06,
071816Xim_T10,115,15975,TE,311.75,136.34,92.414,373.78,5.97E+06,12.726,2.03E+05,28.901,4.62E+05,1105.4,1.77E+07,211.26,3.37E+06,
071816Xim_T10,116,11832,TE,125.25,277.72,89.682,181.16,2.14E+06,13.302,1.57E+05,31.027,3.67E+05,863.31,1.02E+07,300.08,3.55E+06,
071816Xim_T10,117,25022,TE,200.77,147.95,94.135,331.43,8.29E+06,11.236,2.81E+05,19.421,4.86E+05,1145.3,2.87E+07,100.08,2.50E+06,
071816Xim_T10,118,19620,TE,360.35,322.76,93.836,386.19,7.58E+06,12.256,2.40E+05,26.82,5.26E+05,1110.8,2.18E+07,223.01,4.38E+06,
071816Xim_T10,119,12085,TE,304.61,368.83,93.377,299.38,3.62E+06,16.949,2.05E+05,28.334,3.42E+05,1105.6,1.34E+07,247.73,2.99E+06,
071816Xim_T10,120,11821,TE,158.42,313.69,95.485,172.76,2.04E+06,12.97,1.53E+05,24.51,2.90E+05,852.02,1.01E+07,196.65,2.32E+06,
071816Xim_T10,121,13146,TE,246.96,362.1,96.221,309.44,4.07E+06,14.311,1.88E+05,26.053,3.42E+05,1154.9,1.52E+07,174.11,2.29E+06,
