Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
080118Xim_WT_CF12,157,TE,I,6203,474.9,231.18,127.28,241.25,1.50E+06,13.986,86756,15.965,99031,1070.7,6.64E+06,14.549,90248,
080118Xim_WT_CF12,158,TE,I,5209,218.31,71.442,128.74,274.53,1.43E+06,13.274,69142,57.502,3.00E+05,1232.2,6.42E+06,14.994,78102,
080118Xim_WT_CF12,159,TE,I,11163,177.28,372.91,131.74,309.67,3.46E+06,13.254,1.48E+05,19.855,2.22E+05,1341.1,1.50E+07,14.747,1.65E+05,
080118Xim_WT_CF12,160,TE,I,7953,380.95,402.81,131.12,204.57,1.63E+06,13.887,1.10E+05,15.139,1.20E+05,1219.9,9.70E+06,14.572,1.16E+05,
080118Xim_WT_CF12,161,TE,I,7229,400.08,109.61,133.36,214.15,1.55E+06,13.768,99526,39.214,2.83E+05,1269.2,9.18E+06,14.512,1.05E+05,
080118Xim_WT_CF12,162,TE,I,8421,260.94,69.578,135.28,192.22,1.62E+06,14.385,1.21E+05,24.228,2.04E+05,1337.4,1.13E+07,14.91,1.26E+05,
080118Xim_WT_CF12,163,TE,I,7698,343.35,75.541,133.79,211.3,1.63E+06,13.54,1.04E+05,32.283,2.49E+05,1274.7,9.81E+06,14.742,1.13E+05,
080118Xim_WT_CF12,164,TE,I,5079,109.57,221.64,133.82,232.68,1.18E+06,12.308,62510,41.497,2.11E+05,1313.4,6.67E+06,15.533,78894,
080118Xim_WT_CF12,165,TE,I,7818,283.38,410.3,134.97,225.67,1.76E+06,13.184,1.03E+05,15.506,1.21E+05,1335.6,1.04E+07,14.617,1.14E+05,
080118Xim_WT_CF12,166,TE,I,7104,418.53,365.25,134.82,213.6,1.52E+06,12.904,91668,33.45,2.38E+05,1292.8,9.18E+06,14.668,1.04E+05,
080118Xim_WT_CF12,167,TE,I,6855,143.06,161.06,139.55,196.81,1.35E+06,11.98,82126,72.285,4.96E+05,1320.1,9.05E+06,14.89,1.02E+05,
080118Xim_WT_CF12,168,TE,I,10784,146.29,314.53,140.17,211.34,2.28E+06,12.051,1.30E+05,17.94,1.93E+05,1380.8,1.49E+07,14.576,1.57E+05,
080118Xim_WT_CF12,169,TE,I,7664,238.21,389.37,141.38,237.43,1.82E+06,13.888,1.06E+05,18.911,1.45E+05,1322.2,1.01E+07,14.606,1.12E+05,
080118Xim_WT_CF12,170,TE,I,14025,125.94,261.58,142.61,191.25,2.68E+06,12.096,1.70E+05,27.694,3.88E+05,1354.2,1.90E+07,14.876,2.09E+05,
080118Xim_WT_CF12,171,TE,I,5685,441.55,215.89,142.16,325.21,1.85E+06,13.595,77290,16.249,92376,1374.6,7.81E+06,14.908,84753,
080118Xim_WT_CF12,172,TE,I,14308,457.55,272.65,144.23,242.65,3.47E+06,13.336,1.91E+05,16.121,2.31E+05,1377.9,1.97E+07,14.531,2.08E+05,
080118Xim_WT_CF12,173,TE,I,7273,423.6,181.3,144.37,270.43,1.97E+06,13.496,98154,38.658,2.81E+05,1425.9,1.04E+07,15.106,1.10E+05,
080118Xim_WT_CF12,174,TE,I,4792,305.08,95.988,146.27,332.02,1.59E+06,14.595,69941,67.984,3.26E+05,1302,6.24E+06,14.785,70849,
080118Xim_WT_CF12,175,TE,I,4716,397.21,144.86,145.42,339.03,1.60E+06,12.579,59323,46.054,2.17E+05,1404.7,6.62E+06,14.527,68508,
080118Xim_WT_CF12,176,TE,I,10782,410.38,313.31,149.92,376.08,4.05E+06,12.766,1.38E+05,53.75,5.80E+05,1330.4,1.43E+07,14.603,1.57E+05,
080118Xim_WT_CF12,177,TE,I,7074,348.28,369.42,149.6,262.41,1.86E+06,12.44,88004,49.183,3.48E+05,1319.6,9.34E+06,14.677,1.04E+05,
080118Xim_WT_CF12,178,TE,I,7787,221.08,120.39,149.79,201.83,1.57E+06,12.567,97861,52.57,4.09E+05,1326.7,1.03E+07,14.451,1.13E+05,
080118Xim_WT_CF12,179,TE,I,5261,262.26,109.55,152.08,310.35,1.63E+06,14.337,75427,47.61,2.50E+05,1302,6.85E+06,14.853,78142,
080118Xim_WT_CF12,180,TE,I,10409,158.99,207.25,152.39,300.6,3.13E+06,12.978,1.35E+05,59.816,6.23E+05,1302.2,1.36E+07,15.042,1.57E+05,
080118Xim_WT_CF12,181,TE,I,6235,353.08,125.13,151.99,280.23,1.75E+06,13.107,81722,35.77,2.23E+05,1316.3,8.21E+06,14.57,90841,
080118Xim_WT_CF12,182,TE,I,5010,186.65,170.09,153.35,328.84,1.65E+06,12.877,64516,73.129,3.66E+05,1284.1,6.43E+06,14.788,74089,
080118Xim_WT_CF12,183,TE,I,7272,289.2,358.11,153.57,309.78,2.25E+06,13.904,1.01E+05,34.667,2.52E+05,1321.9,9.61E+06,14.783,1.08E+05,
080118Xim_WT_CF12,184,TE,I,10219,215.69,336.01,154.52,373.82,3.82E+06,12.961,1.32E+05,16.091,1.64E+05,1325.5,1.35E+07,14.814,1.51E+05,
080118Xim_WT_CF12,185,TE,I,6927,397.99,230.46,155.22,325.44,2.25E+06,14.075,97495,28.287,1.96E+05,1321.7,9.16E+06,14.947,1.04E+05,
080118Xim_WT_CF12,186,TE,I,3671,379.42,179.37,156.44,510.66,1.87E+06,12.71,46660,88.476,3.25E+05,1333.2,4.89E+06,14.773,54232,
080118Xim_WT_CF12,187,TE,I,3785,372.75,288.23,156.93,531.48,2.01E+06,13.086,49532,56.798,2.15E+05,1300.2,4.92E+06,14.962,56631,
080118Xim_WT_CF12,188,TE,I,3224,293.26,140.48,157.74,432.82,1.40E+06,13.764,44376,55.501,1.79E+05,1327.4,4.28E+06,15.161,48880,
080118Xim_WT_CF12,189,TE,I,6094,194.94,252.37,157.74,393.07,2.40E+06,12.66,77147,98.844,6.02E+05,1337.1,8.15E+06,14.916,90899,
080118Xim_WT_CF12,190,TE,I,3070,313.47,311.41,158.73,399.78,1.23E+06,13.069,40121,52.22,1.60E+05,1333.1,4.09E+06,15.615,47938,
080118Xim_WT_CF12,191,TE,I,2650,249.23,170.04,159.08,224.37,5.95E+05,12.867,34098,30.936,81980,1368.9,3.63E+06,15.241,40388,
080118Xim_WT_CF12,192,TE,I,1748,323.78,170.86,159.24,343.04,6.00E+05,13.349,23334,49.03,85704,1370.7,2.40E+06,15.411,26939,
080118Xim_WT_CF12,193,TE,I,1579,352.47,218.06,159.23,319.5,5.04E+05,12.224,19301,61.148,96552,1400.5,2.21E+06,14.836,23426,
080118Xim_WT_CF12,194,TE,I,1869,250.49,243.45,159.07,121.61,2.27E+05,11.972,22376,27.314,51050,1393.4,2.60E+06,14.546,27186,
080118Xim_WT_CF12,195,TE,I,1840,348.86,258.36,158.87,342.75,6.31E+05,12.552,23095,57.404,1.06E+05,1382,2.54E+06,14.745,27131,
080118Xim_WT_CF12,196,TE,I,2724,265,296.52,158.92,222.75,6.07E+05,12.503,34059,32.726,89146,1356.6,3.70E+06,14.719,40094,
