Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
121118G6NG_AO2,1,TE,I,9525,229.32,238.61,5.788,1425.4,1.36E+07,45.226,4.31E+05,19.508,1.86E+05,1627.3,1.55E+07,46.945,4.47E+05,
121118G6NG_AO2,2,TE,I,11471,178.64,248.74,5.89,1191.1,1.37E+07,180.57,2.07E+06,25.338,2.91E+05,1554.9,1.78E+07,140.47,1.61E+06,
121118G6NG_AO2,3,TE,I,6839,222.07,284.76,5.9944,1503.2,1.03E+07,99.449,6.80E+05,22.149,1.51E+05,1636.4,1.12E+07,75.086,5.14E+05,
121118G6NG_AO2,4,TE,I,10543,174.54,189.76,6.5359,1745.5,1.84E+07,55.698,5.87E+05,20.218,2.13E+05,1682.4,1.77E+07,61.154,6.45E+05,
121118G6NG_AO2,5,TE,I,7806,139.09,193.87,6.2684,1716.2,1.34E+07,85.219,6.65E+05,25.184,1.97E+05,1755.4,1.37E+07,80.367,6.27E+05,
121118G6NG_AO2,6,TE,I,7044,263.61,204.37,8.8531,1162.1,8.19E+06,190.08,1.34E+06,29.652,2.09E+05,1616.4,1.14E+07,122.22,8.61E+05,
121118G6NG_AO2,7,TE,I,11150,217.09,185.64,9.649,1571.1,1.75E+07,44.043,4.91E+05,17.953,2.00E+05,1564.3,1.74E+07,46.214,5.15E+05,
121118G6NG_AO2,8,TE,I,7401,126.82,247.34,8.7829,1322.4,9.79E+06,82.151,6.08E+05,21.286,1.58E+05,1521.8,1.13E+07,48.398,3.58E+05,
121118G6NG_AO2,9,TE,I,13278,292.2,242.63,14.192,987.17,1.31E+07,100.11,1.33E+06,27.723,3.68E+05,1787.3,2.37E+07,86.09,1.14E+06,
121118G6NG_AO2,10,TE,I,10792,90.32,195.01,10.799,1254.1,1.35E+07,225.98,2.44E+06,33.004,3.56E+05,1714.7,1.85E+07,60.06,6.48E+05,
121118G6NG_AO2,11,TE,I,10345,139.27,155.38,14.603,1762.8,1.82E+07,65.837,6.81E+05,20.782,2.15E+05,1499.7,1.55E+07,49.17,5.09E+05,
121118G6NG_AO2,12,TE,I,11688,275.57,282.88,13.363,761.2,8.90E+06,85.619,1.00E+06,27.792,3.25E+05,1514.6,1.77E+07,77.692,9.08E+05,
121118G6NG_AO2,13,TE,I,5350,188.9,278.78,14.897,1300.2,6.96E+06,76.191,4.08E+05,17.631,94325,1686.6,9.02E+06,60.243,3.22E+05,
121118G6NG_AO2,14,TE,I,11814,349.65,197.36,16.591,1247.1,1.47E+07,24.636,2.91E+05,18.92,2.24E+05,1569.3,1.85E+07,41.369,4.89E+05,
121118G6NG_AO2,15,TE,I,13140,230.43,301.42,16.244,1328.9,1.75E+07,73.528,9.66E+05,19.312,2.54E+05,1592.4,2.09E+07,58.919,7.74E+05,
121118G6NG_AO2,16,TE,I,8552,153.8,277.29,17.045,1340,1.15E+07,56.156,4.80E+05,18.964,1.62E+05,1530.1,1.31E+07,59.762,5.11E+05,
121118G6NG_AO2,17,ICM,I,2784,151.34,198.36,16.43,1302,3.62E+06,22.584,62873,32.213,89680,1677.9,4.67E+06,501.32,1.40E+06,
121118G6NG_AO2,18,TE,I,8092,117.7,192.24,15.475,1319.1,1.07E+07,29.283,2.37E+05,101.97,8.25E+05,1603.6,1.30E+07,60.898,4.93E+05,
121118G6NG_AO2,20,TE,I,7759,345.85,270.43,17.288,818.32,6.35E+06,91.719,7.12E+05,25.908,2.01E+05,1604.9,1.25E+07,63.123,4.90E+05,
