Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
121118G6NG_AO1,62,ICM,I,4517,229.85,251.76,26.279,720.58,3.25E+06,17.023,76891,36.165,1.63E+05,1485.7,6.71E+06,873.36,3.95E+06,
121118G6NG_AO1,63,ICM,I,4654,214.88,108.97,26.969,896.71,4.17E+06,19.164,89191,38.321,1.78E+05,1561.7,7.27E+06,948.45,4.41E+06,
121118G6NG_AO1,64,ICM,I,5813,172.46,163.14,26.113,881.64,5.13E+06,16.121,93712,152.63,8.87E+05,1525.1,8.87E+06,70.414,4.09E+05,
121118G6NG_AO1,65,ICM,I,1672,197.41,182.65,25.762,912.33,1.53E+06,16.729,27971,86.925,1.45E+05,1517.8,2.54E+06,74.209,1.24E+05,
121118G6NG_AO1,66,TE,I,6099,337.1,213.57,26.44,935.23,5.70E+06,128.97,7.87E+05,23.746,1.45E+05,1472.1,8.98E+06,67.572,4.12E+05,
121118G6NG_AO1,67,TE,I,9746,331.33,305.17,29.029,904.89,8.82E+06,53.962,5.26E+05,20.384,1.99E+05,1617.3,1.58E+07,52.467,5.11E+05,
121118G6NG_AO1,68,TE,I,4813,157.37,303.53,29.453,802.79,3.86E+06,92.103,4.43E+05,21.672,1.04E+05,1602.7,7.71E+06,42.724,2.06E+05,
121118G6NG_AO1,69,TE,I,10737,337.81,69.867,30.3,1607.5,1.73E+07,27.495,2.95E+05,16.598,1.78E+05,1633.1,1.75E+07,32.218,3.46E+05,
121118G6NG_AO1,71,TE,I,14807,340.17,258.33,32.519,457.32,6.77E+06,26.871,3.98E+05,20.014,2.96E+05,1420.4,2.10E+07,50.464,7.47E+05,
121118G6NG_AO1,72,TE,I,10903,278.91,413.1,32.621,895.82,9.77E+06,33.392,3.64E+05,17.656,1.93E+05,1651.5,1.80E+07,50.141,5.47E+05,
121118G6NG_AO1,73,TE,I,5186,293.94,83.726,31.082,1150.4,5.97E+06,87.043,4.51E+05,25.116,1.30E+05,1720.3,8.92E+06,62.75,3.25E+05,
121118G6NG_AO1,74,ICM,I,8981,230.69,197.51,30.072,624.24,5.61E+06,15.875,1.43E+05,35.039,3.15E+05,1553.3,1.40E+07,783.02,7.03E+06,
121118G6NG_AO1,76,TE,I,10015,263.02,56.66,34.588,1273.9,1.28E+07,66.336,6.64E+05,17.279,1.73E+05,1739.1,1.74E+07,37.723,3.78E+05,
121118G6NG_AO1,77,ICM,I,7798,174.07,205.99,31.194,795.79,6.21E+06,16.278,1.27E+05,176.78,1.38E+06,1525.7,1.19E+07,76.368,5.96E+05,
121118G6NG_AO1,78,ICM,I,6980,212.37,288.02,32.734,510.18,3.56E+06,16.524,1.15E+05,17.397,1.21E+05,1575.4,1.10E+07,186.96,1.31E+06,
121118G6NG_AO1,79,ICM,I,7093,142.53,148.36,34.581,744.16,5.28E+06,16.276,1.15E+05,110.05,7.81E+05,1402.5,9.95E+06,83.178,5.90E+05,
