Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
102518G6NG_AK10,1,TE,I,8973,310.96,251.46,5.6914,2881.3,2.59E+07,203.65,1.83E+06,51.699,4.64E+05,1133.6,1.02E+07,87.852,7.88E+05,
102518G6NG_AK10,2,TE,I,10393,264.83,266.83,6.4811,2933.2,3.05E+07,282.68,2.94E+06,50.171,5.21E+05,1047.7,1.09E+07,141.92,1.47E+06,
102518G6NG_AK10,4,TE,I,7074,329,287.18,5.7348,2650.4,1.87E+07,214.22,1.52E+06,98.641,6.98E+05,1127.4,7.98E+06,106.45,7.53E+05,
102518G6NG_AK10,5,TE,I,8428,284.16,314.06,6.8074,3193.2,2.69E+07,201.45,1.70E+06,62.079,5.23E+05,1135.9,9.57E+06,97.27,8.20E+05,
102518G6NG_AK10,6,TE,I,10772,211.54,253.59,7.2038,2819.6,3.04E+07,165.14,1.78E+06,46.276,4.98E+05,1370.8,1.48E+07,121.57,1.31E+06,
102518G6NG_AK10,7,TE,I,5443,342.96,245.71,9.995,2489.2,1.35E+07,238.36,1.30E+06,74.729,4.07E+05,1153.7,6.28E+06,119.74,6.52E+05,
102518G6NG_AK10,8,TE,I,5575,330.63,324.21,9.2283,2526.1,1.41E+07,264.04,1.47E+06,58.134,3.24E+05,1111.7,6.20E+06,154.43,8.61E+05,
102518G6NG_AK10,9,TE,I,3849,263.46,330.42,10.261,3334.9,1.28E+07,263.55,1.01E+06,56.092,2.16E+05,1060.1,4.08E+06,149.12,5.74E+05,
102518G6NG_AK10,10,TE,I,5621,227.06,313.91,11.305,2792.6,1.57E+07,251.89,1.42E+06,52.51,2.95E+05,1019.9,5.73E+06,141.05,7.93E+05,
102518G6NG_AK10,11,TE,I,9242,242.64,214.23,14.488,3028,2.80E+07,271.32,2.51E+06,43.083,3.98E+05,1069.6,9.89E+06,133.17,1.23E+06,
102518G6NG_AK10,12,TE,I,4383,363.76,275.61,12.448,2403.7,1.05E+07,162.34,7.12E+05,51.108,2.24E+05,1063.1,4.66E+06,96.542,4.23E+05,
102518G6NG_AK10,13,ICM,I,11169,189.67,287.53,14.668,2660.5,2.97E+07,26.457,2.96E+05,48.351,5.40E+05,1244,1.39E+07,203.59,2.27E+06,
102518G6NG_AK10,14,ICM,I,4821,173.7,257.29,15.034,2860.2,1.38E+07,25.106,1.21E+05,81.512,3.93E+05,1102,5.31E+06,428.56,2.07E+06,
102518G6NG_AK10,15,TE,I,4738,310.6,211.25,16.458,2536.6,1.20E+07,159.29,7.55E+05,111.97,5.31E+05,1319.4,6.25E+06,126.15,5.98E+05,
102518G6NG_AK10,16,ICM,I,6460,183.06,228.56,16.202,2838,1.83E+07,32.36,2.09E+05,219.28,1.42E+06,1118.8,7.23E+06,70.18,4.53E+05,
102518G6NG_AK10,17,TE,I,5223,236.8,346.57,16.681,2899.8,1.51E+07,208.91,1.09E+06,100.9,5.27E+05,1196.8,6.25E+06,136.61,7.14E+05,
102518G6NG_AK10,18,TE,I,6316,355.9,330.81,16.703,2198.7,1.39E+07,148.33,9.37E+05,55.195,3.49E+05,1127.3,7.12E+06,97.919,6.18E+05,
102518G6NG_AK10,19,TE,I,4894,283.47,359.49,19.535,2351,1.15E+07,176.16,8.62E+05,43.192,2.11E+05,1215.9,5.95E+06,101.3,4.96E+05,
102518G6NG_AK10,20,TE,M,3100,356.82,224.96,20.217,2807.1,8.70E+06,95.862,2.97E+05,35.901,1.11E+05,1074.3,3.33E+06,65.02,2.02E+05,
102518G6NG_AK10,21,TE,I,7442,383.41,296.1,22.413,2319.4,1.73E+07,128.6,9.57E+05,40.09,2.98E+05,1255.7,9.35E+06,74.97,5.58E+05,
102518G6NG_AK10,22,TE,I,7338,320.36,359.54,22.397,2766.3,2.03E+07,126.98,9.32E+05,52.462,3.85E+05,1268.5,9.31E+06,94.3,6.92E+05,
102518G6NG_AK10,23,ICM,M,5910,155.99,268.28,23.041,2421.9,1.43E+07,21.479,1.27E+05,289.27,1.71E+06,1150.5,6.80E+06,52.597,3.11E+05,
102518G6NG_AK10,24,ICM,I,4834,199.27,334.31,21.719,2435.9,1.18E+07,27.285,1.32E+05,42.569,2.06E+05,1399.4,6.76E+06,303.86,1.47E+06,
102518G6NG_AK10,25,TE,I,9209,165.06,220.32,24.817,2750.2,2.53E+07,125.95,1.16E+06,56.392,5.19E+05,1193.3,1.10E+07,104.86,9.66E+05,
102518G6NG_AK10,27,TE,I,9638,242.93,185.85,27.067,2500.5,2.41E+07,121.67,1.17E+06,39.028,3.76E+05,1217.8,1.17E+07,118.55,1.14E+06,
102518G6NG_AK10,27.2,ICM,I,9638,232,194,31,1519.859,,33.434,,56.379,,1133.091,,243.739,,
