Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
091918G6NG_AI7,1,TE,I,8108,166.05,253.71,5.2945,2321.3,1.88E+07,573.12,4.65E+06,47.285,3.83E+05,1187,9.62E+06,133.18,1.08E+06,
091918G6NG_AI7,3,TE,I,9383,193.72,233.05,5.765,2455.3,2.30E+07,277.13,2.60E+06,31.703,2.97E+05,1298.7,1.22E+07,123.24,1.16E+06,
091918G6NG_AI7,4,TE,I,11544,119.2,254.12,6.4489,2089.8,2.41E+07,356.97,4.12E+06,38.867,4.49E+05,1176.4,1.36E+07,158.69,1.83E+06,
091918G6NG_AI7,5,TE,I,9999,175.24,175.88,7.5456,2303,2.30E+07,372.37,3.72E+06,37.407,3.74E+05,1175.7,1.18E+07,196.75,1.97E+06,
091918G6NG_AI7,6,TE,I,6813,237.07,220.86,6.4183,1797.9,1.22E+07,221.24,1.51E+06,30.244,2.06E+05,1265,8.62E+06,158.62,1.08E+06,
091918G6NG_AI7,7,TE,I,13572,338.58,222.11,8.0904,1866.2,2.53E+07,116.72,1.58E+06,37.869,5.14E+05,1286.1,1.75E+07,99.266,1.35E+06,
091918G6NG_AI7,8,TE,I,11201,290.28,196.47,10.312,2130.1,2.39E+07,29.964,3.36E+05,25,2.80E+05,1287.7,1.44E+07,84.751,9.49E+05,
091918G6NG_AI7,9,TE,I,11288,244.49,259.76,9.7437,2119.2,2.39E+07,205.5,2.32E+06,26.745,3.02E+05,1232.3,1.39E+07,155.59,1.76E+06,
091918G6NG_AI7,10,TE,I,11573,296.23,282.03,10.106,2063.6,2.39E+07,140.24,1.62E+06,30.29,3.51E+05,1276.1,1.48E+07,93.003,1.08E+06,
091918G6NG_AI7,11,TE,I,9938,365.16,177.48,12.27,1727.4,1.72E+07,120.41,1.20E+06,30.137,3.00E+05,1297.8,1.29E+07,87.524,8.70E+05,
091918G6NG_AI7,12,TE,I,7749,133.69,184.33,10.578,2003.3,1.55E+07,431.58,3.34E+06,39.154,3.03E+05,1202.9,9.32E+06,140.18,1.09E+06,
091918G6NG_AI7,13,TE,I,5928,233.05,183.82,12.038,1648.6,9.77E+06,259.23,1.54E+06,31.011,1.84E+05,1180.6,7.00E+06,184.21,1.09E+06,
091918G6NG_AI7,14,TE,I,7360,275.94,165.91,14.644,1804.4,1.33E+07,244.69,1.80E+06,31.866,2.35E+05,1429.7,1.05E+07,188.09,1.38E+06,
091918G6NG_AI7,15,TE,I,5617,170.39,309.31,13.649,2184.9,1.23E+07,353.23,1.98E+06,33.472,1.88E+05,1241,6.97E+06,147.1,8.26E+05,
091918G6NG_AI7,16,TE,I,7115,201.25,273.75,13.954,2168.4,1.54E+07,334.87,2.38E+06,33.177,2.36E+05,1210.7,8.61E+06,100.47,7.15E+05,
091918G6NG_AI7,17,ICM,M,6736,137.24,304.47,15.336,2890.5,1.95E+07,19.616,1.32E+05,31.331,2.11E+05,1214.5,8.18E+06,592.6,3.99E+06,
091918G6NG_AI7,21,TE,I,4524,92.197,259.36,15.803,2275,1.03E+07,481.29,2.18E+06,37.62,1.70E+05,1249.6,5.65E+06,93.888,4.25E+05,
091918G6NG_AI7,22,TE,I,9048,203.86,157.69,19.799,1913.2,1.73E+07,195.43,1.77E+06,25.328,2.29E+05,1350.8,1.22E+07,100.67,9.11E+05,
091918G6NG_AI7,23,ICM,I,7331,141.25,209.01,16.939,1421,1.04E+07,28.211,2.07E+05,46.263,3.39E+05,1076.8,7.89E+06,1192,8.74E+06,
091918G6NG_AI7,24,TE,I,7156,402.72,239.49,17.465,1242.9,8.89E+06,90.156,6.45E+05,30.771,2.20E+05,1246.5,8.92E+06,87.596,6.27E+05,
091918G6NG_AI7,25,ICM,I,6843,149.23,245.21,17.065,1570.9,1.07E+07,25.383,1.74E+05,42.761,2.93E+05,1203.7,8.24E+06,1261.5,8.63E+06,
