Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
121118G6NG_AO4,1,TE,I,10217,274.97,233.71,4.6705,1692.7,1.73E+07,190.27,1.94E+06,33.002,3.37E+05,1599.6,1.63E+07,118.37,1.21E+06,
121118G6NG_AO4,2,TE,I,8529,212.86,243.19,4.4975,1869.7,1.59E+07,262.9,2.24E+06,34.407,2.93E+05,1545,1.32E+07,126.92,1.08E+06,
121118G6NG_AO4,4,TE,I,5759,244.06,287.53,3.5998,1697.7,9.78E+06,199.39,1.15E+06,32.492,1.87E+05,1674.7,9.64E+06,106.06,6.11E+05,
121118G6NG_AO4,5,TE,I,5429,245.8,195.21,6.5636,1618.1,8.78E+06,283.66,1.54E+06,34.928,1.90E+05,1590.3,8.63E+06,170.45,9.25E+05,
121118G6NG_AO4,6,TE,I,10021,183.71,277.19,7.8232,1555.1,1.56E+07,185.96,1.86E+06,32.903,3.30E+05,1768.8,1.77E+07,102.57,1.03E+06,
121118G6NG_AO4,7,TE,I,9376,329.2,243.18,8.8583,1789.1,1.68E+07,116.13,1.09E+06,30.551,2.86E+05,1596.9,1.50E+07,90.556,8.49E+05,
121118G6NG_AO4,8,TE,I,13436,349.84,295.9,9.0279,1394.3,1.87E+07,97.106,1.30E+06,30.718,4.13E+05,1657.6,2.23E+07,94.621,1.27E+06,
121118G6NG_AO4,9,TE,M,11181,195.95,189.98,8.9606,1488.9,1.66E+07,244.05,2.73E+06,28.347,3.17E+05,1726.1,1.93E+07,72.625,8.12E+05,
121118G6NG_AO4,10,TE,I,11494,286.74,311.87,9.4361,1504.1,1.73E+07,106.63,1.23E+06,29.302,3.37E+05,1651.1,1.90E+07,79.892,9.18E+05,
121118G6NG_AO4,11,TE,I,9208,244.98,322.67,8.8078,1412,1.30E+07,140.1,1.29E+06,29.976,2.76E+05,1657.9,1.53E+07,83.59,7.70E+05,
121118G6NG_AO4,12,TE,I,9626,381.33,264.27,11.468,1823.8,1.76E+07,216.75,2.09E+06,33.245,3.20E+05,1658,1.60E+07,134.78,1.30E+06,
121118G6NG_AO4,13,TE,I,10477,342.99,351.31,11.482,1673.1,1.75E+07,105.08,1.10E+06,29.285,3.07E+05,1635.7,1.71E+07,86.447,9.06E+05,
121118G6NG_AO4,14,TE,I,10446,298.38,192.46,14.063,1393.1,1.46E+07,154.23,1.61E+06,32.757,3.42E+05,1623.5,1.70E+07,167.85,1.75E+06,
121118G6NG_AO4,15,TE,I,10678,161.04,242.87,11.857,1669.3,1.78E+07,359.53,3.84E+06,33.503,3.58E+05,1648.9,1.76E+07,108.46,1.16E+06,
121118G6NG_AO4,16,TE,I,11037,199.78,333.24,11.987,1664.9,1.84E+07,193.15,2.13E+06,30.571,3.37E+05,1557.3,1.72E+07,91.53,1.01E+06,
121118G6NG_AO4,17,TE,I,13852,369.32,199.07,16.83,1319.3,1.83E+07,55.328,7.66E+05,22.512,3.12E+05,1626.2,2.25E+07,64.964,9.00E+05,
121118G6NG_AO4,18,TE,I,18878,116.37,221.18,16.05,1262.8,2.38E+07,178.17,3.36E+06,172.41,3.25E+06,1656.5,3.13E+07,81.645,1.54E+06,
121118G6NG_AO4,18.2,ICM,I,18878,105,225,22,1527.159,,41.679,,458.367,,1575.371,,94.853,,
121118G6NG_AO4,18.3,ICM,I,18878,137,210,21,1004.842,,28.302,,228.494,,1677.426,,92.801,,
