Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
121118G6NG_AP2,129,TE,I,10832,418.71,266.14,64.104,314.3,3.40E+06,24.583,2.66E+05,14.023,1.52E+05,1541.1,1.67E+07,26.272,2.85E+05,
121118G6NG_AP2,130,TE,I,11392,105.42,309.34,64.377,301.2,3.43E+06,46.395,5.29E+05,19.087,2.17E+05,1640.4,1.87E+07,92.447,1.05E+06,
121118G6NG_AP2,131,ICM,I,4896,114.37,211.46,59.277,358.27,1.75E+06,14.39,70455,22.721,1.11E+05,1537.5,7.53E+06,291.06,1.43E+06,
121118G6NG_AP2,132,TE,I,14938,258.76,221.17,65.23,423.64,6.33E+06,21.324,3.19E+05,14.478,2.16E+05,1663.9,2.49E+07,23.387,3.49E+05,
121118G6NG_AP2,133,ICM,I,6525,141.38,293.89,63.038,289.73,1.89E+06,14.134,92222,20.022,1.31E+05,1609.3,1.05E+07,259.3,1.69E+06,
121118G6NG_AP2,134,TE,I,9219,402.16,220.7,62.528,189.96,1.75E+06,24.19,2.23E+05,13.966,1.29E+05,1389.6,1.28E+07,27.263,2.51E+05,
121118G6NG_AP2,135,TE,I,7107,179.48,350.03,65.325,336.97,2.39E+06,60.086,4.27E+05,16.14,1.15E+05,1534.7,1.09E+07,39.932,2.84E+05,
121118G6NG_AP2,136,TE,I,15894,402.22,363.41,66.595,425.35,6.76E+06,21.719,3.45E+05,13.961,2.22E+05,1561.5,2.48E+07,25.015,3.98E+05,
121118G6NG_AP2,137,TE,I,8294,209.01,356.26,66.782,331.42,2.75E+06,59.476,4.93E+05,15.659,1.30E+05,1666.1,1.38E+07,32.743,2.72E+05,
121118G6NG_AP2,138,TE,I,11605,318.28,196.71,67.971,271.04,3.15E+06,23.801,2.76E+05,14.649,1.70E+05,1640.2,1.90E+07,27.129,3.15E+05,
