Embryo_ID,Cell_ID, Size,TE_ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
032017Abl_E1,37,9311,TE,372.56,291.94,42.798,929.04,8.65E+06,26.01,2.42E+05,33.55,3.12E+05,903.52,8.41E+06,123.45,1.15E+06,
032017Abl_E1,38,13181,TE,335.28,156.62,44.593,1030.8,1.36E+07,26.761,3.53E+05,37.237,4.91E+05,993.05,1.31E+07,276.19,3.64E+06,
032017Abl_E1,39,11343,ICM,182.2,260.63,44.972,738.21,8.37E+06,30.127,3.42E+05,54.076,6.13E+05,1046.2,1.19E+07,86.15,9.77E+05,
032017Abl_E1,40,9023,ICM,215.76,175.05,45.497,481.63,4.35E+06,34,3.07E+05,134.02,1.21E+06,996.25,8.99E+06,331.94,3.00E+06,
032017Abl_E1,41,15599,TE,195.67,337.03,47.004,495.78,7.73E+06,23.867,3.72E+05,30.896,4.82E+05,935.11,1.46E+07,145.28,2.27E+06,
032017Abl_E1,42,15154,TE,258.67,138.86,49.968,657.98,9.97E+06,24.2,3.67E+05,36.156,5.48E+05,947.51,1.44E+07,191.31,2.90E+06,
032017Abl_E1,43,14747,TE,256.17,347.38,49.954,619.5,9.14E+06,23.324,3.44E+05,72.352,1.07E+06,867.39,1.28E+07,132.22,1.95E+06,
032017Abl_E1,44,9544,TE,161.74,227.71,55.409,456.35,4.36E+06,28.313,2.70E+05,55.225,5.27E+05,1024.1,9.77E+06,167.25,1.60E+06,
032017Abl_E1,45,12384,TE,373.9,240.73,54.64,508.14,6.29E+06,21.875,2.71E+05,34.19,4.23E+05,994.94,1.23E+07,163.03,2.02E+06,
032017Abl_E1,46,13888,TE,164.31,268.67,58.786,331.39,4.60E+06,22.2,3.08E+05,40.993,5.69E+05,999.57,1.39E+07,118.39,1.64E+06,
032017Abl_E1,47,11542,TE,351.09,300.89,58.71,462.05,5.33E+06,19.278,2.23E+05,45.422,5.24E+05,1047.3,1.21E+07,106.18,1.23E+06,
032017Abl_E1,48,10260,TE,207.34,165.41,57.476,424.06,4.35E+06,23.072,2.37E+05,61.352,6.29E+05,923.25,9.47E+06,174.16,1.79E+06,
032017Abl_E1,49,16761,TE,196.35,305.3,61.148,251.83,4.22E+06,18.728,3.14E+05,30.056,5.04E+05,969.46,1.62E+07,92.729,1.55E+06,
032017Abl_E1,50,26534,TE,260.63,165.49,67.593,360.41,9.56E+06,16.883,4.48E+05,27.024,7.17E+05,1088,2.89E+07,99.152,2.63E+06,
032017Abl_E1,51,13518,TE,319.96,181.37,67.116,423.8,5.73E+06,17.502,2.37E+05,25.635,3.47E+05,1163,1.57E+07,117.95,1.59E+06,
032017Abl_E1,52,16104,TE,194.03,210.94,69.112,211.45,3.41E+06,16.849,2.71E+05,25.599,4.12E+05,940.84,1.52E+07,82.796,1.33E+06,
032017Abl_E1,53,15234,TE,296.52,303.56,70.511,295.32,4.50E+06,16.284,2.48E+05,22.046,3.36E+05,1162,1.77E+07,79.144,1.21E+06,
032017Abl_E1,54,18062,TE,244.68,305.51,70.531,228.68,4.13E+06,15.493,2.80E+05,18.69,3.38E+05,984.73,1.78E+07,76.327,1.38E+06,
032017Abl_E1,55,12742,TE,330.51,251.37,72.309,391.21,4.98E+06,16.684,2.13E+05,47.801,6.09E+05,1154.7,1.47E+07,79.27,1.01E+06,
032017Abl_E1,56,11779,TE,301.48,209.69,72.601,388.97,4.58E+06,16.679,1.96E+05,29.448,3.47E+05,1179,1.39E+07,90.261,1.06E+06,
032017Abl_E1,57,10234,TE,231.94,253.42,73.694,202.13,2.07E+06,14.585,1.49E+05,26.414,2.70E+05,963.73,9.86E+06,71.605,7.33E+05,
