Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
031919Abl_ET2,45,TE,I,9608,190.84,401.4,33.072,1603.6,1.54E+07,22.344,2.15E+05,34.008,3.27E+05,1216,1.17E+07,197.54,1.90E+06
031919Abl_ET2,46,TE,I,5901,306.32,432.31,32.32,1954.1,1.15E+07,23.031,1.36E+05,39.841,2.35E+05,1221.6,7.21E+06,455.15,2.69E+06
031919Abl_ET2,47,ICM,I,4978,123.02,238.79,31.269,1739.9,8.66E+06,30.265,1.51E+05,480.75,2.39E+06,1068.2,5.32E+06,111.59,5.56E+05
031919Abl_ET2,48,ICM,I,6841,85.219,265.78,34.556,1484.5,1.02E+07,30.791,2.11E+05,334.19,2.29E+06,1161.5,7.95E+06,127.89,8.75E+05
031919Abl_ET2,50,TE,I,13833,73.076,299.44,41.028,1915.9,2.65E+07,21.703,3.00E+05,70.014,9.69E+05,1183.5,1.64E+07,101.7,1.41E+06
031919Abl_ET2,51,TE,I,7719,200.11,103.88,38.952,2437,1.88E+07,25.163,1.94E+05,36.35,2.81E+05,1254.6,9.68E+06,491.33,3.79E+06
031919Abl_ET2,52,TE,I,10929,130.21,147.42,40.95,2223.1,2.43E+07,23.712,2.59E+05,34.484,3.77E+05,1318,1.44E+07,91.415,9.99E+05
031919Abl_ET2,53,ICM,I,6680,89.089,225.97,38.065,1403.2,9.37E+06,24.167,1.61E+05,131.36,8.78E+05,1348,9.00E+06,95.126,6.35E+05
031919Abl_ET2,54,TE,I,9352,254.15,97.759,42.396,2185.8,2.04E+07,21.471,2.01E+05,33.462,3.13E+05,1330.6,1.24E+07,107.38,1.00E+06
031919Abl_ET2,55,ICM,I,6812,105.05,320.7,39.928,1313.3,8.95E+06,23.452,1.60E+05,464.92,3.17E+06,1179.3,8.03E+06,94.756,6.45E+05
031919Abl_ET2,56,ICM,I,10339,61.481,241.67,42.729,1640.3,1.70E+07,24.295,2.51E+05,140.23,1.45E+06,1143.7,1.18E+07,99.438,1.03E+06
031919Abl_ET2,57,ICM,I,2525,141.42,172.59,38.105,1618.9,4.09E+06,220.95,5.58E+05,43.091,1.09E+05,1072.6,2.71E+06,432.91,1.09E+06
031919Abl_ET2,58,TE,I,13672,365.62,419.99,45.31,1735.4,2.37E+07,21.709,2.97E+05,40.207,5.50E+05,1076.3,1.47E+07,121.4,1.66E+06
031919Abl_ET2,59,ICM,I,3416,106.45,230.47,41.567,1331.6,4.55E+06,24.632,84143,367.72,1.26E+06,1277,4.36E+06,83.507,2.85E+05
031919Abl_ET2,60,TE,I,12274,124.28,369.63,44.235,1656.3,2.03E+07,21.905,2.69E+05,29.508,3.62E+05,1186.3,1.46E+07,110.88,1.36E+06
031919Abl_ET2,61,ICM,I,8283,98.723,259.91,45.684,1326.7,1.10E+07,156.16,1.29E+06,62.969,5.22E+05,1270.1,1.05E+07,656.77,5.44E+06
031919Abl_ET2,62,ICM,I,6342,110.43,185.63,42.718,1286.5,8.16E+06,24.125,1.53E+05,424.63,2.69E+06,1081,6.86E+06,72.804,4.62E+05
031919Abl_ET2,63,TE,I,14329,59.353,191.5,49.4,1717,2.46E+07,22.597,3.24E+05,36.656,5.25E+05,1239.2,1.78E+07,298.19,4.27E+06
031919Abl_ET2,64,TE,I,13609,421.71,374.13,48.346,1827.6,2.49E+07,22.296,3.03E+05,37.008,5.04E+05,1248.1,1.70E+07,383.24,5.22E+06
031919Abl_ET2,65,ICM,I,6739,124.28,299.93,46.596,786.24,5.30E+06,130.92,8.82E+05,36.095,2.43E+05,951.28,6.41E+06,189.28,1.28E+06
031919Abl_ET2,66,TE,I,15363,436.12,314.97,52.971,1375.6,2.11E+07,19.958,3.07E+05,33.625,5.17E+05,1317,2.02E+07,105.63,1.62E+06
031919Abl_ET2,67,TE,I,8644,458.94,217.19,52.137,1373.6,1.19E+07,20.432,1.77E+05,29.256,2.53E+05,1121.2,9.69E+06,97.986,8.47E+05
031919Abl_ET2,68,TE,I,24560,360.19,75.707,62.59,2261.1,5.55E+07,19.535,4.80E+05,41.662,1.02E+06,1153.7,2.83E+07,299.77,7.36E+06
031919Abl_ET2,70,TE,I,8264,169.2,418.93,53.598,382.78,3.16E+06,34.322,2.84E+05,45.225,3.74E+05,1179.2,9.75E+06,77.329,6.39E+05
031919Abl_ET2,71,TE,I,12401,453.29,265.07,56.446,1713.5,2.12E+07,19.985,2.48E+05,36.688,4.55E+05,1083.8,1.34E+07,353.8,4.39E+06
031919Abl_ET2,72,ICM,I,3127,73.4,229.26,53.978,861.3,2.69E+06,19.925,62306,132.79,4.15E+05,1234.6,3.86E+06,68.692,2.15E+05
031919Abl_ET2,73,ICM,I,3724,120.78,265.53,53.772,597.78,2.23E+06,107.01,3.99E+05,30.546,1.14E+05,1091.4,4.06E+06,333.62,1.24E+06
031919Abl_ET2,75,TE,I,8381,270.8,455.15,57.223,1124.5,9.42E+06,19.627,1.64E+05,30.446,2.55E+05,1184,9.92E+06,276.35,2.32E+06
031919Abl_ET2,76,ICM,I,4440,91.775,166.39,54.68,1034.6,4.59E+06,20.354,90371,205.15,9.11E+05,1270.1,5.64E+06,63.224,2.81E+05
031919Abl_ET2,77,ICM,I,4097,96.947,292.57,57.455,837.78,3.43E+06,23.242,95223,249.38,1.02E+06,1161.2,4.76E+06,69.643,2.85E+05
031919Abl_ET2,78,TE,I,12340,104.83,347.18,60.126,863.73,1.07E+07,18.232,2.25E+05,28.045,3.46E+05,1081.4,1.33E+07,67.693,8.35E+05
031919Abl_ET2,79,TE,I,11639,124.69,137.6,60.039,940.81,1.10E+07,18.652,2.17E+05,26.715,3.11E+05,1109.8,1.29E+07,151.17,1.76E+06
031919Abl_ET2,80,TE,I,7875,219,442.76,61.033,1022.5,8.05E+06,17.267,1.36E+05,27.982,2.20E+05,1044.8,8.23E+06,287.77,2.27E+06
031919Abl_ET2,81,TE,I,7478,212.27,81.555,60.619,1772.5,1.33E+07,17.872,1.34E+05,30.462,2.28E+05,1102,8.24E+06,373.44,2.79E+06
031919Abl_ET2,82,ICM,I,6492,135.53,187.6,60.069,458.07,2.97E+06,83.891,5.45E+05,36.903,2.40E+05,867.7,5.63E+06,133.58,8.67E+05
031919Abl_ET2,83,ICM,I,8996,83.173,176.71,63.566,805.64,7.25E+06,18.955,1.71E+05,103.74,9.33E+05,1129.9,1.02E+07,58.916,5.30E+05
031919Abl_ET2,83.2,ICM,I,8996,100,179,72,430.474,,17.755,,90.566,,1074.597,,47.571,
031919Abl_ET2,84,TE,I,15669,70.318,268.72,64.6,512.71,8.03E+06,17.521,2.75E+05,31.977,5.01E+05,1163.9,1.82E+07,55.975,8.77E+05
031919Abl_ET2,85,TE,I,10803,265.87,92.307,62.42,1054.6,1.14E+07,19.264,2.08E+05,27.455,2.97E+05,1028.9,1.11E+07,74.407,8.04E+05
031919Abl_ET2,86,ICM,I,1412,110.78,201.78,58.739,583.88,8.24E+05,18.197,25694,127.35,1.80E+05,880.7,1.24E+06,50.391,71152
031919Abl_ET2,87,TE,I,14543,425.88,363.28,63.069,1079,1.57E+07,18.514,2.69E+05,28.435,4.14E+05,988.5,1.44E+07,112.89,1.64E+06
031919Abl_ET2,88,TE,I,15110,420.3,147.59,65.093,1118.7,1.69E+07,18.629,2.81E+05,25.828,3.90E+05,1021.7,1.54E+07,73.138,1.11E+06
031919Abl_ET2,90,TE,I,15579,390.25,403.16,67.192,830.93,1.29E+07,17.771,2.77E+05,24.647,3.84E+05,1091.9,1.70E+07,68.81,1.07E+06
031919Abl_ET2,91,ICM,I,8939,132.83,220.33,69.044,366.24,3.27E+06,64.749,5.79E+05,26.681,2.39E+05,996.95,8.91E+06,138.7,1.24E+06
031919Abl_ET2,92,TE,I,9316,444.41,234.26,67.432,1045,9.74E+06,18.154,1.69E+05,27.569,2.57E+05,1110.6,1.03E+07,102.32,9.53E+05
031919Abl_ET2,93,ICM,I,6328,109.19,256.83,65.452,427.04,2.70E+06,73.925,4.68E+05,30.28,1.92E+05,1131.6,7.16E+06,244.38,1.55E+06
031919Abl_ET2,94,ICM,I,1484,88.398,235.94,65.369,521.63,7.74E+05,22.003,32653,151.17,2.24E+05,1280.5,1.90E+06,62.913,93363
031919Abl_ET2,96,ICM,I,4986,71.49,215.09,68.47,452.37,2.26E+06,17.346,86485,88.869,4.43E+05,1166.8,5.82E+06,51.295,2.56E+05
031919Abl_ET2,97,TE,I,15471,339.72,436.98,70.955,634.07,9.81E+06,17.588,2.72E+05,25.18,3.90E+05,1010.6,1.56E+07,125.75,1.95E+06
031919Abl_ET2,100,TE,I,13997,431.13,187.13,75.452,760.01,1.06E+07,16.88,2.36E+05,23.084,3.23E+05,982.38,1.38E+07,67.767,9.49E+05
031919Abl_ET2,101,TE,I,15265,434.8,310.11,74.321,684.33,1.04E+07,16.431,2.51E+05,23.971,3.66E+05,971.89,1.48E+07,74.152,1.13E+06
031919Abl_ET2,102,TE,I,15993,101.05,306.68,79.088,280.31,4.48E+06,15.386,2.46E+05,20.207,3.23E+05,1046.7,1.67E+07,81.953,1.31E+06
031919Abl_ET2,103,TE,I,16835,218.14,103.28,79.225,614.17,1.03E+07,14.773,2.49E+05,20.1,3.38E+05,1320.3,2.22E+07,94.544,1.59E+06
031919Abl_ET2,104,TE,I,15544,177.26,403.85,86.822,455.15,7.07E+06,16.019,2.49E+05,19.803,3.08E+05,1020.1,1.59E+07,137.22,2.13E+06
031919Abl_ET2,105,TE,I,13896,282.34,444.25,82.146,516.21,7.17E+06,16.365,2.27E+05,24.976,3.47E+05,1090,1.51E+07,89.9,1.25E+06
031919Abl_ET2,106,TE,I,11053,439.59,239.17,80.159,691.76,7.65E+06,17.12,1.89E+05,23.119,2.56E+05,1022,1.13E+07,115.02,1.27E+06
031919Abl_ET2,107,TE,I,17027,152.66,375.73,88.478,365.3,6.22E+06,15.304,2.61E+05,17.945,3.06E+05,1277.7,2.18E+07,112.07,1.91E+06
031919Abl_ET2,108,TE,I,20027,129.1,165.94,84.038,346.98,6.95E+06,15.12,3.03E+05,27.513,5.51E+05,900.53,1.80E+07,57.056,1.14E+06
031919Abl_ET2,109,TE,I,20269,96.718,237.86,81.958,254.38,5.16E+06,17.796,3.61E+05,43.592,8.84E+05,1124.2,2.28E+07,63.048,1.28E+06
031919Abl_ET2,110,TE,I,29608,353.08,139.4,91.613,948.86,2.81E+07,15.478,4.58E+05,21.917,6.49E+05,1273.3,3.77E+07,133.32,3.95E+06
031919Abl_ET2,110.2,TE,I,29608,363,154,93,1157.593,,16.215,,21.363,,1331.427,,148.138,
031919Abl_ET2,111,TE,I,15061,283.07,129.84,88.266,692,1.04E+07,15.428,2.32E+05,18.407,2.77E+05,1312.1,1.98E+07,52.198,7.86E+05
031919Abl_ET2,112,TE,I,11189,416.44,257.56,89.792,472.28,5.28E+06,14.938,1.67E+05,19.928,2.23E+05,1309.1,1.46E+07,49.199,5.50E+05
031919Abl_ET2,113,TE,I,13794,393.45,203.09,92.21,728.31,1.00E+07,15.601,2.15E+05,21.156,2.92E+05,1263.1,1.74E+07,91.22,1.26E+06
031919Abl_ET2,114,TE,I,16173,413.74,298.18,92.475,489.2,7.91E+06,15.752,2.55E+05,20.131,3.26E+05,1127.6,1.82E+07,72.663,1.18E+06
031919Abl_ET2,115,TE,I,23022,398,363.74,91.438,349.33,8.04E+06,14.767,3.40E+05,18.175,4.18E+05,1308.8,3.01E+07,39.973,9.20E+05
031919Abl_ET2,116,TE,I,8715,335.93,417.32,91.044,412.61,3.60E+06,14.619,1.27E+05,19.655,1.71E+05,1165.6,1.02E+07,105.53,9.20E+05
031919Abl_ET2,117,TE,I,17867,184.92,182.88,94.138,344.94,6.16E+06,13.828,2.47E+05,28.168,5.03E+05,1275.3,2.28E+07,38.577,6.89E+05
031919Abl_ET2,118,TE,I,15959,340.01,192.62,98.998,846.12,1.35E+07,15.453,2.47E+05,22.567,3.60E+05,1251.9,2.00E+07,136.54,2.18E+06
