Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
091918G6NG_AI8,73,TE,I,5406,112.48,178.51,38.539,1048.2,5.67E+06,171.72,9.28E+05,25.143,1.36E+05,1276.7,6.90E+06,46.839,2.53E+05,
091918G6NG_AI8,74,ICM,I,9275,196.01,199.04,37.977,701,6.50E+06,15.982,1.48E+05,33.791,3.13E+05,1370.1,1.27E+07,345.99,3.21E+06,
091918G6NG_AI8,75,ICM,I,5171,186.28,246.71,38.599,527.83,2.73E+06,14.096,72888,21.202,1.10E+05,1125.8,5.82E+06,218.07,1.13E+06,
091918G6NG_AI8,76,ICM,I,4098,99.245,269.2,39.53,583.83,2.39E+06,17.571,72006,169,6.93E+05,1264.2,5.18E+06,58.777,2.41E+05,
091918G6NG_AI8,77,ICM,I,5446,149.83,304.6,38.022,530.93,2.89E+06,15.948,86853,131.6,7.17E+05,1287.1,7.01E+06,46.389,2.53E+05,
091918G6NG_AI8,78,TE,I,6451,372.96,319.97,40.174,684.07,4.41E+06,77.41,4.99E+05,16.965,1.09E+05,1124.5,7.25E+06,55.495,3.58E+05,
091918G6NG_AI8,79,TE,I,4991,349.81,287.86,41.675,643.27,3.21E+06,66.4,3.31E+05,18.429,91978,1363.2,6.80E+06,52.6,2.63E+05,
091918G6NG_AI8,80,TE,I,9321,263.88,156.74,43.068,963.63,8.98E+06,114.07,1.06E+06,21.493,2.00E+05,1398.2,1.30E+07,136.27,1.27E+06,
091918G6NG_AI8,81,TE,I,10716,363.93,249.38,45.398,992.12,1.06E+07,60.612,6.50E+05,15.077,1.62E+05,1370.1,1.47E+07,39.695,4.25E+05,
091918G6NG_AI8,82,TE,I,7201,82.528,270.98,43.408,597.22,4.30E+06,137.42,9.90E+05,46.441,3.34E+05,1307.9,9.42E+06,59.533,4.29E+05,
091918G6NG_AI8,83,TE,I,11039,396.15,279.35,42.774,729.43,8.05E+06,43.944,4.85E+05,17.421,1.92E+05,1238,1.37E+07,42.744,4.72E+05,
091918G6NG_AI8,84,ICM,I,6295,108.5,218.89,43.487,467.42,2.94E+06,17.644,1.11E+05,113.71,7.16E+05,1301.8,8.19E+06,50.256,3.16E+05,
091918G6NG_AI8,85,ICM,I,4292,129.18,237.14,41.096,535.39,2.30E+06,14.629,62788,80.195,3.44E+05,1229.2,5.28E+06,43.111,1.85E+05,
091918G6NG_AI8,86,TE,I,5702,329.31,266.34,43.781,744.5,4.25E+06,77.567,4.42E+05,16.38,93401,1322.4,7.54E+06,60.14,3.43E+05,
091918G6NG_AI8,87,TE,I,9062,289.97,288.37,44.968,585.57,5.31E+06,60.696,5.50E+05,15.585,1.41E+05,1429.9,1.30E+07,37.888,3.43E+05,
091918G6NG_AI8,88,TE,I,8128,117.61,312.37,42.568,443.39,3.60E+06,106.99,8.70E+05,25.995,2.11E+05,1357.6,1.10E+07,46.444,3.78E+05,
091918G6NG_AI8,89,TE,I,12453,337.09,207.06,44.809,888.31,1.11E+07,79.151,9.86E+05,17.901,2.23E+05,1308.1,1.63E+07,71.654,8.92E+05,
091918G6NG_AI8,89.2,TE,I,12453,329,212,47,950.452,,102.993,,18.536,,1255.676,,84.929,,
091918G6NG_AI8,90,ICM,I,863,162.44,229.59,38.47,464.6,4.01E+05,14.059,12133,87.764,75740,1155.1,9.97E+05,44.439,38351,
091918G6NG_AI8,91,TE,I,7763,315.08,327.33,45.371,551.35,4.28E+06,64.894,5.04E+05,15.318,1.19E+05,1324.8,1.03E+07,39.513,3.07E+05,
091918G6NG_AI8,92,TE,I,5090,208.78,156.81,46.315,854.59,4.35E+06,143.21,7.29E+05,17.637,89774,1287,6.55E+06,49.625,2.53E+05,
091918G6NG_AI8,93,TE,I,15073,175.3,332.88,46.907,633.91,9.55E+06,99.369,1.50E+06,19.6,2.95E+05,1243.4,1.87E+07,50.129,7.56E+05,
091918G6NG_AI8,94,TE,I,6889,306.77,246.5,47.008,587.11,4.04E+06,52.3,3.60E+05,15.487,1.07E+05,1300.8,8.96E+06,44.693,3.08E+05,
091918G6NG_AI8,95,TE,I,9666,270.04,248.91,48.209,423.14,4.09E+06,47.317,4.57E+05,15.421,1.49E+05,1313.7,1.27E+07,37.108,3.59E+05,
091918G6NG_AI8,96,ICM,I,5721,136.39,278.95,45.17,334.06,1.91E+06,13.635,78008,75.71,4.33E+05,1213.7,6.94E+06,49.081,2.81E+05,
091918G6NG_AI8,97,TE,I,7936,314.11,164.86,46.915,795.88,6.32E+06,116.34,9.23E+05,21.811,1.73E+05,1303.6,1.03E+07,102.09,8.10E+05,
091918G6NG_AI8,98,TE,I,13155,280.33,206.41,49.509,447.89,5.89E+06,43.698,5.75E+05,14.317,1.88E+05,1378.3,1.81E+07,36.782,4.84E+05,
091918G6NG_AI8,99,ICM,I,8459,203.44,255.86,48.034,369.03,3.12E+06,14.305,1.21E+05,18.306,1.55E+05,1290.6,1.09E+07,204.05,1.73E+06,
091918G6NG_AI8,100,TE,I,4251,339.08,316.11,48.103,596.68,2.54E+06,34.885,1.48E+05,12.73,54115,1298.1,5.52E+06,20.289,86247,
091918G6NG_AI8,101,ICM,I,8236,175.25,279.23,50.842,357.46,2.94E+06,15.001,1.24E+05,22.169,1.83E+05,1289.4,1.06E+07,134.27,1.11E+06,
091918G6NG_AI8,102,TE,I,12656,266.1,317.73,51.428,660.56,8.36E+06,59.386,7.52E+05,13.897,1.76E+05,1352,1.71E+07,34.735,4.40E+05,
091918G6NG_AI8,103,TE,I,6269,164.82,171.87,51.449,533.4,3.34E+06,112.2,7.03E+05,19.826,1.24E+05,1288.3,8.08E+06,41.171,2.58E+05,
091918G6NG_AI8,104,TE,I,11052,234.97,166.61,54.956,706.64,7.81E+06,106.28,1.17E+06,17.297,1.91E+05,1243.6,1.37E+07,61.431,6.79E+05,
091918G6NG_AI8,105,ICM,I,2052,172.15,205.9,49.695,304.93,6.26E+05,13.876,28473,24.937,51171,1394.7,2.86E+06,188.48,3.87E+05,
091918G6NG_AI8,106,ICM,I,1314,153.48,243.99,51.099,294.73,3.87E+05,14.616,19205,44.826,58902,1305.5,1.72E+06,33.813,44430,
091918G6NG_AI8,107,ICM,I,8158,210.79,196.72,53.137,416.53,3.40E+06,25.2,2.06E+05,17.666,1.44E+05,1359.1,1.11E+07,156.09,1.27E+06,
091918G6NG_AI8,108,TE,I,9989,240.73,271.16,58.398,241.19,2.41E+06,36.027,3.60E+05,13.427,1.34E+05,1506.3,1.50E+07,33.757,3.37E+05,
091918G6NG_AI8,109,ICM,I,14429,112.01,222.47,55.681,283.12,4.09E+06,61.391,8.86E+05,37.97,5.48E+05,1301.2,1.88E+07,38.208,5.51E+05,
091918G6NG_AI8,110,TE,I,8498,214.63,308.89,56.592,338.12,2.87E+06,58.616,4.98E+05,13.762,1.17E+05,1125,9.56E+06,32.348,2.75E+05,
091918G6NG_AI8,111,TE,I,6077,252.55,206.06,57.406,342.69,2.08E+06,91.042,5.53E+05,17.226,1.05E+05,1305.8,7.94E+06,79.422,4.83E+05,
091918G6NG_AI8,112,TE,I,2398,121.63,266.23,55.185,204.71,4.91E+05,13.351,32016,40.249,96518,1260.9,3.02E+06,31.72,76064,
091918G6NG_AI8,113,TE,I,6387,237.37,232.5,61.092,271.87,1.74E+06,50.25,3.21E+05,13.882,88664,1326.8,8.47E+06,53.407,3.41E+05,
091918G6NG_AI8,114,TE,I,9925,188.42,279.23,61.613,246.82,2.45E+06,34.81,3.45E+05,16.285,1.62E+05,1272.3,1.26E+07,59.568,5.91E+05,
091918G6NG_AI8,115,TE,I,13864,149.76,239.09,62.709,208.27,2.89E+06,33.894,4.70E+05,21.258,2.95E+05,1224.1,1.70E+07,37.02,5.13E+05,
091918G6NG_AI8,116,TE,I,6402,207.52,206.27,63.315,309.74,1.98E+06,79.989,5.12E+05,16.385,1.05E+05,1287.6,8.24E+06,86.179,5.52E+05,
091918G6NG_AI8,116.2,TE,I,6402,186,234,59,227.502,,13.806,,16.273,,1128.586,,132.338,,
091918G6NG_AI8,117,TE,I,2900,207.35,250.32,64.175,226.16,6.56E+05,42.183,1.22E+05,14.862,43099,1101.2,3.19E+06,74.632,2.16E+05,
