Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
092118G6NG_AJ1,1,TE,I,4593,165.37,310.68,4.83,2059.2,9.46E+06,272.82,1.25E+06,45.274,2.08E+05,1217.5,5.59E+06,134.08,6.16E+05,
092118G6NG_AJ1,2,TE,I,2597,179.72,280,3.7362,2703.9,7.02E+06,406.8,1.06E+06,44.139,1.15E+05,1191.7,3.09E+06,97.191,2.52E+05,
092118G6NG_AJ1,3,TE,I,5809,210.61,267.89,5.064,2792,1.62E+07,445.58,2.59E+06,39.91,2.32E+05,1266.8,7.36E+06,105.48,6.13E+05,
092118G6NG_AJ1,4,TE,I,3080,237.9,247.99,4.663,2441.5,7.52E+06,327.85,1.01E+06,37.621,1.16E+05,1179.2,3.63E+06,106.13,3.27E+05,
092118G6NG_AJ1,5,TE,I,3959,164.78,349.15,5.7083,2538.5,1.01E+07,346.64,1.37E+06,31.402,1.24E+05,1219.3,4.83E+06,73.849,2.92E+05,
092118G6NG_AJ1,6,TE,I,6694,254.63,223.32,8.8966,2398.8,1.61E+07,259.71,1.74E+06,36.231,2.43E+05,1260.7,8.44E+06,208.39,1.40E+06,
092118G6NG_AJ1,7,TE,I,2708,280.28,248.79,8.4254,2935.8,7.95E+06,255,6.91E+05,37.398,1.01E+05,1216.5,3.29E+06,86.219,2.33E+05,
092118G6NG_AJ1,8,TE,I,11647,100.71,252.04,7.163,1404.4,1.64E+07,248.19,2.89E+06,42.304,4.93E+05,1279.2,1.49E+07,66.68,7.77E+05,
092118G6NG_AJ1,9,TE,I,3501,142.64,290.51,6.6944,2024.7,7.09E+06,357.47,1.25E+06,48.188,1.69E+05,1217.9,4.26E+06,89.071,3.12E+05,
092118G6NG_AJ1,11,TE,I,4786,282.28,281.75,10.251,2448.8,1.17E+07,163.84,7.84E+05,40.215,1.92E+05,1275.2,6.10E+06,118.79,5.69E+05,
092118G6NG_AJ1,12,TE,I,4294,121.95,313.52,9.0419,1910.9,8.21E+06,260.38,1.12E+06,56.663,2.43E+05,1361.1,5.84E+06,99.035,4.25E+05,
092118G6NG_AJ1,13,TE,I,4903,115.68,349.06,10.244,1496,7.34E+06,251.18,1.23E+06,63.112,3.09E+05,1321.2,6.48E+06,85.055,4.17E+05,
092118G6NG_AJ1,14,TE,I,8173,150.92,220.99,9.896,1351.2,1.10E+07,337.88,2.76E+06,48.955,4.00E+05,1313,1.07E+07,78.038,6.38E+05,
092118G6NG_AJ1,15,TE,I,7057,207.56,232.6,10.543,2291.2,1.62E+07,371.37,2.62E+06,37.524,2.65E+05,1345.4,9.49E+06,104.76,7.39E+05,
092118G6NG_AJ1,16,ICM,I,4515,248.12,273.44,12.342,1921.6,8.68E+06,21.264,96005,41.351,1.87E+05,1191.7,5.38E+06,933.95,4.22E+06,
092118G6NG_AJ1,16.2,ICM,I,4515,238,292,10,1601.124,,17.515,,36.589,,1216.527,,348.608,,
092118G6NG_AJ1,17,ICM,I,3155,211.3,304.82,11.455,1922.9,6.07E+06,18.898,59623,30.122,95035,1240.7,3.91E+06,283.42,8.94E+05,
092118G6NG_AJ1,18,TE,I,4757,128.17,362.32,13.81,1965.2,9.35E+06,418.98,1.99E+06,56.14,2.67E+05,1309.3,6.23E+06,95.453,4.54E+05,
092118G6NG_AJ1,19,TE,I,10023,250.71,189.95,16.032,2262.2,2.27E+07,90.03,9.02E+05,27.398,2.75E+05,1143,1.15E+07,70.539,7.07E+05,
092118G6NG_AJ1,20,TE,I,4094,215.88,201.39,14.611,2119,8.68E+06,168.41,6.89E+05,32.298,1.32E+05,1326.9,5.43E+06,97.597,4.00E+05,
092118G6NG_AJ1,21,TE,I,10450,271.87,333.28,14.059,1568.3,1.64E+07,255.36,2.67E+06,27.388,2.86E+05,1279.3,1.34E+07,76.961,8.04E+05,
092118G6NG_AJ1,22,ICM,I,4594,160.91,286.26,15.245,1906.6,8.76E+06,25.18,1.16E+05,202.88,9.32E+05,1281.2,5.89E+06,78.412,3.60E+05,
092118G6NG_AJ1,23,ICM,M,5579,123.54,245.13,16.314,2118.3,1.18E+07,22.91,1.28E+05,111.62,6.23E+05,1299.4,7.25E+06,59.657,3.33E+05,
092118G6NG_AJ1,24,ICM,I,6872,110.33,309.77,16.485,1601,1.10E+07,28.377,1.95E+05,216.85,1.49E+06,1373.6,9.44E+06,98.746,6.79E+05,
092118G6NG_AJ1,25,ICM,I,2357,172.74,312.04,11.546,1668.8,3.93E+06,27.995,65985,37.515,88424,1273.9,3.00E+06,297.8,7.02E+05,
092118G6NG_AJ1,26,TE,I,4130,89.443,346.47,13.766,1576.9,6.51E+06,297.47,1.23E+06,36.126,1.49E+05,1290.4,5.33E+06,81.736,3.38E+05,
092118G6NG_AJ1,27,TE,I,5471,52.896,266.99,17.343,1597.2,8.74E+06,188.99,1.03E+06,37.584,2.06E+05,1219.2,6.67E+06,81.795,4.48E+05,
092118G6NG_AJ1,28,ICM,I,8330,116.98,278.9,16.328,1489.7,1.24E+07,21.717,1.81E+05,61.871,5.15E+05,1321.8,1.10E+07,85.408,7.11E+05,
092118G6NG_AJ1,29,TE,I,2853,306.48,286.9,16.572,2576,7.35E+06,148.05,4.22E+05,30.9,88158,1314.8,3.75E+06,104.51,2.98E+05,
092118G6NG_AJ1,30,TE,I,7192,159.86,191.94,18.024,2169.9,1.56E+07,193.74,1.39E+06,40.886,2.94E+05,1381.6,9.94E+06,85.514,6.15E+05,
