Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
102518G6NG_AK2,1,TE,I,11575,194.87,223.1,5.1217,2903.7,3.36E+07,367.31,4.25E+06,49.931,5.78E+05,1160,1.34E+07,111.96,1.30E+06,
102518G6NG_AK2,2,TE,I,4233,192.14,298.2,4.506,3152.5,1.33E+07,533,2.26E+06,48.409,2.05E+05,1232.9,5.22E+06,133.14,5.64E+05,
102518G6NG_AK2,3,TE,M,11198,293.37,279.91,5.0158,2725.1,3.05E+07,351.66,3.94E+06,39.43,4.42E+05,1182.5,1.32E+07,123.55,1.38E+06,
102518G6NG_AK2,4,TE,I,12428,281.26,208.06,6.1974,2437.8,3.03E+07,505.75,6.29E+06,48.423,6.02E+05,1168.6,1.45E+07,168.89,2.10E+06,
102518G6NG_AK2,5,TE,I,4476,236.79,332.59,6.7458,2991.5,1.34E+07,473.18,2.12E+06,44.177,1.98E+05,1203,5.38E+06,123.17,5.51E+05,
102518G6NG_AK2,6,ICM,M,13957,112.87,239.95,8.852,2513.7,3.51E+07,32.353,4.52E+05,400.99,5.60E+06,1245,1.74E+07,212.45,2.97E+06,
102518G6NG_AK2,7,TE,I,15781,143.06,280.45,6.8752,2624.4,4.14E+07,371.99,5.87E+06,63.349,1.00E+06,1111.4,1.75E+07,184.44,2.91E+06,
102518G6NG_AK2,8,TE,I,10404,155.39,189.39,12.086,3136.2,3.26E+07,406.19,4.23E+06,50.705,5.28E+05,1073.8,1.12E+07,148.14,1.54E+06,
102518G6NG_AK2,9,ICM,I,14434,116.55,300.54,14.165,3053.6,4.41E+07,33.96,4.90E+05,452.33,6.53E+06,1265.6,1.83E+07,129.93,1.88E+06,
102518G6NG_AK2,10,TE,I,5644,168.89,337.34,12.44,2999.9,1.69E+07,627.3,3.54E+06,46.001,2.60E+05,1161.8,6.56E+06,182.03,1.03E+06,
102518G6NG_AK2,11,ICM,I,5546,147.54,218.57,13.293,2712.8,1.50E+07,32.957,1.83E+05,554.34,3.07E+06,1062.6,5.89E+06,321.33,1.78E+06,
102518G6NG_AK2,12,TE,I,19853,61.457,253.23,16.391,2905.7,5.77E+07,366.15,7.27E+06,117.78,2.34E+06,1258.6,2.50E+07,165.17,3.28E+06,
102518G6NG_AK2,12.2,ICM,I,19853,69,254,22,2727.347,,49.07,,254.631,,1135.614,,293.922,,
102518G6NG_AK2,13,ICM,I,11332,117.47,196.21,17.07,2694.3,3.05E+07,34.386,3.90E+05,269.25,3.05E+06,1275.8,1.45E+07,523.96,5.94E+06,
102518G6NG_AK2,14,ICM,I,9588,80.672,223.49,17.528,2628.3,2.52E+07,27.899,2.67E+05,315.09,3.02E+06,1183.9,1.14E+07,648.76,6.22E+06,
102518G6NG_AK2,15,ICM,I,9716,124.74,268.39,15.436,2647.9,2.57E+07,42.087,4.09E+05,345.53,3.36E+06,1161,1.13E+07,623.3,6.06E+06,
102518G6NG_AK2,16,TE,I,8850,314.93,169.88,18.689,2289.5,2.03E+07,234.4,2.07E+06,44.758,3.96E+05,1119,9.90E+06,102.39,9.06E+05,
102518G6NG_AK2,17,TE,I,9773,372.39,228.49,18.712,2126.8,2.08E+07,370.54,3.62E+06,44.056,4.31E+05,1184,1.16E+07,160.69,1.57E+06,
