Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
041818Xim_G6_AY16,85,TE,I,18935,131.73,345.9,101.2,236.54,4.48E+06,21.969,4.16E+05,15.312,2.90E+05,503.52,9.53E+06,49.548,9.38E+05,
041818Xim_G6_AY16,86,TE,I,12685,285.62,100.71,102.72,377.98,4.79E+06,24.721,3.14E+05,62.445,7.92E+05,527.44,6.69E+06,52.681,6.68E+05,
041818Xim_G6_AY16,87,TE,I,17124,406.9,194.49,102.76,391.59,6.71E+06,502.04,8.60E+06,32.612,5.58E+05,517.1,8.85E+06,102.08,1.75E+06,
041818Xim_G6_AY16,88,TE,I,17084,339.68,348.86,106.98,440.6,7.53E+06,21.922,3.75E+05,16.004,2.73E+05,473.58,8.09E+06,43.865,7.49E+05,
041818Xim_G6_AY16,89,TE,I,15769,101.28,270.22,105.18,207.26,3.27E+06,137.41,2.17E+06,20.594,3.25E+05,434.45,6.85E+06,130.91,2.06E+06,
041818Xim_G6_AY16,90,TE,I,11396,387.4,286.42,108.17,424.66,4.84E+06,583.2,6.65E+06,32.086,3.66E+05,492.96,5.62E+06,125.34,1.43E+06,
041818Xim_G6_AY16,91,TE,I,12237,344.74,137.65,108.76,443.78,5.43E+06,618.43,7.57E+06,32.859,4.02E+05,511.5,6.26E+06,137.83,1.69E+06,
041818Xim_G6_AY16,92,TE,I,13197,239.57,127.21,111.02,368.03,4.86E+06,254.01,3.35E+06,23.166,3.06E+05,517.15,6.82E+06,126.27,1.67E+06,
041818Xim_G6_AY16,93,TE,I,15399,171.72,173.29,114.91,207.6,3.20E+06,173,2.66E+06,20.055,3.09E+05,517.91,7.98E+06,81.237,1.25E+06,
041818Xim_G6_AY16,94,TE,I,18096,211.15,340.37,117.45,350.88,6.35E+06,19.957,3.61E+05,14.037,2.54E+05,495.64,8.97E+06,29.206,5.29E+05,
041818Xim_G6_AY16,95,TE,I,13257,348.09,215.26,118.09,524.46,6.95E+06,233.87,3.10E+06,30.947,4.10E+05,494.07,6.55E+06,136.42,1.81E+06,
041818Xim_G6_AY16,96,TE,I,15312,144.69,252.31,118.43,145.47,2.23E+06,96.84,1.48E+06,17.607,2.70E+05,489.91,7.50E+06,103.24,1.58E+06,
041818Xim_G6_AY16,97,TE,I,14135,283.22,173.52,120.3,293.79,4.15E+06,19.439,2.75E+05,22.285,3.15E+05,511.3,7.23E+06,40.914,5.78E+05,
041818Xim_G6_AY16,98,TE,I,11653,231.82,212.76,124.07,269.41,3.14E+06,18.968,2.21E+05,23.26,2.71E+05,515.16,6.00E+06,39.941,4.65E+05,
041818Xim_G6_AY16,99,TE,I,15562,296.58,264.53,124.47,445.92,6.94E+06,181.05,2.82E+06,20.857,3.25E+05,493.88,7.69E+06,124.05,1.93E+06,
041818Xim_G6_AY16,100,TE,I,10549,210.71,265.92,124.7,268.92,2.84E+06,124.39,1.31E+06,18.474,1.95E+05,491.23,5.18E+06,111.34,1.17E+06,
