Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, ,
050718Xim_WT_BC6,35,TE,I,3317,247.03,366.06,24.522,2752.6,9.13E+06,449.34,1.49E+06,34.327,1.14E+05,489.1,1.62E+06,441.45,1.46E+06,,
050718Xim_WT_BC6,36,ICM,I,4505,136.42,280.75,25.375,2518.1,1.13E+07,365.09,1.64E+06,35.593,1.60E+05,485.4,2.19E+06,280.16,1.26E+06,,
050718Xim_WT_BC6,37,ICM,I,6095,84,223,23,2153.948,,81.977,,400.948,,454.674,,104.44,,,
050718Xim_WT_BC6,37.2,ICM,I,6095,91,225,29,2250.913,,56.29,,423.98,,463.262,,97.913,,,
050718Xim_WT_BC6,38,TE,I,3058,219.24,103.1,28.177,2230.2,6.82E+06,51.046,1.56E+05,20.937,64026,455.98,1.39E+06,251.73,7.70E+05,,
050718Xim_WT_BC6,39,TE,I,4539,187.96,123.59,28.228,1808.9,8.21E+06,53.223,2.42E+05,24.727,1.12E+05,455.13,2.07E+06,280.67,1.27E+06,,
050718Xim_WT_BC6,40,TE,I,5754,381.53,320.53,28.31,2558.2,1.47E+07,53.534,3.08E+05,63.988,3.68E+05,479.24,2.76E+06,310.39,1.79E+06,,
050718Xim_WT_BC6,41,TE,I,3171,154.5,134.98,28.696,2183.7,6.92E+06,58.884,1.87E+05,22.837,72416,456.87,1.45E+06,92.352,2.93E+05,,
050718Xim_WT_BC6,42,TE,I,7117,401.98,163.79,30.073,1357.2,9.66E+06,52.395,3.73E+05,26.718,1.90E+05,469.81,3.34E+06,202.53,1.44E+06,,
050718Xim_WT_BC6,43,TE,I,4702,393.64,255.52,29.831,1455.7,6.84E+06,52.083,2.45E+05,27.338,1.29E+05,481.68,2.26E+06,119.5,5.62E+05,,
050718Xim_WT_BC6,44,TE,I,4814,62.334,301.02,30.828,2433.1,1.17E+07,264.28,1.27E+06,32.102,1.55E+05,498.27,2.40E+06,98.764,4.75E+05,,
050718Xim_WT_BC6,45,TE,I,3279,249.57,89.898,31.403,1812.8,5.94E+06,48.292,1.58E+05,20.467,67112,465.86,1.53E+06,221.45,7.26E+05,,
050718Xim_WT_BC6,46,ICM,I,2397,120.23,185.23,31.296,2005.3,4.81E+06,59.953,1.44E+05,29.504,70722,456.52,1.09E+06,783.23,1.88E+06,,
050718Xim_WT_BC6,47,TE,I,4191,347.15,368.72,30.964,2112.8,8.85E+06,1205.8,5.05E+06,51.735,2.17E+05,486.66,2.04E+06,166.02,6.96E+05,,
050718Xim_WT_BC6,48,TE,I,4264,295.99,88.872,32.295,1298.2,5.54E+06,40.511,1.73E+05,22.991,98035,469.92,2.00E+06,271.58,1.16E+06,,
050718Xim_WT_BC6,49,TE,I,6691,359.87,108.34,34.673,1472.5,9.85E+06,45.326,3.03E+05,23.169,1.55E+05,460.38,3.08E+06,328.99,2.20E+06,,
050718Xim_WT_BC6,50,ICM,I,5382,91.417,194.9,34.077,2301.6,1.24E+07,64.563,3.47E+05,32.305,1.74E+05,463.31,2.49E+06,406.06,2.19E+06,,
050718Xim_WT_BC6,51,ICM,I,6107,106.76,227.71,33.531,1984.4,1.21E+07,52.542,3.21E+05,65.769,4.02E+05,454.84,2.78E+06,473.58,2.89E+06,,
050718Xim_WT_BC6,52,ICM,I,5215,107.94,293.42,31.472,2469.9,1.29E+07,69.415,3.62E+05,38.458,2.01E+05,454.2,2.37E+06,595.45,3.11E+06,,
050718Xim_WT_BC6,53,TE,I,3484,239.37,394.26,32.623,2581.6,8.99E+06,422.63,1.47E+06,32.631,1.14E+05,483.88,1.69E+06,412.62,1.44E+06,,
050718Xim_WT_BC6,54,ICM,I,1872,79.44,290.76,32.129,2650.4,4.96E+06,64.825,1.21E+05,37.671,70521,420.55,7.87E+05,841.77,1.58E+06,,
050718Xim_WT_BC6,55,ICM,I,2684,87.839,312,32.483,2834.8,7.61E+06,79.439,2.13E+05,50.808,1.36E+05,420.94,1.13E+06,804.28,2.16E+06,,
050718Xim_WT_BC6,56,TE,I,4221,131.09,362.44,36.071,2065.7,8.72E+06,424.28,1.79E+06,27.421,1.16E+05,485.88,2.05E+06,92.948,3.92E+05,,
050718Xim_WT_BC6,57,TE,I,3264,293.46,392.32,34.854,2710,8.85E+06,2856.2,9.32E+06,90.613,2.96E+05,487.14,1.59E+06,333.83,1.09E+06,,
050718Xim_WT_BC6,58,TE,I,11197,107,132,36,2942.619,,54.129,,29.884,,431.71,,485.572,,,
050718Xim_WT_BC6,58.2,ICM,I,11197,123,134,41,1788.805,,52.875,,246.133,,446.663,,114.235,,,
050718Xim_WT_BC6,59,TE,I,3250,406.53,305.39,35.831,1987.5,6.46E+06,49.69,1.61E+05,35.26,1.15E+05,487,1.58E+06,259.31,8.43E+05,,
050718Xim_WT_BC6,60,ICM,I,3319,54.676,263.66,36.44,1678.5,5.57E+06,70.717,2.35E+05,251.37,8.34E+05,439.87,1.46E+06,80.962,2.69E+05,,
050718Xim_WT_BC6,61,TE,I,4110,168.28,388.43,37.655,2256.1,9.27E+06,2789.4,1.15E+07,83.997,3.45E+05,473.09,1.94E+06,237.54,9.76E+05,,
