Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
061218Xim_G6_BH12,64,ICM,I,5588,135.11,356.38,47.457,463.99,2.59E+06,45.013,2.52E+05,49.08,2.74E+05,426.17,2.38E+06,28.776,1.61E+05
061218Xim_G6_BH12,65,TE,I,10280,174.93,422.71,51.346,854.72,8.79E+06,475.83,4.89E+06,31.595,3.25E+05,375.69,3.86E+06,40.258,4.14E+05
061218Xim_G6_BH12,67,TE,I,12503,170.32,133.14,54.876,914.92,1.14E+07,1594,1.99E+07,55.68,6.96E+05,477.31,5.97E+06,48.445,6.06E+05
061218Xim_G6_BH12,69,ICM,I,1023,93.454,229.94,48,635.527,,52.247,,19.788,,470.268,,33.732,
061218Xim_G6_BH12,70,ICM,I,4641,116.58,268.98,52.06,464.15,2.15E+06,32.901,1.53E+05,18.804,87271,517.45,2.40E+06,28.031,1.30E+05
061218Xim_G6_BH12,71,TE,I,13897,56.657,281.25,53.72,764.71,1.06E+07,583.67,8.11E+06,34.315,4.77E+05,417.9,5.81E+06,33.413,4.64E+05
061218Xim_G6_BH12,72,ICM,I,9800,105.75,305.77,53.397,430.71,4.22E+06,55.167,5.41E+05,18.381,1.80E+05,450.52,4.42E+06,26.54,2.60E+05
061218Xim_G6_BH12,74,TE,I,12822,245.74,441.12,56.068,566.88,7.27E+06,290.83,3.73E+06,31.994,4.10E+05,371.73,4.77E+06,31.81,4.08E+05
061218Xim_G6_BH12,76,TE,I,11186,369.92,413.85,60.991,828.39,9.27E+06,350.41,3.92E+06,27.633,3.09E+05,477.11,5.34E+06,52.767,5.90E+05
061218Xim_G6_BH12,77,TE,I,12602,99.684,350.88,58.427,590.75,7.44E+06,679.2,8.56E+06,34.958,4.41E+05,410.91,5.18E+06,31.433,3.96E+05
