Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
061218Xim_G6_BH20,1,TE,M,5219,310.7,270,5.2064,2857.5,1.49E+07,2741.2,1.43E+07,114.41,5.97E+05,545.41,2.85E+06,422.68,2.21E+06,
061218Xim_G6_BH20,2,TE,I,19578,229,286,5,3169.976,,128.614,,60.917,,516.32,,227.994,,
061218Xim_G6_BH20,2.2,ICM,I,19578,227,275,11,2572.239,,109.874,,222.987,,503.81,,85.835,,
061218Xim_G6_BH20,3,TE,I,11085,185.6,316.61,5.5829,2707,3.00E+07,106.55,1.18E+06,49.462,5.48E+05,535.36,5.93E+06,167.99,1.86E+06,
061218Xim_G6_BH20,4,TE,I,9972,279.36,169.79,7.6924,3053.4,3.04E+07,2782.5,2.77E+07,115.07,1.15E+06,541.34,5.40E+06,1047,1.04E+07,
061218Xim_G6_BH20,5,TE,I,7609,142.56,258.92,4.9919,2440.5,1.86E+07,109.12,8.30E+05,351.54,2.67E+06,496.26,3.78E+06,81.109,6.17E+05,
061218Xim_G6_BH20,6,ICM,I,8411,180.29,248.48,7.1044,2505.9,2.11E+07,100.36,8.44E+05,159.86,1.34E+06,528.2,4.44E+06,189.88,1.60E+06,
061218Xim_G6_BH20,7,TE,I,14817,277.08,223.14,7.8985,1912.1,2.83E+07,2348.9,3.48E+07,98.146,1.45E+06,523.99,7.76E+06,370.94,5.50E+06,
061218Xim_G6_BH20,8,TE,I,11809,109.1,239.56,10.645,2188.5,2.58E+07,106.92,1.26E+06,165.97,1.96E+06,470.15,5.55E+06,176.77,2.09E+06,
061218Xim_G6_BH20,9,TE,I,9554,302.5,318.62,8.0969,1781.6,1.70E+07,1802.6,1.72E+07,75.642,7.23E+05,540.4,5.16E+06,303.48,2.90E+06,
061218Xim_G6_BH20,10,TE,I,11116,215.75,149.99,12.757,2754.7,3.06E+07,2035,2.26E+07,82.266,9.14E+05,551.86,6.13E+06,526.79,5.86E+06,
061218Xim_G6_BH20,11,TE,I,8012,152.99,337.66,12.05,2637.7,2.11E+07,93.981,7.53E+05,118.94,9.53E+05,500.27,4.01E+06,169.19,1.36E+06,
061218Xim_G6_BH20,12,ICM,I,8476,218.36,226,12.334,2506.5,2.12E+07,92.188,7.81E+05,429.81,3.64E+06,442.87,3.75E+06,157.87,1.34E+06,
061218Xim_G6_BH20,13,TE,I,14905,383.29,222.71,12.914,1768.6,2.64E+07,1903.4,2.84E+07,77.479,1.15E+06,546.83,8.15E+06,354.12,5.28E+06,
061218Xim_G6_BH20,14,ICM,M,5127,164.36,285.81,12.228,2871.9,1.47E+07,90.701,4.65E+05,161.32,8.27E+05,507.56,2.60E+06,64.047,3.28E+05,
061218Xim_G6_BH20,15,TE,I,9199,160.83,190.75,13.435,2104.7,1.94E+07,92.525,8.51E+05,51.527,4.74E+05,535.99,4.93E+06,135.28,1.24E+06,
061218Xim_G6_BH20,16,TE,M,4408,377.39,292.36,11.955,3024.1,1.33E+07,2776.4,1.22E+07,104.47,4.61E+05,546.83,2.41E+06,377.26,1.66E+06,
061218Xim_G6_BH20,17,ICM,I,23436,211,332,14,2625.493,,142.273,,51.526,,531.121,,86.861,,
061218Xim_G6_BH20,17.2,TE,I,23436,221,357,17,3000.233,,2821.352,,109.643,,530.68,,464.027,,
061218Xim_G6_BH20,18,ICM,I,9253,198.58,300.91,16.62,2205.6,2.04E+07,93.739,8.67E+05,98.978,9.16E+05,493.68,4.57E+06,79.542,7.36E+05,
061218Xim_G6_BH20,19,ICM,M,5135,115.74,325.18,17.536,2672.2,1.37E+07,80.942,4.16E+05,118.64,6.09E+05,490.56,2.52E+06,54.261,2.79E+05,
061218Xim_G6_BH20,21,ICM,I,4829,178.16,226.3,16.002,1942.3,9.38E+06,90.598,4.38E+05,94.462,4.56E+05,509.62,2.46E+06,76.723,3.71E+05,
061218Xim_G6_BH20,22,ICM,I,12397,128,276,18,1977.293,,80.347,,299.557,,498.144,,69.431,,
061218Xim_G6_BH20,22.2,ICM,I,12397,122,295,23,1832.33,,65.047,,110.551,,508.3,,59.294,,
061218Xim_G6_BH20,23,ICM,I,5666,147.19,203.65,20.062,1641.9,9.30E+06,83.346,4.72E+05,108.01,6.12E+05,533.91,3.03E+06,69.796,3.95E+05,
061218Xim_G6_BH20,24,ICM,I,7990,215.44,239.33,20.636,1898.5,1.52E+07,74.87,5.98E+05,153.52,1.23E+06,440.81,3.52E+06,65.077,5.20E+05,
061218Xim_G6_BH20,25,ICM,I,5559,232.05,205.62,18.822,2083.8,1.16E+07,96.4,5.36E+05,139.09,7.73E+05,499.66,2.78E+06,207.03,1.15E+06,
061218Xim_G6_BH20,27,ICM,I,4153,168.5,270.25,18.125,2029,8.43E+06,73.366,3.05E+05,198.87,8.26E+05,522.97,2.17E+06,60.381,2.51E+05,
061218Xim_G6_BH20,28,TE,M,10449,88.068,279.94,22.699,2426.2,2.54E+07,72.646,7.59E+05,107.59,1.12E+06,554.41,5.79E+06,67.464,7.05E+05,
061218Xim_G6_BH20,29,ICM,I,12748,117.72,245.81,20.179,1841.6,2.35E+07,83.925,1.07E+06,75.028,9.56E+05,455.81,5.81E+06,68.313,8.71E+05,
061218Xim_G6_BH20,30,ICM,I,4414,205.48,204.93,20.238,1909.9,8.43E+06,84.519,3.73E+05,102.71,4.53E+05,508.57,2.24E+06,161.23,7.12E+05,
061218Xim_G6_BH20,31,TE,I,9013,288.7,372.74,23.269,2764,2.49E+07,2331.6,2.10E+07,81.755,7.37E+05,567.89,5.12E+06,272.7,2.46E+06,
061218Xim_G6_BH20,32,TE,I,8385,334.29,151.83,23.043,1774.4,1.49E+07,1136.1,9.53E+06,57.796,4.85E+05,525.89,4.41E+06,273.43,2.29E+06,
061218Xim_G6_BH20,33,TE,I,6472,399.98,324.95,22.962,2144.5,1.39E+07,2454.4,1.59E+07,90.073,5.83E+05,548.37,3.55E+06,316.65,2.05E+06,
061218Xim_G6_BH20,35,ICM,I,9316,156.05,311.2,26.692,1387.5,1.29E+07,61.456,5.73E+05,209.38,1.95E+06,501.95,4.68E+06,53.426,4.98E+05,
061218Xim_G6_BH20,36,ICM,I,8851,152.86,351.89,24.745,1887,1.67E+07,93.534,8.28E+05,241.05,2.13E+06,469.19,4.15E+06,66.544,5.89E+05,
061218Xim_G6_BH20,37,TE,I,7617,92.974,203.11,26.225,1864.9,1.42E+07,73.943,5.63E+05,44.895,3.42E+05,544.57,4.15E+06,120.52,9.18E+05,
061218Xim_G6_BH20,38,ICM,I,742,211.58,341.19,25.384,2088.9,1.55E+06,115.46,85671,300.37,2.23E+05,568.14,4.22E+05,61.4,45559,
061218Xim_G6_BH20,39,TE,I,5217,432.11,260.15,26.58,2201.2,1.15E+07,1188.5,6.20E+06,58.909,3.07E+05,490.94,2.56E+06,238.24,1.24E+06,
061218Xim_G6_BH20,40,ICM,I,4067,177.96,177.71,26.482,1391.4,5.66E+06,100.56,4.09E+05,132.4,5.38E+05,584.26,2.38E+06,59.942,2.44E+05,
061218Xim_G6_BH20,41,ICM,I,707,215.22,274.49,23.936,1032.2,7.30E+05,63.19,44675,83.287,58884,500.88,3.54E+05,51.161,36171,
061218Xim_G6_BH20,42,TE,I,14459,219.18,149.52,30.302,1368.3,1.98E+07,1561,2.26E+07,68.062,9.84E+05,500.23,7.23E+06,261.57,3.78E+06,
061218Xim_G6_BH20,44,ICM,I,10322,245.5,274.42,29.216,1054,1.09E+07,711.96,7.35E+06,50.718,5.24E+05,429.08,4.43E+06,346.42,3.58E+06,
061218Xim_G6_BH20,45,TE,M,4102,171.28,156.23,30.855,2375.4,9.74E+06,2087.9,8.56E+06,81.83,3.36E+05,542.63,2.23E+06,203.87,8.36E+05,
061218Xim_G6_BH20,46,ICM,I,3664,96.946,231.03,28.627,1838.7,6.74E+06,65.632,2.40E+05,158.76,5.82E+05,456.47,1.67E+06,57.809,2.12E+05,
061218Xim_G6_BH20,47,ICM,I,11158,131.1,238.57,29.943,1412,1.58E+07,63.819,7.12E+05,34.858,3.89E+05,459.45,5.13E+06,54.376,6.07E+05,
061218Xim_G6_BH20,48,ICM,I,8269,171.76,231.66,29.221,959.92,7.94E+06,56.721,4.69E+05,42.206,3.49E+05,515,4.26E+06,47.369,3.92E+05,
061218Xim_G6_BH20,49,TE,I,10513,195.66,366.38,32.861,2091.8,2.20E+07,2426.3,2.55E+07,98.634,1.04E+06,470.48,4.95E+06,300.02,3.15E+06,
061218Xim_G6_BH20,50,ICM,I,7782,188.72,315.85,32.357,1395.7,1.09E+07,61.842,4.81E+05,239.32,1.86E+06,511.23,3.98E+06,53.165,4.14E+05,
061218Xim_G6_BH20,52,ICM,I,10021,118.08,321.43,30.912,946.48,9.48E+06,60.678,6.08E+05,33.727,3.38E+05,433.03,4.34E+06,53.799,5.39E+05,
061218Xim_G6_BH20,53,ICM,I,7628,199.15,284.84,33.107,991.29,7.56E+06,50.929,3.88E+05,31.466,2.40E+05,533.57,4.07E+06,43.952,3.35E+05,
061218Xim_G6_BH20,55,TE,M,4729,107.3,175.75,36.218,2125.1,1.01E+07,1360.3,6.43E+06,67.718,3.20E+05,514.38,2.43E+06,151.92,7.18E+05,
061218Xim_G6_BH20,56,ICM,I,7505,102.65,202.71,36.424,1582.3,1.19E+07,64.988,4.88E+05,114.14,8.57E+05,501.93,3.77E+06,57.605,4.32E+05,
061218Xim_G6_BH20,57,ICM,I,6590,131.82,278.63,33.657,1175.1,7.74E+06,54.033,3.56E+05,45.032,2.97E+05,479.93,3.16E+06,45.051,2.97E+05,
