Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
041818Xim_G6_AY11,76,TE,I,9445,131.6,188.66,55.845,394.86,3.73E+06,39.98,3.78E+05,28.933,2.73E+05,288.98,2.73E+06,161.92,1.53E+06,
041818Xim_G6_AY11,77,TE,I,14822,173.84,153.67,56.663,529.25,7.84E+06,34.544,5.12E+05,21.15,3.13E+05,445.23,6.60E+06,104.49,1.55E+06,
041818Xim_G6_AY11,78,ICM,I,9199,118.4,267.42,60.588,427.38,3.93E+06,107.6,9.90E+05,221.62,2.04E+06,398.11,3.66E+06,94.909,8.73E+05,
041818Xim_G6_AY11,79,TE,I,20750,419.1,291.75,60.595,801.43,1.66E+07,37.411,7.76E+05,40.499,8.40E+05,429.34,8.91E+06,70.483,1.46E+06,
041818Xim_G6_AY11,80,TE,I,19323,303.49,108.56,63.034,628.48,1.21E+07,34.102,6.59E+05,28.351,5.48E+05,404.74,7.82E+06,84.589,1.63E+06,
041818Xim_G6_AY11,81,TE,I,25985,137,308,62,432.952,,893.889,,56.356,,408.471,,189.625,,
041818Xim_G6_AY11,81.2,TE,I,25985,145,339,62,398.775,,849.899,,52.464,,393.992,,198.871,,
041818Xim_G6_AY11,82,TE,I,17116,219.01,128.14,66.55,513.26,8.78E+06,31.095,5.32E+05,22.562,3.86E+05,395.35,6.77E+06,111.29,1.90E+06,
041818Xim_G6_AY11,83,TE,I,7447,408.04,257.63,69.536,632.61,4.71E+06,30.843,2.30E+05,36.015,2.68E+05,497.32,3.70E+06,56.376,4.20E+05,
041818Xim_G6_AY11,84,TE,I,14286,203.25,371.09,68.049,451.17,6.45E+06,846.47,1.21E+07,61.108,8.73E+05,372.56,5.32E+06,162.2,2.32E+06,
041818Xim_G6_AY11,85,TE,I,14577,285.14,369.36,70.306,488.59,7.12E+06,1048.9,1.53E+07,71.084,1.04E+06,410.61,5.99E+06,144.99,2.11E+06,
