Embryo Id,Cell ID,Size,Identity,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
042617Xim_G6_AR2,12,6648,TE,260.19,333.82,11.256,2571.3,1.71E+07,142.04,9.44E+05,257.32,1.71E+06,1026.6,6.82E+06,493.37,3.28E+06
042617Xim_G6_AR2,13,9401,TE,315.96,175.2,14.568,2341.2,2.20E+07,1074.1,1.01E+07,64.641,6.08E+05,951.39,8.94E+06,182.02,1.71E+06
042617Xim_G6_AR2,14,12669,TE,174.9,242.4,16.128,2327.6,2.95E+07,1866.7,2.37E+07,76.089,9.64E+05,953.42,1.21E+07,201.95,2.56E+06
042617Xim_G6_AR2,15,16261,TE,352.31,275.32,17.317,2195,3.57E+07,1543.6,2.51E+07,68.359,1.11E+06,1062,1.73E+07,146.95,2.39E+06
042617Xim_G6_AR2,15.2,16261,TE,352.31,275.32,17.317,2112.615,3.57E+07,1500.052,2.51E+07,66.24,1.11E+06,1036.758,1.73E+07,150.49,2.39E+06
042617Xim_G6_AR2,16,6796,TE,360.52,183.76,17.19,1711.6,1.16E+07,103.49,7.03E+05,65.586,4.46E+05,1114.2,7.57E+06,111.87,7.60E+05
042617Xim_G6_AR2,17,7978,TE,351.89,345,16.495,2223.9,1.77E+07,92.814,7.40E+05,36.543,2.92E+05,1095.9,8.74E+06,124.49,9.93E+05
042617Xim_G6_AR2,18,6381,TE,281.89,358.75,16.717,2434.4,1.55E+07,115.14,7.35E+05,145.28,9.27E+05,1187.4,7.58E+06,377.98,2.41E+06
042617Xim_G6_AR2,19,3373,TE,281.82,170.18,19.852,2112,7.12E+06,89.758,3.03E+05,60.746,2.05E+05,1039.7,3.51E+06,294.2,9.92E+05
042617Xim_G6_AR2,20,8511,TE,197.64,186.54,20.432,2503.2,2.13E+07,2643.8,2.25E+07,89.767,7.64E+05,912.14,7.76E+06,217.61,1.85E+06
042617Xim_G6_AR2,21,6467,TE,240.87,180.68,22.741,1603.5,1.04E+07,1377.5,8.91E+06,67.478,4.36E+05,990.81,6.41E+06,320.19,2.07E+06
042617Xim_G6_AR2,22,6067,TE,186.12,323.46,22.037,2081.8,1.26E+07,2511.2,1.52E+07,83.92,5.09E+05,1049.8,6.37E+06,315.33,1.91E+06
042617Xim_G6_AR2,23,6424,TE,153.15,320.14,23.169,2413.2,1.55E+07,1990.5,1.28E+07,118.54,7.62E+05,1085.3,6.97E+06,413.4,2.66E+06
042617Xim_G6_AR2,24,7466,TE,301.63,375.99,23.382,2191.3,1.64E+07,142.61,1.06E+06,123.39,9.21E+05,1101.4,8.22E+06,340.05,2.54E+06
042617Xim_G6_AR2,25,9594,TE,356.2,164.55,25.229,1543.4,1.48E+07,641.34,6.15E+06,48.591,4.66E+05,1153.1,1.11E+07,109.56,1.05E+06
042617Xim_G6_AR2,26,8957,TE,377.35,216.25,25.723,1503.7,1.35E+07,88.653,7.94E+05,41.689,3.73E+05,1025.5,9.19E+06,101.78,9.12E+05
042617Xim_G6_AR2,27,9812,ICM,213.53,247.88,25.248,1204.3,1.18E+07,777.27,7.63E+06,51.892,5.09E+05,941.6,9.24E+06,621.48,6.10E+06
042617Xim_G6_AR2,28,10245,TE,250.98,349.92,26.947,2077.8,2.13E+07,875.69,8.97E+06,61.773,6.33E+05,967.92,9.92E+06,176.42,1.81E+06
042617Xim_G6_AR2,29,7917,TE,332.01,372.05,27.566,1951.7,1.55E+07,92.456,7.32E+05,284.58,2.25E+06,1014,8.03E+06,243.33,1.93E+06
042617Xim_G6_AR2,30,6640,TE,140.76,223.6,25.627,1716,1.14E+07,1844.6,1.22E+07,79.966,5.31E+05,978.01,6.49E+06,382.62,2.54E+06
042617Xim_G6_AR2,31,14005,ICM,179,275,24,1471.588,,655.86,,55.894,,958.1,,512.607,
042617Xim_G6_AR2,32,10172,TE,387.07,330.77,28.503,2553.7,2.60E+07,78.638,8.00E+05,105.36,1.07E+06,1079.6,1.10E+07,278.06,2.83E+06
042617Xim_G6_AR2,34,3640,TE,245.15,158.15,29.82,1705.8,6.21E+06,112.72,4.10E+05,51.839,1.89E+05,1167.3,4.25E+06,229.53,8.35E+05
042617Xim_G6_AR2,35,13629,TE,296.3,153.72,32.202,729.36,9.94E+06,337.04,4.59E+06,35.461,4.83E+05,995.25,1.36E+07,77.751,1.06E+06
042617Xim_G6_AR2,36,6952,TE,354.58,364.46,32.828,1414.1,9.83E+06,76.821,5.34E+05,233.57,1.62E+06,1030.7,7.17E+06,233.82,1.63E+06
042617Xim_G6_AR2,37,9889,TE,109.43,253.17,34.156,1288.1,1.27E+07,1085.8,1.07E+07,75.732,7.49E+05,1016.7,1.01E+07,312.2,3.09E+06
042617Xim_G6_AR2,38,12577,TE,224.2,329.84,34.797,1096.3,1.38E+07,431.35,5.43E+06,39.292,4.94E+05,883.57,1.11E+07,178.71,2.25E+06
042617Xim_G6_AR2,39,8901,TE,175.22,171.47,35.518,1036.7,9.23E+06,1218.1,1.08E+07,59.065,5.26E+05,1042.1,9.28E+06,245.15,2.18E+06
