Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,Gene3,Genotype3,Background,Treatment,target,target_t0,target_killed,Tt_stage,Cellcount_t0,Recovery,Cell_diff,Experimenter,MINS_correct
20170315,,031517Abl_C,C,031517Abl_C6,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_C,C,031517Abl_C7,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_C,C,031517Abl_C8,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_C,C,031517Abl_C9,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_C,C,031517Abl_C10,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,21,15,tbd,,24h,kill_0.75,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,10,8,tbd,,24h,kill_0.75,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,24,18,tbd,,24h,kill_0.75,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D5,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,21,16,tbd,,24h,kill_0.75,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D6,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,11,8,tbd,,24h,kill_0.75,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D4,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,tbd,0,tbd,,24h,zero,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D7,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D8,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D9,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D10,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D11,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170315,,031517Abl_D,D,031517Abl_D12,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170322,20170411,032217Abl_F,F,032217Abl_F1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,11,8,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_F,F,032217Abl_F2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,21,15,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_F,F,032217Abl_F3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,10,7,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_F,F,032217Abl_F4,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,20,7,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_F,F,032217Abl_F5,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170322,20170411,032217Abl_F,F,032217Abl_F6,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170322,20170411,032217Abl_F,F,032217Abl_F7,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,15,11,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,14,11,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,11,8,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G4,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,13,9,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G5,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,7,5,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G6,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,7,5,tbd,,24h,kill_0.75,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G7,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,tbd,0,tbd,,24h,zero,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G8,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,tbd,0,tbd,,24h,zero,NS,tbd
20170322,20170411,032217Abl_G,G,032217Abl_G9,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,tbd,0,tbd,,24h,zero,NS,tbd
