"Cell_ID","identity_t0","ending"
"121917Abl_CD4.1000001732.DP.intact.d.1","DP","end point"
"121917Abl_CD4.1000001732.DP.intact.d.2","DP","end point"
"121917Abl_CD4.1000001732.DP.intact.m.0","DP","division"
"121917Abl_CE1.1000000000.PRE.intact.d.1","PRE","end point"
"121917Abl_CE1.1000000000.PRE.intact.d.2","PRE","end point"
"121917Abl_CE1.1000000000.PRE.intact.m.0","PRE","division"
"121917Abl_CE1.1000000000.PRE.targeted.m.0","PRE","death"
"121917Abl_CE1.1000000057.PRE.targeted.m.0","PRE","death"
"121917Abl_CE1.1000000087.PRE.intact.m.0","PRE","death"
"121917Abl_CE1.1000000093.PRE.targeted.m.0","PRE","death"
"121917Abl_CE1.1000000113.PRE.targeted.m.0","PRE","death"
"121917Abl_CE1.1000000122.PRE.intact.m.0","PRE","death"
"121917Abl_CE1.1000000133.PRE.targeted.m.0","PRE","death"
"121917Abl_CE1.1000000148.PRE.intact.d.1","PRE","end point"
"121917Abl_CE1.1000000148.PRE.intact.d.2","PRE","end point"
"121917Abl_CE1.1000000148.PRE.intact.m.0","PRE","division"
"121917Abl_CE1.1000000149.PRE.targeted.m.0","PRE","death"
"121917Abl_CE1.1000000170.PRE.targeted.m.0","PRE","death"
"121917Abl_CE1.1000000195.PRE.targeted.m.0","PRE","death"
"121917Abl_CE1.1000000216.PRE.targeted.m.0","PRE","death"
"121917Abl_CE1.1000000233.PRE.targeted.d.1","PRE","death"
"121917Abl_CE1.1000000233.PRE.targeted.d.2","PRE","death"
"121917Abl_CE1.1000000233.PRE.targeted.m.0","PRE","division"
"121917Abl_CE1.1000000235.PRE.targeted.m.0","PRE","death"
"121917Abl_CE2.1000000000.PRE.intact.m.0","PRE","lost"
"121917Abl_CE2.1000000000.PRE.targeted.m.0","PRE","death"
"121917Abl_CE2.1000000002.PRE.targeted.m.0","PRE","death"
"121917Abl_CE2.1000000018.PRE.targeted.m.0","PRE","death"
"121917Abl_CE2.1000000022.PRE.targeted.m.0","PRE","death"
"121917Abl_CE2.1000000023.PRE.targeted.m.0","PRE","death"
"121917Abl_CE2.1000000027.PRE.targeted.m.0","PRE","death"
"121917Abl_CE2.1000000053.PRE.targeted.m.0","PRE","death"
"121917Abl_CE2.1000000062.PRE.intact.d.1","PRE","end point"
"121917Abl_CE2.1000000062.PRE.intact.d.2","PRE","end point"
"121917Abl_CE2.1000000062.PRE.intact.m.0","PRE","division"
"121917Abl_CE2.1000000137.DP.intact.d.1","DP","end point"
"121917Abl_CE2.1000000137.DP.intact.d.2","DP","lost"
"121917Abl_CE2.1000000137.DP.intact.m.0","DP","division"
"121917Abl_CE2.1000000355.PRE.targeted.m.0","PRE","death"
"121917Abl_CE3.1000000000.PRE.intact.m.0","PRE","end point"
"121917Abl_CE3.1000000000.PRE.targeted.m.0","PRE","death"
"121917Abl_CE3.1000000012.PRE.targeted.m.0","PRE","death"
"121917Abl_CE3.1000000027.PRE.targeted.m.0","PRE","death"
"121917Abl_CE3.1000000050.PRE.targeted.m.0","PRE","death"
"121917Abl_CE3.1000000070.PRE.intact.m.0","PRE","end point"
"121917Abl_CE3.1000000132.PRE.targeted.m.0","PRE","end point"
"121917Abl_CE3.1000000140.PRE.intact.m.0","PRE","end point"
"121917Abl_CE3.1000000202.PRE.targeted.m.0","PRE","death"
"121917Abl_CE3.1000000210.PRE.intact.m.0","PRE","end point"
"121917Abl_CE3.1000000280.PRE.intact.d.1","PRE","end point"
"121917Abl_CE3.1000000280.PRE.intact.d.2","PRE","end point"
"121917Abl_CE3.1000000280.PRE.intact.m.0","PRE","division"
"121917Abl_CE3.1000000759.DP.intact.d.1","DP","end point"
"121917Abl_CE3.1000000759.DP.intact.d.2","DP","end point"
"121917Abl_CE3.1000000759.DP.intact.m.0","DP","division"
"121917Abl_CE3.1000000894.PRE.intact.m.0","PRE","end point"
"121917Abl_CE3.1000000964.DP.intact.m.0","DP","end point"
"121917Abl_CE3.1000001035.DP.intact.m.0","DP","end point"
"121917Abl_CE3.1000001105.DP.intact.m.0","DP","death"
"121917Abl_CE3.1000001153.PRE.intact.m.0","PRE","lost"
"121917Abl_CE4.1000000000.PRE.intact.m.0","PRE","end point"
"121917Abl_CE4.1000000000.PRE.targeted.m.0","PRE","death"
"121917Abl_CE4.1000000016.PRE.targeted.m.0","PRE","death"
"121917Abl_CE4.1000000025.PRE.intact.m.0","PRE","end point"
"121917Abl_CE4.1000000034.PRE.targeted.m.0","PRE","death"
"121917Abl_CE4.1000000060.DP.targeted.m.0","DP","death"
"121917Abl_CE4.1000000062.PRE.intact.m.0","PRE","off frame"
"121917Abl_CE4.1000000064.PRE.targeted.m.0","PRE","lost"
"121917Abl_CE4.1000000083.PRE.targeted.m.0","PRE","death"
"121917Abl_CE4.1000000088.PRE.targeted.m.0","PRE","death"
"121917Abl_CE4.1000000110.PRE.intact.m.0","PRE","death"
"121917Abl_CE4.1000000173.PRE.targeted.m.0","PRE","off frame"
"121917Abl_CE4.1000000233.PRE.intact.m.0","PRE","off frame"
"121917Abl_CE5.1000000000.PRE.intact.d.1","PRE","end point"
"121917Abl_CE5.1000000000.PRE.intact.d.2","PRE","end point"
"121917Abl_CE5.1000000000.PRE.intact.m.0","PRE","division"
"121917Abl_CE5.1000000179.PRE.intact.d.1","PRE","end point"
"121917Abl_CE5.1000000179.PRE.intact.d.2","PRE","end point"
"121917Abl_CE5.1000000179.PRE.intact.m.0","PRE","division"
"121917Abl_CE5.1000000182.PRE.intact.d.1","PRE","end point"
"121917Abl_CE5.1000000182.PRE.intact.d.2","PRE","end point"
"121917Abl_CE5.1000000182.PRE.intact.m.0","PRE","division"
"121917Abl_CE5.1000000283.PRE.intact.m.0","PRE","end point"
"121917Abl_CE5.1000000353.PRE.intact.m.0","PRE","end point"
"121917Abl_CE5.1000000423.PRE.intact.m.0","PRE","end point"
"121917Abl_CE5.1000000493.PRE.intact.m.0","PRE","death"
"121917Abl_CE5.1000000526.PRE.intact.d.1","PRE","end point"
"121917Abl_CE5.1000000526.PRE.intact.d.2","PRE","end point"
"121917Abl_CE5.1000000526.PRE.intact.m.0","PRE","division"
"121917Abl_CE5.1000000665.PRE.intact.d.1","PRE","end point"
"121917Abl_CE5.1000000665.PRE.intact.d.2","PRE","end point"
"121917Abl_CE5.1000000665.PRE.intact.m.0","PRE","division"
"121917Abl_CE5.1000000758.PRE.intact.m.0","PRE","end point"
"121917Abl_CE5.1000000828.PRE.intact.m.0","PRE","end point"
"121917Abl_CE5.1000000898.PRE.intact.m.0","PRE","end point"
"121917Abl_CE5.1000000968.PRE.intact.m.0","PRE","off frame"
"121917Abl_CE5.1000001978.PRE.intact.d.1","PRE","end point"
"121917Abl_CE5.1000001978.PRE.intact.d.2","PRE","off frame"
"121917Abl_CE5.1000001978.PRE.intact.m.0","PRE","division"
"121917Abl_CE6.1000000000.PRE.intact.d.1","PRE","death"
"121917Abl_CE6.1000000000.PRE.intact.d.2","PRE","end point"
"121917Abl_CE6.1000000000.PRE.intact.m.0","PRE","division"
"121917Abl_CE6.1000000077.PRE.intact.m.0","PRE","end point"
"121917Abl_CE6.1000000147.PRE.intact.d.1","PRE","end point"
"121917Abl_CE6.1000000147.PRE.intact.d.2","PRE","end point"
"121917Abl_CE6.1000000147.PRE.intact.m.0","PRE","division"
"121917Abl_CE6.1000000275.PRE.intact.d.1","PRE","end point"
"121917Abl_CE6.1000000275.PRE.intact.d.2","PRE","end point"
"121917Abl_CE6.1000000275.PRE.intact.m.0","PRE","division"
"121917Abl_CE6.1000000414.PRE.intact.m.0","PRE","death"
"121917Abl_CE6.1000000460.PRE.intact.d.1","PRE","end point"
"121917Abl_CE6.1000000460.PRE.intact.d.2","PRE","end point"
"121917Abl_CE6.1000000460.PRE.intact.m.0","PRE","division"
"121917Abl_CE6.1000000599.PRE.intact.m.0","PRE","end point"
"121917Abl_CE6.1000000669.PRE.intact.d.1","PRE","off frame"
"121917Abl_CE6.1000000669.PRE.intact.d.2","PRE","end point"
"121917Abl_CE6.1000000669.PRE.intact.m.0","PRE","division"
"121917Abl_CE6.1000000749.PRE.intact.m.0","PRE","end point"
"121917Abl_CE6.1000000820.PRE.intact.m.0","PRE","end point"
"121917Abl_CE6.1000000890.PRE.intact.d.1","PRE","end point"
"121917Abl_CE6.1000000890.PRE.intact.d.2","PRE","off frame"
"121917Abl_CE6.1000000890.PRE.intact.m.0","PRE","division"
"121917Abl_CE6.1000000975.PRE.intact.d.1","PRE","off frame"
"121917Abl_CE6.1000000975.PRE.intact.d.2","PRE","off frame"
"121917Abl_CE6.1000000975.PRE.intact.m.0","PRE","division"
