Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,Background,Treatment,Experimenter,MINS_correct
20170816,20170907,081617_new-lms_A,A,081617_new-lms_A1,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170907,081617_new-lms_A,A,081617_new-lms_A2,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170907,081617_new-lms_A,A,081617_new-lms_A3,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170907,081617_new-lms_A,A,081617_new-lms_A4,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170907,081617_new-lms_A,A,081617_new-lms_A5,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170907,081617_new-lms_A,A,081617_new-lms_A6,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170907,081617_new-lms_A,A,081617_new-lms_A7,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170907,081617_new-lms_A,A,081617_new-lms_A8,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170907,081617_new-lms_A,A,081617_new-lms_A9,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B1,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B2,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B3,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B4,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B5,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B6,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B7,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B8,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B9,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B10,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_B,B,081617_new-lms_B11,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_C,C,081617_new-lms_C1,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_C,C,081617_new-lms_C2,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_C,C,081617_new-lms_C3,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_C,C,081617_new-lms_C4,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_C,C,081617_new-lms_C5,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170816,20170908,081617_new-lms_C,C,081617_new-lms_C6,any,wt,any,wt,CD1/mixed,Littermate,NS,NS
20170320,20170328,032017Abl_E,E,032017Abl_E1,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E2,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E3,Pdgfra,het,any,wt,CD1/mixed,Littermate,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E4,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E5,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E6,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
20170320,20170328,032017Abl_E,E,032017Abl_E7,Pdgfra,wt,any,wt,CD1/mixed,ab.test,NS,HG
