Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,ESC_line,Treatment,ES_culture,H_cells,D_cells,Culture_time,Tt_stage,ESC_t0,Cre,Technique,Experimenter,MINS_correct
20160202,20160206,020216Xim_F4KO_L,L,020216Xim_F4KO_L6,Fgf4,unknown,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160202,20160206,020216Xim_F4KO_L,L,020216Xim_F4KO_L7,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160202,20160206,020216Xim_F4KO_L,L,020216Xim_F4KO_L8,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160202,20160206,020216Xim_F4KO_L,L,020216Xim_F4KO_L9,Fgf4,unknown,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160203,20160210,020316Xim_WT_MN,MN,020316Xim_MN1,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160203,20160210,020316Xim_WT_MN,MN,020316Xim_MN2,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160203,20160210,020316Xim_WT_MN,MN,020316Xim_MN3,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160203,20160210,020316Xim_WT_MN,MN,020316Xim_MN4,Fgf4,WT,any,wt,NA,Control,NA,8,0,51h,8cell,zero,none,Aggregation,NS,HG
20160203,20160210,020316Xim_WT_MN,MN,020316Xim_MN5,Fgf4,WT,any,wt,NA,Control,NA,8,0,51h,8cell,zero,none,Aggregation,NS,HG
20160203,20160210,020316Xim_WT_MN,MN,020316Xim_MN6,Fgf4,WT,any,wt,NA,Control,NA,8,0,51h,8cell,zero,none,Aggregation,NS,HG
20160203,20160210,020316Xim_WT_MN,MN,020316Xim_MN7,Fgf4,WT,any,wt,NA,Control,NA,8,0,51h,8cell,zero,none,Aggregation,NS,HG
20160203,20160210,020316Xim_WT_MN,MN,020316Xim_MN8,Fgf4,WT,any,wt,NA,Control,NA,8,0,51h,8cell,zero,none,Aggregation,NS,HG
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O1,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O2,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160204,20160210,020416Xim_F4KO_O,O,020416Xim_F4KO_O3,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
