"Experiment","Treatment","Genotype1","CH2","CH3","CH5"
"040317Abl_R.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040317Abl_S.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040317Abl_T.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040318FVB_F.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040318FVB_G.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040517Abl_U.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040517Abl_V.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040518FVB_H.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040818FVB_I.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"041117Abl_W.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"041817Pdgfra_AA.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"041817Pdgfra_AA.ko","Littermate","ko","GFP","NANOG.rb","GATA6.gt"
"042017Pdgfra_AB.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"042017Pdgfra_AB.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"042017Pdgfra_AC.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"042017Pdgfra_AC.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"042018FVB_J.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"042018FVB_K.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"042018FVB_L.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"042117Pdgfra_AD.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"042117Pdgfra_AD.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"051717Pdgfra_AE.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"051717Pdgfra_AE.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"052617Pdgfra_AF.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"052617Pdgfra_AF.ko","Littermate","ko","GFP","NANOG.rb","GATA6.gt"
"052617Pdgfra_AF.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"052617Pdgfra_AG.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"052617Pdgfra_AG.ko","Littermate","ko","GFP","NANOG.rb","GATA6.gt"
"052617Pdgfra_AG.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"052817Pdgfra_AH.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"052817Pdgfra_AH.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"061817Pdgfra_AM.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"061817Pdgfra_AM.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"062317Abl_AO.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"062317Abl_AP.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"062817Abl_AQ.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"062817Abl_AR.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"062817Abl_AS.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"062917Pdgfra_AT.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"062917Pdgfra_AT.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"062917Pdgfra_AU.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"071217Abl_AV.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"071317Pdgfra_AW.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"071317Pdgfra_AW.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"072318Abl_DP.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"072318Abl_DQ.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"072517Abl_AW.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"072517Abl_AX.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"072518Abl_DR.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"072518Abl_DS.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"072817Abl_AY.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"072817Abl_AZ.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"073117Pdgfra_BJ.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"073117Pdgfra_BJ.ko","Littermate","ko","GFP","NANOG.rb","GATA6.gt"
"073117Pdgfra_BJ.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"080117Abl_BA.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"080117Abl_BB.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"080117Abl_BC.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"080117Abl_BD.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"080417Pdgfra_BK.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"080417Pdgfra_BK.ko","Littermate","ko","GFP","NANOG.rb","GATA6.gt"
"080417Pdgfra_BK.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"081417Abl_BH.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"081517Abl_BK.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"081617_new-lms_A.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"081617_new-lms_B.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"081617_new-lms_C.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"082219Abl_FG.Littermate.Pdgfra.het","Littermate","het","GFP","NANOG.rb","GATA6.gt"
"082219Abl_FG.Littermate.Pdgfra.wt","Littermate","wt","GFP","NANOG.rb","GATA6.gt"
"082819Abl_FI.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"082819Abl_FJ.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"091217Pdgfra_BL.het","Littermate","het","GFP","GATA4.rb","NANOG.rat"
"091217Pdgfra_BL.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"091217Pdgfra_BM.het","Littermate","het","GFP","GATA4.rb","NANOG.rat"
"091217Pdgfra_BM.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"091415_FGF4ko_H.het","Littermate","het","CDX2.m","NANOG.rb","GATA6.gt"
"091415_FGF4ko_H.ko","Littermate","ko","CDX2.m","NANOG.rb","GATA6.gt"
"091415_FGF4ko_H.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"092017Pdgfra_BN.het","Littermate","het","GFP","NANOG.rb","SOX17.gt"
"092017Pdgfra_BN.wt","Littermate","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"092017Pdgfra_BO.het","Littermate","het","GFP","GATA4.rb","NANOG.rat"
"092017Pdgfra_BO.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"092117Pdgfra_BQ.het","Littermate","het","GFP","GATA4.rb","NANOG.rat"
"092117Pdgfra_BQ.wt","Littermate","wt","GFP","GATA4.rb","NANOG.rat"
"092217Pdgfra_BR.het","Littermate","het","GFP","NANOG.rb","SOX17.gt"
"092217Pdgfra_BR.wt","Littermate","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"102218Abl_DV.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"102218Abl_DW.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"102218Abl_DX.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"110817Abl_BY.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"111318Abl_DZ.Littermate.Pdgfra.wt","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"112018Abl_EA.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","no.ab","GATA6.gt"
"120816_mzFGF4_Y.ko","Littermate","ko","CDX2.m","NANOG.rb","GATA6.gt"
"120816_mzFGF4_Z.ko","Littermate","ko","CDX2.m","NANOG.rb","GATA6.gt"
"121018Abl_EB.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"121018Abl_EC.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"121917Abl_CD.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"121917Abl_CE.Littermate.Pdgfra.wt","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
