Exp_date,Img_date,Experiment,Litter,Embryo_ID,H_genotype,D_genotype,Treatment,H_cells,D_cells,Tt_stage,Embryo_size,Experimenter,MINS_correct
20161110,20161115,111016Xim_WT_Z,Z,111016Xim_WT_Z5,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20161110,20161115,111016Xim_WT_Z,Z,111016Xim_WT_Z6,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20161110,20161115,111016Xim_WT_Z,Z,111016Xim_WT_Z7,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20161110,20161115,111016Xim_WT_Z,Z,111016Xim_WT_Z8,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20161111,20161116,111116Xim_WT_AA,AA,111116Xim_WT_AA1,wt,NA,Control,8,0,8cell,Single,NS,HG
20161111,20161116,111116Xim_WT_AA,AA,111116Xim_WT_AA2,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20161111,20161116,111116Xim_WT_AA,AA,111116Xim_WT_AA3,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20161111,20161116,111116Xim_WT_AA,AA,111116Xim_WT_AA4,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB1,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB2,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB3,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB4,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB5,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB6,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB7,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB8,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB9,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170110,20170117,011017Xim_WT_AB,AB,011017Xim_WT_AB10,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170112,20170117,011217Xim_WT_AC,AC,011217Xim_WT_AC1,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170112,20170117,011217Xim_WT_AC,AC,011217Xim_WT_AC2,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170112,20170117,011217Xim_WT_AC,AC,011217Xim_WT_AC3,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170112,20170117,011217Xim_WT_AC,AC,011217Xim_WT_AC4,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170112,20170117,011217Xim_WT_AC,AC,011217Xim_WT_AC5,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170113,20170117,011317Xim_WT_AD,AD,011317Xim_WT_AD1,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170113,20170117,011317Xim_WT_AD,AD,011317Xim_WT_AD2,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170113,20170117,011317Xim_WT_AD,AD,011317Xim_WT_AD3,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170113,20170117,011317Xim_WT_AD,AD,011317Xim_WT_AD4,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
