"","Experiment","Treatment","Genotype1","CH2","CH3","CH5"
"56","040317Abl_S","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"57","040317Abl_T","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"58","040317Abl_T","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"59","040517Abl_U","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"60","040517Abl_U","Control","het","GFP","NANOG.rb","GATA6.gt"
"61","040517Abl_U","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"62","040517Abl_V","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"63","040517Abl_V","Control","wt","CDX2.m","NANOG.rb","GATA6.gt"
"64","040517Abl_V","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"65","041117Abl_W","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"66","041117Abl_W","Control","wt","CDX2.m","NANOG.rb","GATA6.gt"
"67","041117Abl_W","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"68","050819Abl_EY","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"69","050819Abl_EY","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"70","050819Abl_EY","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"71","050819Abl_EZ","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"72","050819Abl_EZ","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"73","052119Abl_FB","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"74","052119Abl_FB","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"75","052119Abl_FC","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"76","052119Abl_FC","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"77","052119Abl_FC","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"78","052819Abl_FD","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"79","052819Abl_FD","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"80","052819Abl_FD","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"81","062317Abl_AO","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"82","062317Abl_AO","Control","het","GFP","NANOG.rb","GATA6.gt"
"83","062317Abl_AO","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"84","062317Abl_AP","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"85","062317Abl_AP","Control","het","GFP","NANOG.rb","GATA6.gt"
"86","062317Abl_AP","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"87","062817Abl_AQ","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"88","062817Abl_AQ","Control","wt","CDX2.m","NANOG.rb","GATA6.gt"
"89","062817Abl_AQ","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"90","062817Abl_AR","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"91","062817Abl_AR","Control","het","GFP","NANOG.rb","GATA6.gt"
"92","062817Abl_AR","Control","wt","CDX2.m","NANOG.rb","GATA6.gt"
"93","062817Abl_AR","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
