"Experiment","Treatment","Genotype1","Genotype2","CH2","CH3","CH5"
"040517Xim_F4KO_AD.Control","Control","fl/ko","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040517Xim_F4KO_AD.Control","Control","ko","wt","CDX2.m","NANOG.rb","GATA6.gt"
"040518Xim_WT_BE.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"040518Xim_WT_BE.Control","Control","wt","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"040518Xim_WT_BF.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"040518Xim_WT_BF.Control","Control","wt","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"040518Xim_WT_BG.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"040518Xim_WT_BG.Control","Control","wt","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"040717Xim_F4KO_AE.Chimera","Chimera","fl/ko","wt","GFP","NANOG.rb","GATA6.gt"
"040717Xim_F4KO_AE.Chimera","Chimera","ko","wt","GFP","NANOG.rb","GATA6.gt"
"040717Xim_F4KO_AE.Control","Control","ko","wt","CDX2.m","NANOG.rb","GATA6.gt"
"041218Xim_WT_BH.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"041218Xim_WT_BH.Control","Control","wt","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"041218Xim_WT_BH.Littermate","Littermate","wt","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"041218Xim_WT_BI.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"041218Xim_WT_BI.Control","Control","wt","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"041218Xim_WT_BI.Littermate","Littermate","wt","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"041218Xim_WT_BJ.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"041218Xim_WT_BJ.Control","Control","wt","wt","NANOG.rat","GATA6.rb","SOX17.gt"
"041417Xim_F4KO_AF.Chimera","Chimera","ko","wt","GFP","NANOG.rb","GATA6.gt"
"041417Xim_F4KO_AF.Chimera","Chimera","tbd","wt","GFP","NANOG.rb","GATA6.gt"
"041417Xim_F4KO_AF.Control","Control","ko","wt","CDX2.m","NANOG.rb","GATA6.gt"
"052019Xim_F4_EM.Chimera","Chimera","ko","wt","GFP","NANOG.rb","GATA6.gt"
"052019Xim_F4_EM.Control","Control","ko","wt","GFP","NANOG.rb","GATA6.gt"
"052019Xim_F4_EN.Chimera","Chimera","ko","wt","GFP","NANOG.rb","GATA6.gt"
"052019Xim_F4_EN.Control","Control","ko","wt","GFP","NANOG.rb","GATA6.gt"
"052019Xim_F4_EO.Chimera","Chimera","ko","wt","GFP","NANOG.rb","GATA6.gt"
"061819Xim_F4_EP.Chimera","Chimera","ko","wt","GFP.ck","NANOG.rb","GATA6.gt"
"062019Xim_F4_ET.Chimera","Chimera","ko","wt","GFP.ck","NANOG.rb","GATA6.gt"
"062019Xim_F4_ET.Control","Control","ko","wt","GFP","NANOG.rb","GATA6.gt"
"071318Xim_F4_BW.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"071318Xim_WT_BV.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"071318Xim_WT_BV.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"071518Xim_F4_BY.Chimera","Chimera","fl/ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"071518Xim_F4_BY.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"071518Xim_F4_BY.Control","Control","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"071518Xim_WT_BX.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"071518Xim_WT_BX.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"071618Xim_WT_BZ.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"071618Xim_WT_BZ.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"071618Xim_WT_BZ.Littermate","Littermate","wt","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"071618Xim_WT_CA.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"071618Xim_WT_CA.Littermate","Littermate","wt","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"071916Xim_WT_T.Chimera","Chimera","wt","wt","GFP","NANOG.rb","GATA6.gt"
"071916Xim_WT_T.Control","Control","wt","wt","CDX2.m","NANOG.rb","GATA6.gt"
"072016Xim_F4KO_U.Chimera","Chimera","fl/fl","wt","GFP","NANOG.rb","GATA6.gt"
"072418Xim_F4_CE.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"072418Xim_F4_CE.Control","Control","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"072418Xim_F4_CE.Littermate","Littermate","fl/ko","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"072418Xim_F4_CE.Littermate","Littermate","ko","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"072418Xim_WT_CC.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"072418Xim_WT_CC.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"072418Xim_WT_CC.Littermate","Littermate","wt","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"072919Xim_F4_FB.Chimera","Chimera","ko","wt","GFP.ck","NANOG.rb","GATA6.gt"
"080118Xim_F4_CJ.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"080118Xim_F4_CJ.Control","Control","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"080118Xim_F4_CJ.Littermate","Littermate","ko","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"080118Xim_WT_CF.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"080118Xim_WT_CF.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"080118Xim_WT_CG.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"080118Xim_WT_CG.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"080118Xim_WT_CH.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"080118Xim_WT_CH.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"080118Xim_WT_CH.Littermate","Littermate","wt","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"080618Xim_F4_CK.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"080618Xim_F4_CK.Control","Control","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"080718Xim_WT_CLCM.Chimera","Chimera","wt","CAG:H2B-GFP/+","GFP.ck","GATA6.rb","tdTomato"
